AGEP,SEX,EDU,PINCP,HOUSING_TYPE,OWN_RENT,DENSITY
1,1,4,76807,1,1,825.2476806640625
3,2,2,63559,1,1,727.5761108398438
4,2,2,52882,2,2,600.951416015625
4,2,3,70385,1,2,771.0408325195312
2,1,2,42164,1,2,498.80657958984375
4,1,4,67635,1,2,760.9039306640625
4,2,3,64881,2,1,792.70947265625
1,1,3,69777,1,2,758.2669067382812
3,1,3,62971,2,1,766.4850463867188
4,1,4,77296,2,2,889.0741577148438
2,2,1,32018,2,2,408.504150390625
2,2,2,56528,2,2,670.0883178710938
1,2,2,48632,1,1,593.674072265625
4,2,3,65940,2,1,758.3114624023438
1,1,1,27348,1,1,348.4715576171875
1,2,1,36198,1,1,447.43450927734375
2,2,3,50791,1,1,604.9310302734375
2,1,3,77246,2,2,858.7836303710938
2,2,2,52014,1,1,616.17822265625
1,1,3,72183,1,2,824.655029296875
2,1,2,65994,1,2,791.4113159179688
4,1,2,61491,2,1,741.7054443359375
4,1,4,74231,2,2,848.1973876953125
1,1,4,73567,2,2,866.810791015625
3,2,1,27631,1,1,382.2746276855469
2,2,4,64718,1,1,775.5551147460938
3,2,2,63684,1,2,722.1448974609375
4,2,3,62922,1,2,746.629150390625
4,1,3,53529,1,1,629.5128173828125
2,1,4,71221,2,1,852.1129150390625
3,2,2,48588,2,2,584.33935546875
2,1,2,30264,2,1,391.235107421875
2,1,2,52182,1,2,574.3527221679688
3,2,1,19704,2,2,308.47662353515625
2,2,2,52683,1,1,598.7622680664062
2,2,2,38436,1,1,513.8822631835938
0,1,4,86645,2,1,937.259521484375
3,1,2,50028,2,1,595.498046875
2,1,2,45759,2,1,580.73681640625
3,1,3,52242,2,2,603.0113525390625
4,2,3,73621,2,2,841.0672607421875
4,2,4,89158,2,2,990.532958984375
3,2,2,58526,1,1,697.1234130859375
0,1,1,19932,2,1,304.7587890625
2,2,3,79332,1,2,873.133056640625
2,2,1,32852,1,1,449.3282775878906
1,1,1,41346,2,2,531.7552490234375
2,2,2,38424,1,2,522.5654296875
4,1,4,63433,1,2,765.1405029296875
4,2,3,60357,2,1,710.0946044921875
4,1,2,42384,1,1,499.0101318359375
3,1,3,60894,2,1,726.4744873046875
1,1,3,53380,1,2,618.4165649414062
0,1,3,86507,1,1,942.4781494140625
3,1,4,66634,1,2,749.9708862304688
1,1,4,65078,2,1,712.437255859375
0,2,4,83619,2,2,912.8126831054688
3,1,3,74164,1,2,836.3656005859375
0,2,4,78701,1,1,901.0061645507812
3,1,2,46800,2,1,558.6622924804688
2,1,3,78094,1,2,855.8456420898438
3,1,1,44187,1,1,549.1964721679688
1,1,1,30524,1,1,378.85992431640625
1,1,3,46774,1,2,556.6585083007812
2,2,3,68781,1,1,797.83203125
1,1,1,36645,2,2,484.13433837890625
1,2,3,67313,1,1,780.7798461914062
4,1,2,43430,2,1,556.8753662109375
3,1,3,71638,1,2,828.4217529296875
0,2,2,42679,1,2,548.8828125
3,2,4,85193,1,1,928.6365356445312
2,2,2,48776,2,1,561.7810668945312
1,1,2,55445,1,1,648.30859375
2,1,4,74268,2,2,815.8115844726562
4,1,3,43567,1,1,538.1011352539062
4,2,3,63517,1,2,736.5430908203125
2,2,4,93367,1,1,1036.2384033203125
4,1,1,39010,1,2,417.9360656738281
4,2,2,46327,2,2,542.9899291992188
1,2,4,91663,1,2,955.1336059570312
0,2,1,32855,1,1,420.19110107421875
1,2,1,39427,1,2,483.2826232910156
1,1,1,23895,1,2,339.7507629394531
1,1,2,62680,1,1,750.7503051757812
4,2,2,58462,1,2,680.0595703125
3,1,2,41334,1,2,502.8021545410156
