AGEP,SEX,EDU,MSP,PINCP,HOUSING_TYPE,OWN_RENT,DENSITY
41.0,1,4,1,62090.0,1,0,104.19435119628906
67.0,2,3,1,53885.0,1,2,119.58189392089844
85.0,1,3,1,49044.0,3,2,165.07656860351562
58.0,2,9,1,103474.0,1,1,108.541015625
74.0,1,6,1,80033.0,2,2,135.1063232421875
74.0,2,10,1,120770.0,2,2,132.06753540039062
28.0,1,12,1,145861.0,3,0,152.2574462890625
31.0,2,4,1,53064.0,1,1,123.77233123779297
89.0,1,2,2,34264.0,2,0,151.83554077148438
25.0,2,4,2,58366.0,2,2,131.80397033691406
75.0,1,8,2,110008.0,1,2,119.20426177978516
93.0,2,5,2,67291.0,2,0,126.78628540039062
56.0,2,2,2,35866.0,2,2,131.373779296875
21.0,1,3,2,51524.0,2,0,132.09556579589844
53.0,2,3,1,53874.0,3,2,170.66993713378906
91.0,1,12,1,138534.0,1,1,126.96299743652344
23.0,1,6,1,78357.0,3,2,153.75213623046875
63.0,2,6,1,81512.0,2,0,137.78443908691406
26.0,1,11,1,132496.0,3,0,162.69998168945312
24.0,1,9,2,112131.0,1,0,107.12596130371094
61.0,1,3,1,56491.0,1,1,113.85359954833984
69.0,2,1,1,25378.0,1,0,101.1352310180664
62.0,2,6,1,82316.0,3,2,162.3651885986328
41.0,1,6,1,82885.0,3,2,147.30316162109375
52.0,1,1,2,29963.0,1,1,132.0281982421875
65.0,2,12,1,148813.0,3,0,155.6534881591797
58.0,1,10,1,119068.0,3,2,159.94293212890625
94.0,2,8,2,96880.0,3,1,139.14633178710938
53.0,1,11,1,130487.0,3,0,151.76426696777344
60.0,2,6,1,76452.0,1,1,120.45558166503906
48.0,1,1,2,36030.0,1,0,122.88754272460938
83.0,2,12,1,145753.0,2,1,148.6461181640625
87.0,2,5,1,78002.0,2,0,147.10775756835938
68.0,1,8,2,86131.0,3,2,170.69094848632812
23.0,1,2,1,39855.0,3,1,148.83058166503906
26.0,1,8,2,106028.0,1,0,117.67769622802734
19.0,1,1,2,27383.0,1,0,127.49424743652344
29.0,1,11,2,128269.0,2,1,149.54693603515625
27.0,2,12,2,144898.0,1,2,114.39913940429688
76.0,2,3,1,48973.0,2,0,151.8709259033203
61.0,2,9,2,113900.0,3,0,153.4127655029297
59.0,2,12,1,146706.0,2,0,162.5423583984375
62.0,1,8,2,95595.0,3,0,163.4359588623047
39.0,1,1,2,32179.0,1,1,117.26492309570312
42.0,2,7,1,85177.0,3,0,157.8212890625
75.0,1,9,2,114000.0,2,0,138.22616577148438
87.0,2,9,2,108292.0,2,0,156.8285675048828
86.0,2,9,1,111872.0,2,0,147.81268310546875
19.0,1,3,1,49877.0,3,2,143.41683959960938
89.0,2,9,2,112710.0,3,0,149.12069702148438
72.0,1,3,1,50223.0,2,1,146.129638671875
30.0,2,10,2,133383.0,3,1,139.15969848632812
28.0,2,4,1,61200.0,3,0,163.2357635498047
53.0,2,9,2,109301.0,2,0,140.64651489257812
77.0,2,12,1,133612.0,2,1,127.2014389038086
62.0,1,5,2,70484.0,3,1,162.84791564941406
78.0,1,2,1,40986.0,3,2,138.80364990234375
29.0,1,2,1,42006.0,1,0,116.0003662109375
