AGEP,SEX,MSP,EDU,PINCP,OWN_RENT,HOUSING_TYPE,DENSITY
38.0,2,4,1,27762.0,2,3,2968.0
56.0,1,2,4,28416.0,1,3,3128.0
82.0,1,1,3,27655.0,2,3,3023.0
81.0,2,2,1,29206.0,2,1,1092.0
78.0,2,3,4,26204.0,2,3,2927.0
94.0,2,2,3,29148.0,2,1,931.0
64.0,2,1,2,26262.0,1,3,2822.0
48.0,1,3,4,26286.0,0,1,1107.0
61.0,2,2,3,29087.0,2,1,1044.0
50.0,1,3,4,27720.0,1,3,2750.0
72.0,2,1,4,27692.0,1,3,3015.0
37.0,2,1,2,30842.0,2,1,1015.0
57.0,1,2,3,27503.0,1,3,2926.0
41.0,2,2,3,26873.0,2,1,935.0
35.0,2,1,3,29810.0,0,1,1059.0
18.0,1,4,4,31238.0,2,1,1092.0
67.0,2,1,3,28224.0,2,1,905.0
65.0,2,3,2,27763.0,2,3,3090.0
49.0,2,1,4,28098.0,2,3,2925.0
61.0,2,1,2,25794.0,2,3,2957.0
44.0,1,2,3,26481.0,0,1,853.0
48.0,1,2,2,27078.0,2,1,997.0
44.0,1,2,2,25359.0,1,3,2933.0
32.0,2,2,4,28880.0,0,1,963.0
41.0,1,3,4,28971.0,2,1,947.0
36.0,2,3,1,25459.0,0,1,985.0
90.0,1,1,2,25008.0,2,3,2918.0
71.0,1,2,1,28538.0,0,1,954.0
88.0,2,1,2,30155.0,0,1,994.0
75.0,2,2,3,25565.0,1,3,3013.0
83.0,2,2,3,25399.0,2,3,2943.0
43.0,2,4,2,25161.0,1,3,3106.0
21.0,2,4,3,27346.0,2,3,2869.0
34.0,1,3,2,26979.0,1,3,2881.0
72.0,1,1,4,26636.0,2,3,2905.0
47.0,1,2,4,25829.0,1,3,2987.0
76.0,2,4,2,27654.0,2,1,1065.0
30.0,2,3,3,25365.0,1,3,3021.0
59.0,1,2,3,25475.0,0,1,1172.0
47.0,2,1,3,26087.0,1,3,2804.0
58.0,2,2,2,26178.0,1,3,3168.0
42.0,1,4,1,25931.0,2,3,2789.0
41.0,2,1,1,26088.0,0,1,882.0
51.0,2,2,2,26295.0,0,1,873.0
39.0,2,2,3,31173.0,1,3,3285.0
79.0,1,3,2,25228.0,1,3,3008.0
63.0,2,2,4,25287.0,1,3,2997.0
73.0,1,3,3,26333.0,2,1,1007.0
90.0,2,2,2,29172.0,1,3,2986.0
45.0,2,4,2,25595.0,2,1,906.0
91.0,2,1,2,27283.0,1,3,2788.0
47.0,2,1,2,27066.0,1,3,3153.0
82.0,1,1,3,26255.0,2,3,2908.0
43.0,1,1,1,26965.0,0,1,1004.0
74.0,1,3,2,25507.0,1,3,2961.0
81.0,2,1,2,28983.0,2,3,3058.0
53.0,2,4,1,29930.0,1,3,2962.0
49.0,2,3,3,31933.0,1,3,2964.0
51.0,1,2,2,28531.0,2,3,3011.0
84.0,2,1,3,26921.0,0,1,1068.0
71.0,1,2,2,28204.0,2,1,980.0
30.0,1,3,3,26469.0,1,3,2856.0
45.0,1,2,3,31886.0,2,1,1077.0
34.0,1,2,2,25832.0,2,1,1073.0
87.0,2,2,3,30785.0,2,3,3042.0
38.0,2,3,3,25233.0,2,3,2914.0
51.0,1,1,3,27766.0,0,1,1005.0
94.0,1,1,2,25984.0,2,3,2899.0
70.0,1,1,3,25038.0,1,3,3190.0
53.0,1,3,3,31206.0,2,3,3195.0
89.0,2,2,3,29223.0,2,3,3135.0
92.0,1,3,2,29507.0,1,3,3145.0
44.0,1,1,2,25625.0,2,1,1025.0
90.0,1,2,3,32260.0,1,3,3097.0
92.0,2,2,4,25753.0,2,1,1091.0
90.0,2,4,3,29270.0,0,1,1095.0
65.0,1,1,3,35331.0,2,3,2885.0
78.0,1,1,1,25297.0,0,1,1103.0
94.0,2,1,4,27994.0,1,3,2950.0
65.0,1,4,3,32312.0,2,3,3150.0
63.0,1,1,4,30077.0,0,1,956.0
38.0,2,3,4,27346.0,0,1,997.0
64.0,2,4,3,30248.0,2,3,3006.0
80.0,2,4,4,27512.0,1,3,3112.0
70.0,2,1,2,25510.0,1,3,3195.0
53.0,2,4,3,25255.0,2,3,3108.0
90.0,1,4,1,28085.0,2,3,3015.0
56.0,1,1,4,25706.0,2,3,2895.0
43.0,2,2,3,29255.0,2,3,3014.0
47.0,2,1,1,26157.0,1,3,2858.0
45.0,2,3,2,25096.0,0,1,1011.0
74.0,1,4,1,30642.0,2,1,1101.0
38.0,1,4,2,29225.0,2,1,995.0
71.0,1,4,1,26541.0,2,3,2923.0
92.0,2,2,1,27415.0,1,3,3072.0
72.0,2,1,3,32351.0,2,3,3044.0
73.0,1,1,3,32205.0,2,3,3205.0
78.0,1,2,4,25030.0,1,3,2893.0
41.0,1,1,2,26920.0,1,3,3045.0
77.0,1,2,3,26315.0,1,3,2947.0
92.0,1,1,4,27233.0,2,1,1007.0
83.0,1,2,2,26686.0,2,3,2760.0
66.0,2,2,4,26700.0,0,1,864.0
78.0,1,3,1,26991.0,2,3,2969.0
44.0,2,1,4,29684.0,2,3,2960.0
62.0,1,3,2,28629.0,2,3,2905.0
82.0,2,2,3,37641.0,0,1,1102.0
37.0,2,2,2,30884.0,2,3,2828.0
34.0,1,3,2,25725.0,2,3,3016.0
37.0,1,1,3,28883.0,1,3,3054.0
76.0,1,3,4,26043.0,1,3,3099.0
51.0,1,1,3,26258.0,0,1,1043.0
58.0,2,2,2,25250.0,0,1,857.0
87.0,2,4,3,27952.0,2,3,2965.0
52.0,1,1,3,25515.0,1,3,2987.0
60.0,2,3,2,27610.0,2,1,1019.0
33.0,1,3,4,28177.0,0,1,1015.0
49.0,1,2,3,25143.0,1,3,2993.0
37.0,1,3,4,27982.0,2,3,2931.0
72.0,2,3,3,31206.0,0,1,1156.0
87.0,2,2,3,27861.0,2,1,940.0
77.0,1,3,3,31640.0,2,1,991.0
