AGEP,SEX,MSP,EDU,HOUSING_TYPE,OWN_RENT,PINCP,DENSITY
77,1,5,4,1,0,155931,711.4425048828125
92,1,4,8,1,0,158438,917.0850219726562
52,1,0,2,1,0,81204,705.5845947265625
45,1,3,4,1,0,86190,870.4033203125
87,1,3,3,2,1,145026,677.6793823242188
37,1,2,5,1,0,78456,689.7640380859375
65,1,3,1,1,0,96757,904.425048828125
64,1,0,3,1,0,140115,868.9898681640625
41,1,1,1,1,0,116687,738.34423828125
67,1,3,1,1,0,138741,449.4849853515625
55,1,4,1,1,0,98423,981.6707153320312
91,1,3,3,1,0,136170,665.5980224609375
29,1,2,3,1,0,90057,836.6434936523438
28,1,2,2,2,1,81466,969.0086669921875
38,1,5,2,1,0,71602,917.8713989257812
61,1,2,3,1,0,120911,948.29736328125
34,1,1,3,2,1,85215,1458.17236328125
80,1,0,4,1,0,136315,888.8924560546875
76,1,2,3,1,0,126008,998.1923217773438
47,1,2,5,2,1,79170,1428.6844482421875
43,1,3,3,1,0,103410,993.8636474609375
12,1,2,4,2,1,63647,947.8662109375
62,1,3,5,1,0,126924,735.2251586914062
89,1,2,5,1,0,127667,673.0547485351562
15,1,1,11,1,0,76807,990.8027954101562
49,1,0,8,1,0,70532,783.69873046875
37,1,2,4,2,1,84901,846.7586059570312
30,1,2,6,1,0,79833,972.636474609375
38,1,2,4,1,0,86598,416.22265625
10,1,1,4,1,0,63464,833.1336669921875
94,1,3,3,1,0,132218,849.3671875
66,1,3,8,2,1,118304,1028.764404296875
60,1,1,2,2,1,114254,1071.11962890625
76,1,3,2,1,0,139896,906.741455078125
66,1,0,1,2,1,110351,1110.8712158203125
65,1,3,1,1,0,130568,765.1713256835938
37,1,2,1,1,0,72299,816.8558349609375
35,1,2,3,1,0,95489,981.3731689453125
62,1,2,1,1,0,79613,452.14019775390625
39,1,0,2,1,0,93682,934.13037109375
90,1,2,6,1,0,117721,615.5818481445312
37,1,3,4,1,0,87433,987.8717041015625
82,1,3,10,1,0,130330,607.866943359375
73,1,2,3,1,0,94144,970.04248046875
16,1,2,3,1,0,76055,741.294677734375
47,1,3,4,1,0,107616,869.194580078125
31,1,1,2,1,0,105568,433.62860107421875
12,1,1,4,1,0,84512,814.8336791992188
92,1,3,11,1,0,147502,821.82861328125
70,1,1,2,1,0,100674,718.32080078125
66,1,4,2,1,0,118000,801.132080078125
23,1,2,2,2,1,114595,1303.193359375
46,1,1,1,1,0,101989,801.0429077148438
90,1,1,4,1,0,152378,911.4464721679688
95,1,1,4,1,0,123476,595.133544921875
86,1,1,6,2,1,145805,855.3212890625
18,1,3,2,1,0,69548,907.3081665039062
90,1,2,5,1,0,137761,827.0263671875
57,1,3,7,1,0,84931,715.567138671875
93,1,2,4,2,1,147008,933.65087890625
28,1,4,6,2,1,71192,79.53515625
39,1,5,2,1,0,90946,849.9873046875
31,1,2,11,1,0,81416,580.034423828125
77,1,2,4,1,0,121125,977.785888671875
63,1,1,3,1,0,84824,986.900634765625
71,1,2,3,1,0,144106,491.9805603027344
26,1,0,4,1,0,62838,891.5148315429688
38,1,4,4,1,0,77552,721.9737548828125
58,1,2,4,1,0,111332,906.8214721679688
13,1,1,1,2,1,63056,696.4881591796875
56,1,4,4,2,1,102252,1656.47509765625
83,1,5,3,1,0,149228,727.5865478515625
48,1,4,2,2,1,78224,905.476806640625
38,1,3,4,1,0,93949,975.3919067382812
47,1,5,5,2,1,75906,1056.6473388671875
26,1,0,5,1,0,85552,792.5679931640625
69,1,3,4,1,0,110161,764.3275146484375
67,1,4,3,1,0,129565,716.544677734375
54,1,4,3,1,0,93621,990.8792724609375
78,1,3,2,2,1,104740,755.4308471679688
86,1,4,5,1,0,131655,733.29296875
48,1,0,2,1,0,136694,885.8896484375
46,1,5,3,2,1,75861,246.96533203125
77,1,1,6,1,0,116186,994.8736572265625
49,1,2,5,1,0,107691,996.4657592773438
37,1,1,4,1,0,61492,408.76708984375
92,1,0,8,1,0,149087,752.6488647460938
88,1,5,6,1,0,125290,966.2594604492188
15,1,1,3,1,0,63621,742.7449951171875
41,1,2,5,2,1,84618,1180.8505859375
57,1,5,3,2,1,113106,757.57861328125
19,1,3,1,2,1,59522,917.4263305664062
78,1,1,8,1,0,128616,776.6223754882812
40,1,2,4,1,0,57566,287.83990478515625
5,1,2,2,2,1,67115,1123.3251953125
56,1,0,1,1,0,116602,703.936767578125
47,1,1,5,1,0,90453,927.5120849609375
65,1,2,3,1,0,136179,885.1690673828125
32,1,1,1,2,1,84453,1133.3670654296875
59,1,2,3,1,0,84664,892.3155517578125
90,1,3,4,1,0,131077,810.8314208984375
70,1,2,2,1,0,126965,591.1886596679688
11,1,0,6,1,0,91286,829.7315063476562
84,1,3,4,1,0,127880,869.4564208984375
48,1,2,5,1,0,92437,766.896240234375
22,1,2,4,1,0,65926,608.7779541015625
37,1,5,3,2,1,104477,1663.667724609375
12,1,2,4,1,0,55740,917.072509765625
65,1,1,5,1,0,92585,956.1927490234375
85,1,5,3,1,0,141916,628.3089599609375
48,1,2,3,2,1,97801,1141.908935546875
21,1,4,5,2,1,60486,525.6802368164062
70,1,4,7,1,0,128324,842.5297241210938
82,1,2,4,1,0,128001,893.7478637695312
64,1,3,6,1,0,107454,969.4486694335938
22,1,3,2,1,0,66430,909.71533203125
86,1,1,3,1,0,144111,966.1910400390625
39,1,2,4,1,0,76571,786.3898315429688
32,1,3,3,1,0,84405,808.80517578125
49,1,0,7,2,1,93487,638.2657470703125
27,1,1,2,1,0,59951,591.642578125
41,1,3,5,1,0,94177,964.9107055664062
36,1,5,4,1,0,87540,935.6209106445312
39,1,5,3,1,0,100184,676.1856689453125
46,1,0,4,2,1,95370,1124.3277587890625
33,1,3,1,1,0,65556,827.8748168945312
91,1,1,2,1,0,135620,733.7310791015625
60,1,2,3,1,0,120621,490.4005432128906
31,1,1,5,2,1,64062,1143.9739990234375
11,1,2,3,1,0,74905,922.19140625
88,1,1,4,1,0,145449,532.1368408203125
31,1,4,11,1,0,66331,963.2904663085938
94,1,2,1,1,0,178663,782.4718627929688
81,1,1,6,1,0,120337,843.80126953125
38,1,2,2,2,1,107781,1204.01318359375
84,1,2,8,1,0,149093,594.732421875
29,1,0,1,1,0,69879,788.9991455078125
6,1,2,2,1,0,54585,673.32421875
30,1,1,2,2,1,48760,936.1404418945312
18,1,2,5,1,0,58377,947.5595703125
