AGEP,SEX,EDU,PINCP,OWN_RENT,HOUSING_TYPE,DENSITY
61.0,1,3,117483.0,1,1,2231.5576171875
60.0,1,4,102254.0,1,1,2304.81396484375
45.0,2,3,49676.0,1,1,1831.97314453125
44.0,2,6,90589.0,1,1,1890.9090576171875
77.0,2,4,130724.0,1,1,3017.871826171875
69.0,2,2,102644.0,1,1,2342.364501953125
66.0,1,1,105039.0,1,1,2251.842041015625
71.0,2,4,88229.0,1,1,1719.891357421875
31.0,1,3,94453.0,1,1,2075.691162109375
59.0,1,4,116890.0,1,1,1783.421630859375
66.0,2,2,116496.0,1,1,1932.7027587890625
67.0,2,5,85623.0,1,1,2762.575439453125
85.0,1,2,123860.0,1,1,2052.85546875
68.0,2,2,99062.0,1,1,2512.80615234375
54.0,1,2,109527.0,1,1,1556.868408203125
79.0,1,2,105143.0,1,1,2008.43359375
34.0,1,3,56990.0,1,1,1767.483154296875
94.0,1,2,130460.0,1,1,1835.59619140625
51.0,2,5,91630.0,1,1,1614.959716796875
85.0,1,4,126227.0,1,1,2318.891357421875
28.0,2,2,53927.0,1,1,1923.0943603515625
35.0,1,6,81933.0,1,1,1974.9267578125
94.0,2,4,179978.0,1,1,2131.397216796875
91.0,2,6,110191.0,1,1,3413.12451171875
37.0,2,1,65030.0,1,1,2026.9652099609375
46.0,1,4,124696.0,1,1,2416.068603515625
81.0,1,4,167728.0,1,1,1860.96826171875
48.0,1,4,80407.0,1,1,1888.3499755859375
29.0,1,5,67576.0,1,1,1820.650146484375
63.0,1,4,109689.0,1,1,1472.7000732421875
68.0,1,4,82921.0,1,1,1804.997314453125
88.0,2,1,85517.0,1,1,3614.240966796875
84.0,2,5,105301.0,1,1,1889.2369384765625
39.0,2,4,61503.0,1,1,1596.2825927734375
84.0,2,5,193867.0,1,1,2961.6884765625
82.0,1,4,114965.0,1,1,2976.112060546875
76.0,1,2,123175.0,1,1,1414.0181884765625
43.0,1,3,76234.0,1,1,2063.1142578125
41.0,1,1,65739.0,1,1,2537.9267578125
66.0,2,6,130538.0,1,1,2281.185546875
28.0,1,5,71559.0,1,1,1942.225341796875
61.0,1,2,87829.0,1,1,1930.0037841796875
41.0,2,2,81177.0,1,1,1769.595947265625
68.0,2,6,130688.0,1,1,1864.0528564453125
55.0,1,4,105431.0,1,1,2293.521484375
33.0,2,5,78120.0,1,1,1725.1690673828125
85.0,2,5,141687.0,1,1,2435.880126953125
54.0,2,2,120457.0,1,1,1995.9212646484375
81.0,2,2,105413.0,1,1,2518.2294921875
86.0,1,6,153453.0,1,1,2230.432861328125
26.0,1,1,44827.0,1,1,1653.4381103515625
72.0,1,3,126269.0,1,1,1928.9818115234375
36.0,1,4,95052.0,1,1,1909.7099609375
68.0,1,2,100126.0,1,1,1959.249267578125
95.0,1,3,95180.0,1,1,4165.4443359375
89.0,2,6,95289.0,1,1,2335.741455078125
56.0,1,4,67947.0,1,1,2098.51416015625
49.0,1,5,123974.0,1,1,2062.376220703125
80.0,2,4,121796.0,1,1,2164.6845703125
83.0,1,3,157175.0,1,1,2299.259033203125
94.0,1,2,134784.0,1,1,3014.04833984375
92.0,2,1,98674.0,1,1,943.3956298828125
64.0,2,4,148619.0,1,1,1580.992431640625
57.0,1,2,115748.0,1,1,1874.4591064453125
