SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,AGEP,HOUSING_TYPE,DVET,DEYE
2,1,1,1,5,12,61,3,N,2
2,6,1,2,4,5,20,1,N,2
1,N,2,1,N,N,19,1,N,2
2,N,1,2,3,3,62,1,N,2
1,1,2,1,8,7,70,1,N,2
1,1,1,1,8,9,47,1,N,2
1,1,2,1,4,7,4,1,N,2
2,1,2,1,9,9,40,1,N,2
2,6,2,1,9,5,30,1,N,2
2,1,2,1,N,4,57,1,N,2
2,6,1,0,8,11,67,1,N,2
1,3,6,1,1,7,35,1,N,2
2,1,3,2,5,7,8,1,N,2
1,N,1,2,0,9,19,1,N,2
1,N,2,1,0,5,40,1,N,2
2,1,1,1,2,4,41,1,N,2
2,N,8,1,N,9,69,1,N,2
2,6,1,1,5,4,12,1,N,2
1,1,9,2,3,3,32,3,N,2
2,6,1,2,7,6,60,1,N,2
1,1,9,1,5,8,16,1,N,2
2,1,9,2,3,9,28,1,N,2
1,6,2,1,1,7,21,1,N,2
1,N,1,1,4,12,6,1,N,2
2,1,9,1,2,4,16,1,N,2
2,N,1,0,6,4,53,1,N,2
2,1,1,2,2,7,24,3,N,2
1,6,1,2,2,9,27,1,N,2
1,5,1,1,9,12,45,1,N,2
1,N,2,2,2,7,21,1,N,2
1,4,6,1,6,9,47,1,N,2
1,1,2,1,9,7,64,1,N,2
2,3,1,1,6,5,20,1,N,2
1,6,1,0,0,3,60,3,N,2
2,6,1,1,0,5,8,1,N,2
1,1,1,1,0,5,39,1,N,1
2,5,2,1,7,10,54,1,N,2
2,6,1,1,9,7,49,1,N,2
2,6,1,2,N,5,5,2,N,2
2,N,1,2,1,5,36,1,N,2
1,6,9,2,N,12,54,1,N,2
1,4,6,2,N,5,20,1,N,2
1,1,1,1,9,5,36,1,N,2
2,4,2,1,6,2,29,1,N,2
2,6,1,1,9,10,32,3,N,2
2,1,1,2,8,3,94,1,N,2
1,N,6,2,1,7,1,1,N,2
2,N,1,2,6,5,50,1,N,2
2,1,1,2,7,9,47,1,N,2
2,N,1,1,N,10,36,1,N,2
1,1,8,1,3,10,66,1,N,2
1,6,8,1,0,4,32,1,N,2
2,1,2,2,0,3,54,1,N,2
1,1,1,1,N,6,36,1,N,2
1,6,1,2,0,9,70,1,N,2
2,1,1,1,N,3,62,1,N,2
1,5,1,1,5,4,18,1,N,2
1,6,1,2,0,7,2,1,N,2
2,1,2,1,9,3,69,1,N,2
2,1,1,1,8,2,65,1,N,2
1,1,1,2,5,9,24,1,N,2
2,6,1,2,8,7,36,1,N,2
2,6,6,1,1,5,65,1,N,2
1,3,1,0,9,5,21,1,N,2
1,N,6,0,N,5,76,1,N,2
1,6,2,1,N,5,6,1,N,2
2,N,2,1,2,9,60,1,N,2
1,6,1,2,0,7,19,1,N,2
2,1,2,0,N,5,40,1,N,2
2,6,3,1,0,10,62,1,N,2
2,1,8,0,5,9,69,1,N,2
1,6,3,1,6,7,65,1,N,2
1,1,1,1,N,9,56,1,N,2
1,1,2,2,7,5,8,1,N,2
2,6,6,1,5,3,42,1,N,2
1,6,2,1,1,7,69,1,N,2
1,1,9,1,8,2,40,1,N,2
1,4,1,1,6,11,17,1,N,2
1,6,1,2,5,7,41,1,N,2
1,5,1,1,N,8,51,1,N,2
2,1,6,1,5,9,75,1,N,2
2,N,1,1,4,1,62,1,N,2
1,6,9,1,2,5,3,1,N,2
1,4,8,1,2,10,16,1,N,2
1,6,6,1,9,10,22,1,N,2
2,6,1,1,0,6,43,1,N,2
2,6,1,1,N,7,10,1,N,2
2,1,1,1,2,12,46,1,N,2
2,4,2,2,6,2,19,1,N,2
1,1,1,2,9,9,33,2,N,2
2,5,1,2,N,3,11,1,N,2
1,1,2,0,3,9,5,1,N,2
1,6,6,1,9,5,82,1,N,2
1,4,1,0,N,9,35,1,N,2
2,N,6,1,1,9,17,1,N,2
2,6,6,1,0,8,54,1,N,2
2,1,2,1,1,9,60,3,N,2
1,6,1,1,1,10,47,1,N,2
1,4,2,2,0,5,12,1,N,2
1,6,9,1,4,6,67,1,N,2
1,4,1,2,8,9,87,1,N,2
2,1,1,2,4,9,29,1,N,2
2,N,2,1,3,7,45,1,N,2
2,N,1,1,1,5,21,1,N,2
2,6,1,1,8,5,48,1,N,2
1,4,1,2,N,3,71,1,N,2
1,6,1,1,4,10,39,1,N,2
2,N,6,2,8,10,30,1,N,2
1,5,1,2,5,8,61,1,N,2
2,1,8,1,9,7,61,1,N,2
2,6,2,1,1,9,9,1,N,2
1,1,6,1,7,6,24,1,N,2
1,1,1,2,2,8,62,1,N,2
2,1,1,1,N,4,80,1,N,2
1,1,2,2,0,9,30,1,N,2
2,N,1,1,N,9,59,1,N,2
2,1,2,1,6,10,23,2,N,2
2,4,1,1,N,5,61,1,N,2
2,1,1,1,N,4,38,1,N,2
2,1,2,1,0,N,19,1,N,2
2,1,1,2,7,3,53,1,N,2
1,6,2,2,5,11,81,1,N,2
2,N,1,1,0,4,46,1,N,2
1,6,2,2,9,3,27,1,N,2
1,6,1,1,7,7,3,1,N,2
1,6,2,1,0,9,5,1,N,2
2,4,9,2,2,9,74,1,N,2
1,1,2,1,8,9,11,1,N,2
2,1,6,1,1,4,4,1,N,1
1,6,6,1,9,7,49,1,N,2
1,6,6,1,9,10,89,1,N,2
1,1,1,1,9,11,30,1,N,2
2,6,1,1,9,11,53,1,N,2
1,1,1,1,2,12,56,1,N,2
2,3,1,1,9,9,46,1,N,2
2,6,2,2,5,10,24,1,N,2
1,1,9,2,4,7,68,1,N,2
1,6,1,1,9,7,54,1,N,2
2,N,2,2,9,3,48,1,N,2
1,3,2,1,2,3,51,1,N,2
2,6,1,2,9,4,77,1,N,2
2,6,1,1,0,3,24,1,N,2
2,1,1,1,0,2,0,1,N,2
2,6,1,2,3,3,24,1,N,2
