,RAC1P,SEX,EDU,PINCP_DECILE,MSP,HOUSING_TYPE,OWN_RENT
0,1,1,5,3,2,3,0
1,7,2,10,2,4,1,1
2,2,2,5,1,1,1,1
3,1,1,9,0,1,2,0
4,2,1,2,3,2,1,0
5,1,2,4,2,1,1,0
6,1,1,5,4,3,1,0
7,3,1,10,1,3,1,1
8,1,2,4,1,2,1,0
9,2,1,7,5,1,2,0
10,1,1,5,1,1,1,2
11,1,2,2,6,3,1,0
12,1,1,10,3,4,1,0
13,1,1,8,4,6,1,0
14,1,2,1,9,3,3,1
15,1,2,4,1,6,1,0
16,1,2,4,1,4,1,1
17,1,1,4,1,1,3,0
18,1,2,3,0,1,3,0
19,1,2,6,1,1,1,0
20,1,1,4,2,4,3,0
21,2,1,1,2,3,1,1
22,1,1,4,2,2,1,2
23,7,2,5,9,1,1,2
24,1,1,6,2,2,1,1
25,1,2,3,7,1,3,1
26,1,1,8,6,1,1,0
27,4,2,5,2,1,3,1
28,6,2,7,2,1,2,0
29,8,1,7,7,2,1,1
30,1,1,2,2,1,1,1
31,1,1,3,2,1,2,0
32,1,2,4,7,3,1,1
33,1,1,6,5,4,1,1
34,1,1,9,5,1,1,1
35,1,2,3,1,3,1,0
36,1,2,5,6,1,1,1
37,2,1,4,2,4,1,1
38,1,2,3,0,2,2,0
39,1,1,8,9,4,1,2
40,1,2,5,1,5,1,2
41,4,2,4,1,1,1,1
42,1,2,4,1,2,2,1
43,1,2,6,9,5,1,0
44,1,2,7,1,5,1,2
45,2,2,2,4,1,1,0
46,1,2,5,1,3,1,1
47,6,1,4,1,1,2,1
48,1,2,6,6,3,1,0
49,1,2,10,3,6,1,0
50,1,2,7,0,4,1,0
51,1,1,3,1,1,1,0
52,1,2,1,5,2,3,1
53,6,2,3,0,1,1,0
54,2,2,4,4,5,1,1
55,6,2,4,3,1,1,0
56,1,2,3,2,2,1,1
57,1,1,11,9,1,1,0
58,1,2,5,3,5,2,1
59,1,2,3,5,3,1,0
60,1,1,3,2,2,2,2
61,2,2,2,4,1,3,1
62,1,2,3,3,2,1,2
63,2,1,5,2,3,2,0
64,1,2,6,2,6,1,1
65,5,2,2,2,3,1,1
66,2,2,4,2,1,1,2
67,2,1,11,6,2,3,0
68,9,1,4,1,2,1,0
69,2,1,8,6,4,1,0
70,1,1,7,6,4,1,2
71,2,1,6,4,6,1,1
72,2,2,2,8,2,1,2
73,9,1,1,5,4,1,2
74,1,1,1,0,4,1,0
75,8,1,6,0,1,1,0
76,1,1,4,0,4,1,1
77,6,2,5,9,3,1,0
78,5,1,4,2,4,2,0
79,1,1,3,6,3,1,2
80,9,2,3,0,4,1,2
81,8,2,3,1,1,2,0
82,1,2,5,4,1,1,1
83,1,2,6,7,1,2,0
84,1,2,2,1,3,1,0
85,1,1,9,2,1,1,0
86,4,2,5,1,1,1,1
87,1,2,3,8,1,1,0
88,6,1,7,5,4,2,0
89,1,2,10,7,1,1,0
90,2,2,5,0,1,1,0
91,1,1,6,3,1,1,0
92,1,2,3,0,4,1,1
93,1,2,3,3,2,2,2
94,1,1,5,4,1,1,0
95,1,1,8,3,6,1,1
96,1,1,6,2,5,1,1
97,1,2,7,3,1,1,2
98,1,1,4,8,3,3,1
99,1,1,6,1,2,3,0
100,1,1,1,1,1,1,1
101,2,1,6,3,2,1,2
102,2,2,7,0,6,1,1
103,1,2,5,0,6,1,2
104,2,1,4,5,3,1,1
105,2,1,5,1,3,1,1
106,9,1,3,0,1,1,1
107,2,1,2,2,2,1,0
108,5,2,5,2,1,1,1
109,6,2,4,1,2,1,0
110,4,1,5,8,4,1,0
111,9,1,2,3,2,2,0
112,1,2,6,5,1,1,0
113,2,2,2,5,4,2,0
114,1,1,3,6,1,2,1
115,1,2,4,2,2,1,1
116,1,1,2,3,1,1,1
117,2,1,2,2,4,1,1
118,1,2,6,4,5,1,1
119,8,2,6,6,2,1,0
120,1,1,10,8,4,1,0
121,1,1,4,2,2,1,2
122,1,2,3,7,1,2,0
123,1,1,5,4,1,1,0
124,1,2,5,9,6,1,0
125,1,1,4,5,1,1,2
126,1,1,4,3,1,1,1
127,1,1,3,3,2,2,0
128,2,1,2,2,2,1,2
129,2,2,3,2,1,1,0
130,1,2,8,9,6,1,1
131,6,1,11,7,1,2,0
132,1,2,6,1,1,1,1
133,1,1,9,3,5,1,1
134,1,1,5,5,6,1,1
135,1,1,2,1,1,1,0
136,1,1,2,4,5,1,0
137,2,2,6,2,2,3,1
138,1,1,5,1,5,1,2
139,1,1,5,4,3,1,2
140,2,2,6,1,2,1,2
141,1,1,1,0,3,2,2
142,1,1,2,4,5,1,0
143,3,1,5,8,3,1,1
144,1,1,6,2,1,2,0
145,1,2,4,9,6,1,0
146,4,1,4,3,2,1,1
147,5,2,5,4,4,2,0
148,1,2,4,3,6,1,0
149,1,2,3,1,4,1,0
150,1,2,1,0,3,1,1
151,1,2,6,5,2,1,1
152,2,2,4,4,6,1,1
153,1,2,4,5,3,1,1
154,1,1,7,5,2,2,1
155,2,1,5,5,2,1,0
156,1,1,3,2,3,3,0
157,1,1,6,3,1,1,1
158,1,2,2,2,2,1,2
159,2,2,2,3,5,2,0
160,1,1,6,2,2,1,0
161,6,1,3,1,2,2,0
162,1,2,1,3,5,1,0
163,2,1,6,5,5,1,0
164,1,2,5,4,4,1,1
165,1,2,1,1,4,1,0
166,1,1,1,1,1,1,0
167,9,1,3,1,1,1,1
168,1,2,6,9,1,1,1
169,1,1,3,4,3,1,0
170,1,2,2,1,3,1,0
171,1,2,5,4,6,1,2
172,2,1,2,0,5,1,0
173,2,2,4,1,1,1,0
174,1,1,5,0,1,1,2
175,2,2,4,6,5,1,0
176,2,2,3,0,3,1,0
177,1,2,2,2,1,1,0
178,1,2,6,9,1,1,1
179,2,1,5,4,2,2,1
180,1,2,3,5,1,1,0
181,6,1,1,3,3,2,0
182,6,1,3,5,4,2,2
183,7,1,4,1,3,1,0
184,1,1,5,2,5,1,2
185,1,2,3,3,4,1,1
186,1,1,2,1,3,1,1
187,1,1,7,5,1,1,0
188,6,1,7,2,1,1,0
189,5,1,1,2,5,1,1
190,1,2,5,3,1,1,1
191,1,2,8,4,1,3,1
192,2,2,9,3,1,2,0
193,9,1,7,2,1,1,0
194,1,1,7,6,1,1,0
195,1,2,2,0,1,1,1
196,7,2,3,1,1,1,1
197,1,1,2,5,6,1,1
198,1,1,5,2,5,1,1
199,1,1,4,1,1,1,1
200,1,1,3,2,2,2,0
201,1,2,6,5,3,2,0
202,1,1,1,3,4,1,0
203,1,2,3,3,1,1,2
204,8,1,8,7,6,1,1
205,1,1,7,0,1,1,1
206,2,1,1,4,2,1,1
207,1,2,2,4,1,3,1
208,4,2,5,5,3,1,0
209,1,2,4,2,2,1,0
210,2,1,3,1,3,1,1
211,2,2,5,6,1,1,1
212,2,2,4,6,1,1,1
213,2,1,5,3,1,1,0
214,2,2,8,4,6,1,1
215,1,2,4,1,1,1,1
216,1,2,5,3,4,2,0
217,1,1,8,8,4,1,1
218,1,2,6,2,3,1,2
219,4,2,5,1,2,1,0
220,1,2,4,1,2,1,0
