,RAC1P,SEX,EDU,PINCP_DECILE,HOUSING_TYPE,MSP,OWN_RENT
0,1,1,4,4,1,6,2
1,1,1,5,3,2,3,2
2,6,1,1,7,3,1,0
3,4,2,7,5,1,3,0
4,9,2,12,7,1,2,0
5,1,1,5,5,1,5,2
6,1,2,3,1,2,1,2
7,1,1,6,2,1,6,1
8,8,2,7,6,3,3,2
9,2,2,8,0,1,2,0
10,1,2,2,8,1,4,1
11,1,2,6,2,1,1,1
12,2,1,4,7,2,6,0
13,1,2,11,0,1,4,0
14,6,2,6,6,2,5,1
15,8,1,5,3,1,1,0
16,1,1,4,2,2,3,0
17,9,1,9,5,2,4,0
18,1,1,4,3,2,5,1
19,1,2,8,3,2,6,0
20,1,1,4,5,1,3,0
21,4,2,6,5,1,4,1
22,1,1,5,2,1,6,2
23,2,1,8,8,3,5,0
24,1,1,4,6,1,2,0
25,2,2,3,3,2,4,1
26,9,1,8,5,1,1,1
27,2,1,10,1,1,3,0
28,1,2,8,9,1,2,2
29,1,1,5,0,1,5,0
30,1,2,5,1,1,4,0
31,2,2,2,2,2,5,1
32,1,2,6,3,1,1,1
33,1,1,6,2,1,1,0
34,1,1,4,5,1,1,0
35,1,2,3,1,1,2,0
36,1,1,4,0,2,4,1
37,1,2,5,3,1,1,1
38,1,2,7,4,1,3,1
39,1,2,7,5,1,1,0
40,1,2,1,0,3,2,0
41,1,2,10,1,3,1,0
42,6,1,11,1,3,1,0
43,1,2,2,2,1,4,1
44,1,2,8,1,3,1,2
45,1,2,3,9,1,1,1
46,2,2,5,0,1,3,0
47,1,2,4,1,1,2,1
48,5,1,5,0,1,1,0
49,1,2,8,4,1,1,1
50,1,1,7,3,2,6,0
51,1,2,5,3,1,1,0
52,2,1,10,8,1,4,0
53,1,1,9,8,1,2,0
54,1,1,11,7,1,1,1
55,8,1,7,1,2,3,0
56,2,2,5,3,3,1,0
57,1,1,7,1,1,2,2
58,1,1,9,7,1,6,2
59,5,2,3,1,2,4,1
60,2,1,3,1,1,1,0
61,2,2,10,2,1,1,0
62,9,2,2,3,1,3,1
63,1,2,5,6,1,6,1
64,1,2,10,9,1,6,0
65,1,2,9,3,3,5,0
66,8,1,3,9,1,6,1
67,1,1,9,7,1,1,0
68,1,1,3,2,1,1,1
69,4,1,3,2,2,2,0
70,1,2,5,4,3,1,0
71,1,2,5,1,1,1,1
72,1,2,4,4,1,2,1
73,5,1,2,3,1,4,1
74,2,1,4,9,1,3,0
75,2,1,6,0,2,2,0
76,1,2,7,4,2,6,0
77,1,2,9,3,1,4,0
78,1,1,3,0,1,4,1
79,1,1,5,0,3,4,1
80,8,2,2,8,1,2,2
81,1,2,8,1,1,1,2
82,7,1,2,8,2,3,0
83,1,2,2,3,1,1,0
84,1,1,2,5,1,4,2
85,1,2,8,1,1,6,1
86,1,1,8,9,1,6,1
87,2,1,5,4,1,1,2
88,2,1,1,1,1,1,1
89,1,1,5,2,2,6,0
90,4,2,4,0,1,3,1
91,6,2,7,6,1,1,0
92,1,2,5,0,1,1,1
93,1,1,11,7,1,5,1
94,1,1,3,7,2,1,0
95,6,1,8,6,3,6,1
