,SEX,RAC1P,MSP,HOUSING_TYPE,OWN_RENT,EDU,PINCP_DECILE
0,1,3,2,2,1,7,0
1,2,6,1,1,2,3,1
2,2,2,2,3,1,7,3
3,1,2,2,1,1,11,9
4,1,5,1,3,1,7,3
5,1,2,1,1,1,3,0
6,1,8,2,1,1,4,3
7,2,2,1,1,1,2,1
8,1,5,1,3,1,6,5
9,1,2,6,1,0,7,0
10,1,5,1,3,1,7,0
11,2,2,2,1,2,7,0
12,2,2,6,3,1,7,5
13,2,2,2,2,2,7,0
14,1,5,2,3,1,1,0
15,2,2,1,2,1,7,0
16,2,9,1,2,0,2,0
17,1,2,2,2,1,6,1
18,1,6,1,1,2,7,6
19,1,2,2,1,1,7,0
20,1,2,1,3,1,7,1
21,1,2,1,2,0,3,0
22,2,3,2,2,0,7,6
23,1,2,1,2,1,7,4
24,1,2,2,1,1,7,0
25,1,5,1,2,1,1,2
26,1,6,1,3,1,12,0
27,1,4,1,1,2,7,0
28,1,2,6,3,1,7,0
29,1,6,1,3,1,7,1
30,1,3,1,2,2,12,1
31,1,2,1,3,2,7,6
32,2,2,1,2,0,7,8
33,1,2,1,3,1,7,1
34,1,2,1,1,2,6,3
35,1,2,2,3,1,7,5
36,1,5,1,3,2,7,3
37,1,2,1,3,1,7,0
38,1,2,1,3,1,7,8
39,1,6,6,1,1,7,1
40,1,5,2,3,1,7,6
41,1,6,1,2,1,3,0
42,1,6,1,1,1,7,3
43,1,2,1,2,1,7,2
44,1,5,1,2,0,7,9
45,1,5,2,2,1,7,5
46,1,2,1,3,1,7,0
47,1,5,1,2,0,2,9
48,1,5,1,2,1,11,0
49,2,5,2,2,1,7,5
50,2,5,1,3,2,6,0
51,1,5,2,3,1,7,2
52,1,2,6,3,0,1,3
53,1,2,1,1,1,2,4
54,1,9,1,2,1,8,0
55,1,8,2,1,1,7,2
56,2,6,1,2,1,7,2
57,1,3,6,2,1,7,0
58,1,2,1,2,2,7,7
59,1,2,1,3,0,7,3
60,1,5,2,3,1,4,5
61,2,2,2,3,0,6,0
62,1,3,1,1,1,7,0
63,2,2,1,3,0,7,5
64,1,2,1,2,1,11,2
65,1,2,1,2,1,11,5
66,1,2,2,1,1,7,0
67,1,2,1,3,2,7,1
68,2,2,6,3,1,7,4
69,2,2,1,1,1,7,0
70,1,2,4,1,1,7,0
71,1,2,2,2,2,12,0
72,1,3,1,1,1,3,0
73,1,2,6,3,1,7,0
74,1,2,1,2,2,3,0
75,1,2,1,1,2,7,8
76,1,5,1,3,1,7,1
77,1,5,2,3,1,4,7
78,1,2,1,3,2,1,0
79,1,5,1,1,1,1,1
80,1,6,2,1,2,7,3
81,1,2,2,1,2,7,0
82,2,5,2,2,1,1,0
83,1,3,1,3,2,7,0
84,1,6,1,3,1,3,0
85,1,2,2,3,2,7,7
86,1,6,2,1,1,7,3
87,2,5,1,3,1,7,0
88,2,2,1,3,1,7,1
89,1,6,1,1,1,7,6
90,1,5,1,2,1,11,0
91,1,2,1,1,1,12,2
92,1,3,1,1,2,7,2
93,1,5,2,2,1,7,9
94,1,2,6,1,2,1,3
95,1,5,1,1,1,7,0
96,1,2,2,3,1,1,1
97,1,5,2,3,1,7,0
98,2,2,1,2,1,7,0
99,1,2,1,1,1,7,1
100,1,6,1,2,1,7,0
101,1,6,6,2,0,7,8
102,1,5,1,1,1,2,2
103,1,2,2,1,1,1,3
104,2,5,1,2,1,7,0
105,1,2,2,2,2,7,2
106,2,2,1,3,1,7,6
107,1,2,1,3,0,7,4
108,2,7,1,2,2,7,6
109,1,2,1,3,2,1,2
110,1,5,1,1,1,7,6
111,1,3,2,3,2,6,6
112,1,2,6,1,1,7,3
113,1,5,1,1,0,10,2
114,1,2,1,1,1,7,2
115,1,3,6,2,1,7,1
116,2,5,1,3,1,7,0
117,1,2,2,1,1,7,0
