,RAC1P,SEX,EDU,PINCP_DECILE,MSP,HOUSING_TYPE,OWN_RENT
0,1,2,8,4,3,1,1
1,1,2,6,0,6,1,1
2,1,1,6,3,1,3,2
3,2,1,5,7,6,2,0
4,2,2,8,2,4,2,2
5,2,2,9,6,4,3,1
6,1,1,5,2,3,3,0
7,1,1,7,8,5,2,0
8,1,2,6,2,4,3,1
9,1,2,5,4,2,1,1
10,9,1,8,2,4,1,2
11,1,1,9,5,1,1,2
12,1,2,7,0,6,2,0
13,8,2,5,6,6,1,0
14,1,2,2,6,5,1,1
15,8,2,5,1,4,1,0
16,1,2,3,3,5,2,0
17,1,1,10,4,4,3,2
18,1,1,5,6,1,1,1
19,2,1,10,3,1,2,1
20,8,1,1,5,1,3,2
21,2,2,7,9,3,1,1
22,9,1,5,7,5,1,1
23,1,2,2,2,4,1,2
24,7,1,5,6,5,1,1
25,2,1,3,8,1,2,1
26,1,1,7,5,5,3,0
27,1,2,5,5,3,2,0
28,2,2,8,2,3,1,2
29,9,1,7,9,2,3,0
30,9,1,10,7,4,2,0
31,5,2,1,4,5,1,1
32,1,2,4,8,1,1,1
33,7,1,4,8,4,2,2
34,1,2,2,8,1,2,0
35,1,2,8,6,3,2,0
36,1,1,5,2,4,3,2
37,1,1,6,3,1,1,0
38,8,1,8,9,3,1,2
39,1,2,3,1,6,1,0
40,1,1,4,8,4,1,2
41,6,2,7,3,2,3,0
42,1,1,8,6,6,1,2
43,8,1,6,0,5,1,2
44,1,1,10,8,4,2,1
45,2,2,5,2,5,1,0
46,2,2,5,6,6,1,0
47,1,1,3,5,2,1,1
48,1,2,7,2,6,2,0
49,1,2,6,6,3,1,1
50,5,1,1,5,1,3,1
51,1,1,7,9,1,1,1
52,1,1,8,1,1,1,1
53,1,2,7,3,4,3,0
54,1,1,9,4,6,3,2
55,1,2,6,3,1,3,2
56,1,2,10,5,1,1,1
57,6,1,7,7,6,1,2
58,9,2,7,1,4,3,0
59,2,2,7,0,4,1,1
60,1,2,6,1,3,1,0
61,1,1,5,6,4,1,2
62,8,2,3,3,2,1,2
63,1,1,5,8,4,1,0
64,2,1,3,0,5,3,1
65,9,2,10,5,6,3,2
66,2,2,7,0,4,1,1
67,1,2,7,0,1,1,2
68,1,1,5,5,1,3,1
69,1,2,5,8,2,1,1
70,1,1,5,0,4,3,0
71,1,2,11,5,6,3,0
72,1,2,2,8,2,2,0
73,1,1,4,4,1,1,1
74,8,1,3,1,6,3,0
75,1,2,8,0,1,1,0
76,1,2,3,4,6,1,1
77,1,2,5,4,1,1,1
78,9,1,2,2,1,2,0
79,1,1,7,3,3,2,0
80,1,2,6,6,3,1,1
81,9,2,4,5,2,2,2
82,1,1,9,5,1,1,1
83,1,1,8,5,6,2,1
84,2,1,12,7,4,1,1
85,2,2,5,1,1,1,1
86,1,2,7,2,1,3,0
87,8,2,10,4,1,1,1
88,9,1,7,6,1,1,1
89,1,1,5,2,2,1,2
90,1,1,7,7,1,3,0
91,6,2,5,6,2,3,0
92,1,2,2,8,2,1,0
93,7,2,5,4,1,1,0
94,2,2,7,8,5,2,0
95,2,2,3,9,6,2,0
96,1,2,4,1,3,2,2
97,1,2,6,7,5,3,1
98,2,2,4,2,1,1,1
99,6,2,5,5,3,3,0
100,1,1,6,2,1,1,2
101,1,1,6,4,4,1,0
102,9,2,7,6,6,3,2
103,1,1,5,0,1,3,0
104,1,2,7,5,6,3,1
105,1,1,6,2,5,1,2
106,1,1,5,8,6,3,2
107,1,1,9,3,3,1,1
108,6,2,8,3,6,3,0
109,2,1,7,0,2,1,1
110,9,2,7,0,3,1,0
111,1,2,8,0,6,2,0
112,1,1,5,3,1,1,1
113,1,1,5,9,5,1,2
114,9,1,7,6,6,1,0
115,1,1,5,4,3,1,0
116,1,1,5,8,1,3,0
117,1,1,4,0,5,1,2
118,1,1,5,0,3,1,2
119,2,2,8,4,1,2,0
120,1,1,5,2,1,1,1
121,1,2,7,1,5,1,2
122,1,1,7,5,4,1,2
123,1,1,11,1,3,2,1
124,1,2,6,1,1,1,1
125,1,1,7,3,1,2,0
126,5,2,1,3,2,1,1
127,2,1,5,5,2,2,0
128,1,1,5,6,4,1,0
129,1,2,7,5,2,3,1
130,1,2,7,7,4,2,0
131,9,2,10,0,1,2,1
132,1,2,5,7,1,2,2
133,9,2,12,7,4,1,1
134,1,1,4,1,1,1,0
135,1,2,5,1,6,2,0
136,6,1,10,4,1,3,1
137,1,1,7,1,6,3,1
138,1,1,5,4,6,1,0
139,1,1,8,4,1,1,2
140,1,1,3,8,2,1,2
141,8,2,7,6,4,2,2
142,1,2,5,1,5,3,0
143,1,1,8,2,6,1,1
144,8,2,4,2,1,3,0
145,1,2,7,3,6,1,0
146,2,1,4,4,4,3,0
147,9,1,4,0,2,1,1
148,6,1,7,4,2,2,2
149,1,2,8,8,1,1,2
150,2,2,10,7,4,1,0
151,1,2,5,4,1,1,0
152,1,2,7,7,2,3,0
153,5,1,6,2,3,1,2
154,1,2,6,0,2,1,1
155,1,1,9,7,1,1,2
156,9,2,5,4,6,2,0
157,9,2,10,5,5,2,0
158,6,2,3,3,5,1,2
159,2,1,8,3,4,1,0
160,1,1,5,2,2,1,1
161,8,1,8,3,5,3,1
162,1,2,5,4,4,3,0
163,1,1,5,6,4,2,0
164,1,2,2,6,5,1,1
165,1,2,5,0,1,1,1
166,1,1,5,2,1,1,1
167,1,2,5,4,4,3,0
168,1,2,8,2,3,3,2
169,9,2,8,7,1,1,0
170,1,1,7,7,4,1,1
171,2,2,6,7,4,2,0
172,1,1,4,2,6,1,0
173,8,2,4,2,6,1,2
174,8,2,3,3,6,1,2
175,9,1,2,0,4,3,0
176,2,2,10,8,3,1,2
177,2,2,5,1,6,1,2
178,1,1,8,4,1,1,0
179,2,2,11,4,3,3,0
180,2,2,4,1,6,1,1
181,8,2,4,3,6,2,0
182,1,2,8,6,2,1,2
183,1,2,5,4,1,1,1
184,1,1,12,8,4,2,0
185,8,2,4,7,5,3,0
186,1,2,5,3,3,2,2
187,1,1,5,5,1,1,1
188,1,2,5,5,1,1,1
189,1,1,2,2,5,1,2
190,1,2,5,3,1,1,0
191,1,1,4,7,1,1,1
192,2,2,4,8,1,2,0
193,1,1,4,8,6,1,1
194,8,2,7,1,3,1,0
195,7,1,8,6,3,1,1
