,RAC1P,SEX,EDU,PINCP_DECILE,HOUSING_TYPE,MSP,OWN_RENT
0,2,1,6,6,2,4,0
1,2,2,5,2,1,2,1
2,8,2,3,5,1,6,1
3,1,1,10,9,2,5,0
4,1,2,5,1,1,6,0
5,1,1,5,1,1,1,2
6,1,2,5,3,1,1,2
7,1,2,5,8,1,1,1
8,1,1,5,4,1,4,2
9,8,1,10,8,1,4,1
10,1,2,2,6,3,6,0
11,2,1,5,2,1,1,2
12,1,2,8,4,1,3,2
13,1,1,7,4,1,5,1
14,1,1,8,3,1,4,2
15,1,1,4,3,1,2,2
16,1,2,8,5,2,6,1
17,1,1,5,3,3,4,1
18,1,2,7,4,2,2,0
19,1,1,4,0,1,1,1
20,2,1,5,4,1,1,0
21,6,2,10,0,2,1,0
22,1,1,7,1,1,2,2
23,1,1,3,3,1,2,2
24,1,2,7,3,1,1,2
25,1,2,9,1,1,1,1
26,1,1,6,6,1,3,1
27,1,2,9,0,1,4,0
28,1,1,5,4,1,6,1
29,1,2,10,9,1,6,2
30,1,1,8,4,3,4,1
31,1,2,5,2,1,6,0
32,1,1,5,5,1,1,1
33,1,1,4,9,1,3,1
34,1,2,6,4,1,2,0
35,1,2,7,9,1,4,1
36,1,1,3,1,1,4,2
37,2,1,1,6,1,6,1
38,1,1,5,6,1,4,1
39,2,2,10,9,1,4,0
40,6,2,5,7,1,3,0
41,1,1,1,1,1,4,1
42,1,2,9,5,1,1,1
43,1,2,5,3,1,3,2
44,1,1,5,4,1,2,2
45,2,1,7,3,1,4,2
46,1,1,3,8,1,2,0
47,1,1,6,8,1,1,2
48,2,2,10,3,1,6,1
49,1,1,9,6,1,4,1
50,8,1,8,5,1,5,1
51,1,2,5,2,1,1,2
52,1,2,5,1,3,1,2
53,1,2,7,2,1,5,2
54,9,1,3,1,1,5,1
55,2,2,8,4,1,1,1
56,1,2,7,2,1,1,0
57,3,1,11,5,1,1,1
58,9,1,5,5,2,1,0
59,1,2,8,1,1,3,2
60,1,1,5,4,1,5,0
61,1,1,8,5,1,1,0
62,1,1,10,6,3,2,0
63,1,1,7,8,1,6,0
64,2,2,5,3,2,2,2
65,1,1,5,8,2,4,1
66,6,1,5,4,1,6,0
67,9,1,9,4,1,4,1
68,1,2,7,8,2,6,0
69,2,1,6,2,1,3,2
70,6,2,8,4,3,4,0
71,2,2,8,2,1,6,2
72,9,1,2,4,3,2,0
73,9,2,1,0,3,3,0
74,1,2,3,4,1,6,2
75,1,1,9,6,1,1,1
76,9,1,5,8,1,1,0
77,8,1,8,2,1,3,1
78,1,1,9,2,1,6,0
79,6,1,3,0,1,5,0
80,1,1,5,5,1,4,1
81,1,2,6,1,2,4,2
82,1,2,7,8,1,2,2
83,1,2,5,6,2,4,1
84,1,2,8,1,1,1,2
85,1,1,10,3,3,1,1
86,1,2,3,1,1,2,1
87,2,1,5,3,1,1,1
88,2,2,1,5,1,1,1
89,1,1,4,2,1,5,1
90,1,1,5,7,3,4,1
91,1,1,9,6,1,1,1
92,1,1,5,4,2,6,2
93,2,2,2,9,1,4,2
94,6,1,9,3,2,1,1
95,1,1,9,3,3,1,2
96,9,1,2,5,1,1,0
97,1,1,5,4,1,1,1
98,1,2,6,1,1,1,2
99,9,1,7,5,1,1,2
100,9,1,6,2,1,1,1
101,9,1,3,5,2,1,0
102,9,2,6,9,1,3,1
103,1,1,4,4,1,3,2
104,1,2,8,6,1,5,1
105,1,1,6,4,3,1,0
106,3,1,8,8,2,5,0
107,9,2,7,6,1,1,2
108,1,1,3,9,1,2,1
109,1,1,6,2,1,2,1
110,1,1,5,3,1,1,1
111,1,1,5,6,1,4,1
112,1,2,6,0,1,3,1
113,1,2,6,5,1,4,0
114,1,2,10,5,1,5,1
115,1,1,5,2,1,5,2
116,6,2,6,5,1,1,1
117,5,2,9,8,1,5,1
118,1,2,5,4,1,6,2
119,1,1,7,0,1,1,2
120,1,1,7,2,1,2,1
121,2,1,1,1,1,4,2
122,6,2,7,9,1,1,1
123,1,1,5,6,1,6,1
124,9,1,4,1,1,5,2
125,2,1,4,5,3,6,1
126,1,1,3,4,1,5,0
127,1,1,5,2,2,4,0
128,1,1,5,0,1,4,2
129,6,1,8,8,1,4,0
130,7,2,11,5,1,5,1
131,1,1,4,5,1,5,1
132,1,2,4,1,1,2,0
133,2,2,4,4,3,3,1
134,3,1,5,3,1,1,0
135,9,1,5,6,1,1,1
136,6,1,8,3,1,6,0
137,9,1,6,9,2,4,0
138,1,2,4,9,1,6,1
139,2,1,7,0,2,4,1
140,1,1,3,2,1,5,2
141,1,2,3,3,3,1,0
142,9,1,9,3,1,2,2
143,2,1,6,3,1,2,2
144,2,1,9,1,1,6,2
145,1,2,5,5,1,3,1
146,1,2,3,1,2,3,2
147,2,2,8,9,1,6,1
148,1,2,8,6,1,5,1
149,1,2,5,1,1,1,0
150,1,2,4,4,1,6,1
151,1,1,7,2,1,2,1
152,8,2,8,4,1,3,1
153,1,2,7,6,2,3,1
154,2,1,5,6,2,6,1
155,1,2,5,2,1,3,2
156,1,2,9,4,2,4,2
157,7,2,5,1,1,2,2
158,1,1,5,3,1,1,0
159,8,2,7,5,1,1,0
160,1,2,7,9,1,1,1
161,1,2,7,4,1,3,2
162,9,2,5,2,1,1,2
163,2,2,6,6,2,4,1
164,1,2,2,4,2,1,1
165,1,1,6,5,1,1,1
166,9,1,7,3,1,6,2
167,6,2,6,2,1,1,0
168,1,2,7,4,3,4,2
169,1,2,11,6,1,5,1
170,1,1,8,5,3,4,2
171,9,2,3,3,2,5,2
172,2,1,6,3,1,5,2
173,1,2,5,6,1,5,1
174,1,2,6,8,2,2,0
175,4,2,6,9,2,4,0
176,1,1,5,9,1,1,1
177,1,1,10,2,1,5,2
178,1,1,5,5,1,5,1
179,3,2,10,7,1,2,1
180,1,2,5,5,1,6,1
181,9,2,4,6,2,2,1
182,1,1,5,5,1,6,1
183,1,2,5,6,3,5,1
184,1,1,6,2,1,6,1
185,8,1,5,8,1,4,1
186,2,1,5,2,2,2,2
187,2,2,4,4,3,5,0
188,2,1,11,4,2,1,2
189,1,2,5,7,1,1,2
190,1,1,12,6,1,1,0
191,1,1,5,9,2,2,0
192,1,2,3,6,1,6,2
193,1,2,4,2,1,5,2
194,1,1,5,4,1,5,0
195,1,1,8,4,1,6,2
196,1,1,5,4,3,4,2
197,1,2,4,3,1,2,2
198,6,1,1,0,1,5,0
199,1,1,6,2,1,4,1
200,1,1,1,1,2,1,2
201,1,1,5,4,1,4,0
202,9,2,5,0,3,1,0
203,1,1,4,5,1,5,0
204,1,1,5,5,1,6,1
205,1,1,8,1,1,1,1
206,1,2,6,2,1,5,1
207,1,1,10,6,1,4,2
208,1,1,4,4,1,4,0
209,1,2,10,6,1,4,1
210,2,1,3,1,1,3,0
211,2,1,5,4,1,5,2
212,1,2,7,1,1,2,2
213,2,2,7,2,1,2,2
214,1,1,7,6,1,4,1
215,1,1,1,5,1,6,0
216,8,1,5,8,1,2,1
217,1,2,12,9,1,4,0
218,1,2,7,2,1,6,0
219,1,1,6,9,1,3,1
220,1,1,4,3,1,5,2
221,9,1,7,4,1,5,0
222,2,1,7,8,1,4,1
223,1,1,8,5,1,1,0
224,2,1,6,2,3,4,1
225,6,2,5,2,1,6,1
226,1,2,5,5,1,5,0
227,9,2,5,5,1,2,2
228,1,2,5,1,1,1,1
229,9,2,6,6,3,3,1
230,1,1,5,6,2,1,2
231,2,1,9,7,1,5,1
232,1,2,6,1,1,2,0
233,1,1,10,9,1,1,1
234,6,2,2,6,2,6,0
235,1,2,7,5,1,1,1
236,1,2,5,3,2,4,0
237,1,2,5,7,3,6,0
238,1,2,8,3,3,1,2
239,1,1,6,4,3,1,0
240,9,2,5,5,1,4,0
241,1,2,4,6,1,1,2
242,5,2,2,2,1,6,1
243,1,2,6,2,1,3,1
244,1,2,11,6,1,4,2
245,1,1,8,5,1,1,1
246,1,1,5,4,1,3,2
247,1,2,7,6,1,5,1
248,1,2,5,4,3,1,2
249,2,2,1,1,1,1,1
250,1,2,5,1,1,4,0
251,9,1,3,0,2,4,1
252,1,1,2,3,3,4,1
253,2,1,7,2,1,4,1
254,4,1,7,6,1,1,1
255,5,1,5,1,3,1,1
256,1,2,8,7,1,2,0
257,2,1,10,9,3,1,1
258,2,1,8,3,1,5,0
259,1,1,2,4,1,5,1
260,1,2,6,5,1,3,1
261,5,1,4,6,2,5,1
262,9,1,2,5,1,2,0
263,1,2,8,1,1,6,2
264,6,2,9,3,1,6,1
265,6,1,3,9,1,4,0
266,1,2,5,4,1,4,1
267,9,2,9,6,1,6,1
268,1,1,4,3,1,4,1
269,1,2,5,1,1,1,1
270,1,1,12,7,2,1,2
271,1,1,3,6,1,3,1
272,2,2,5,5,1,4,0
273,1,1,5,5,1,1,1
274,1,2,5,4,1,4,2
275,9,2,4,6,1,5,1
276,1,1,1,0,1,4,1
277,1,2,6,5,1,2,1
278,8,1,12,5,1,6,0
279,1,1,9,6,1,1,1
280,1,2,6,4,3,3,1
281,1,2,7,5,1,3,1
282,1,2,7,3,3,1,0
283,6,1,5,2,1,6,0
284,9,1,10,4,1,6,1
285,8,1,2,8,1,2,0
286,1,2,1,3,1,6,1
287,1,1,11,5,1,1,1
288,9,1,5,1,3,5,2
289,1,2,5,4,1,4,2
290,1,2,5,0,2,5,2
291,1,1,6,3,1,4,1
292,6,1,2,1,1,6,1
293,1,2,5,8,3,1,1
294,1,2,2,6,1,6,1
295,9,1,7,2,1,3,2
296,7,2,8,3,1,4,1
