,RAC1P,SEX,EDU,PINCP_DECILE,MSP,OWN_RENT,HOUSING_TYPE
0,2,2,5,4,3,2,1
1,1,1,1,1,3,1,1
2,1,1,4,4,5,2,1
3,2,1,5,4,4,0,3
4,2,1,2,6,6,2,1
5,1,1,9,6,2,0,1
6,5,1,4,3,2,2,3
7,1,1,4,3,2,2,1
8,8,1,5,1,4,1,1
9,1,1,7,5,1,1,1
10,1,1,10,1,1,0,3
11,1,2,4,0,6,2,1
12,1,2,8,6,6,1,1
13,1,1,5,0,4,0,1
14,9,1,5,7,6,0,2
15,1,1,6,9,1,1,1
16,9,1,6,1,5,0,1
17,4,2,5,4,1,2,1
18,1,2,8,1,1,2,1
19,4,1,3,9,1,0,1
20,1,1,10,8,3,0,2
21,1,1,7,5,3,2,1
22,1,1,9,5,1,2,1
23,1,2,2,6,1,0,1
24,7,2,5,2,1,0,1
25,1,1,5,3,3,1,1
26,1,2,5,4,6,0,3
27,1,1,5,0,1,0,3
28,5,1,1,1,6,0,1
29,6,2,9,2,1,0,3
30,1,1,7,9,5,1,1
31,8,2,8,1,6,1,1
32,1,1,1,1,1,2,1
33,6,1,12,6,6,0,1
34,1,2,12,4,1,2,1
35,9,1,1,8,6,2,1
36,1,1,3,9,6,2,1
37,1,1,5,3,6,1,1
38,3,2,7,1,2,2,1
39,1,2,9,0,1,0,3
40,1,2,1,6,1,0,3
41,2,1,12,3,5,0,2
42,1,1,5,8,4,0,1
43,1,2,2,2,1,1,3
44,6,1,12,2,5,2,1
45,1,2,6,6,1,1,1
46,6,2,9,2,1,0,3
47,4,2,9,2,1,1,1
48,9,1,6,6,6,2,1
49,1,2,7,2,4,1,1
50,1,2,9,0,1,0,3
51,1,1,9,5,1,0,1
52,2,1,9,6,6,0,1
53,7,2,5,8,5,0,1
54,8,2,9,2,3,2,1
55,1,2,7,1,1,0,1
56,1,2,2,3,2,0,1
57,1,2,3,7,6,1,1
58,1,2,1,3,3,1,1
59,9,1,1,5,6,2,2
60,8,1,12,8,1,2,1
61,1,2,1,1,3,1,1
62,9,2,10,4,1,2,1
63,9,2,5,9,5,2,1
64,1,1,9,4,4,0,3
65,1,2,1,0,3,0,1
66,1,2,3,7,5,2,1
67,1,2,6,0,6,1,1
68,1,2,2,1,1,0,1
69,2,2,5,4,5,2,1
70,1,2,9,1,1,0,3
71,8,2,2,1,6,1,1
72,1,2,10,0,1,0,3
73,1,2,3,0,5,0,1
74,8,1,8,2,6,0,1
75,1,2,4,6,1,2,3
76,1,1,5,0,2,1,1
77,6,1,7,3,3,2,1
78,1,2,10,5,5,0,1
79,6,2,10,3,4,0,1
80,1,2,10,0,1,1,1
81,6,1,8,4,4,1,1
82,1,1,5,1,4,0,3
83,9,2,7,0,4,0,1
84,6,1,5,6,3,2,1
85,1,2,9,7,3,1,1
86,1,2,5,2,5,2,1
87,2,1,2,4,5,2,1
88,2,1,9,1,1,0,3
89,7,1,5,6,1,2,1
90,1,2,4,5,1,0,1
91,1,1,5,4,1,0,1
92,1,2,4,7,4,0,1
93,1,1,5,7,3,1,1
94,2,1,3,9,3,0,1
95,9,2,7,4,3,0,2
96,2,1,3,8,6,2,2
97,9,2,11,2,1,0,3
98,1,1,4,5,1,2,3
99,1,2,5,7,1,1,1
100,5,1,7,6,2,2,2
101,1,2,9,1,1,2,1
102,1,2,3,3,2,1,1
103,1,2,7,6,4,0,1
104,9,2,7,6,1,2,1
105,7,2,4,3,3,0,3
106,1,2,7,2,6,0,2
107,6,2,9,8,4,1,1
108,4,1,5,2,1,2,1
109,1,1,8,0,1,1,1
110,4,1,4,2,3,1,1
111,1,2,4,4,3,1,1
112,1,1,3,2,2,2,1
113,1,2,7,8,5,1,1
114,7,1,11,5,6,1,1
115,1,2,2,6,6,1,2
116,1,1,9,4,1,2,1
117,1,2,9,2,5,2,1
118,1,2,3,6,6,1,1
119,1,1,9,0,1,0,3
120,1,1,5,4,6,1,1
121,7,2,6,3,2,1,1
122,1,2,9,6,1,0,1
123,1,1,5,3,1,0,1
124,1,1,5,0,5,1,1
125,6,2,9,0,1,0,3
126,5,1,9,4,1,1,1
127,1,1,9,3,1,1,1
128,6,2,12,2,6,0,1
129,1,2,8,6,4,0,1
130,9,1,7,0,6,0,2
131,1,1,9,0,1,0,3
132,1,1,7,1,1,0,1
133,1,1,7,5,1,1,1
134,3,1,8,0,4,0,3
135,1,2,4,1,4,2,1
136,1,1,5,0,3,0,1
137,2,2,5,6,1,2,1
138,2,1,5,1,1,0,2
139,1,2,2,1,4,1,1
140,1,2,10,8,4,2,1
141,1,1,1,4,3,2,1
142,1,2,5,1,1,1,1
143,9,2,8,0,1,1,1
144,3,2,9,5,1,0,1
145,2,2,3,0,1,0,1
146,6,1,5,6,1,0,1
147,1,1,5,6,6,0,3
148,7,2,5,3,3,2,1
149,5,1,1,0,6,0,1
150,6,2,5,7,6,0,3
151,2,1,5,1,6,2,1
152,1,2,9,6,2,1,1
153,1,1,7,4,4,0,1
154,1,1,5,4,5,1,1
155,1,2,4,1,6,0,1
156,1,2,8,0,4,0,3
157,1,1,7,0,2,2,1
158,1,2,7,0,6,2,1
159,2,1,7,9,6,0,1
160,7,2,5,3,4,0,1
161,2,2,5,0,4,1,1
162,1,2,9,3,1,0,1
163,1,2,6,4,5,0,2
164,8,1,6,6,2,2,1
165,1,2,4,5,6,1,2
166,1,1,7,0,1,2,3
167,1,2,5,2,3,0,2
168,1,2,10,0,1,0,3
169,1,2,5,0,2,1,1
170,1,2,10,2,1,1,1
171,1,2,7,4,6,1,1
172,1,2,1,8,5,2,1
173,9,1,6,3,3,0,3
174,1,2,10,0,1,0,3
175,1,1,4,6,1,2,1
176,2,1,10,7,5,0,1
177,1,1,7,1,1,2,1
178,1,2,5,3,5,0,1
179,1,1,8,3,1,0,1
180,1,2,5,4,5,0,1
181,6,1,7,5,4,0,1
182,1,1,7,7,6,0,3
183,1,2,4,2,3,0,1
184,1,1,1,4,1,2,1
185,1,1,5,2,6,1,1
186,1,1,8,0,5,0,1
187,1,2,4,5,5,1,1
188,1,1,5,4,4,0,1
189,2,2,4,0,6,2,1
190,2,2,10,4,4,2,1
191,1,1,5,3,3,0,3
