,SEX,RAC1P,EDU,MSP,PINCP_DECILE,HOUSING_TYPE,OWN_RENT
0,1,1,6,1,8,1,0
1,1,1,10,3,5,1,0
2,1,1,5,6,2,1,2
3,2,1,1,2,0,1,0
4,1,1,4,1,6,1,0
5,2,9,1,1,3,1,2
6,1,2,2,1,1,1,0
7,2,1,2,1,1,1,1
8,1,8,3,5,8,2,0
9,2,1,3,2,1,1,1
10,2,1,6,3,2,1,1
11,2,9,3,1,1,1,0
12,1,1,9,5,6,1,2
13,1,8,7,5,0,3,1
14,1,1,4,1,8,1,0
15,2,3,6,6,9,1,2
16,2,1,8,1,2,1,1
17,1,1,9,5,8,1,1
18,1,2,3,4,3,1,2
19,2,1,9,6,7,1,2
20,1,1,7,2,6,1,1
21,1,1,6,6,4,1,0
22,1,1,4,1,9,1,1
23,1,1,7,4,1,2,0
24,1,1,7,1,5,1,0
25,1,1,4,4,2,1,1
26,1,1,3,4,4,1,0
27,2,1,3,2,0,1,0
28,2,1,7,2,0,1,2
29,1,1,8,4,5,2,0
30,1,1,2,4,0,1,1
31,1,1,8,5,9,2,2
32,1,1,3,2,5,2,1
33,1,1,4,5,3,2,2
34,1,1,3,1,0,1,2
35,1,1,6,4,7,1,1
36,1,1,2,6,9,1,2
37,1,9,8,6,2,1,2
38,2,1,5,4,0,1,1
39,1,1,7,1,1,1,0
40,2,6,3,2,6,1,2
41,1,1,3,1,1,1,0
42,2,1,7,4,2,3,0
43,1,1,7,1,1,1,0
44,2,1,7,6,0,3,2
45,2,1,5,4,6,1,0
46,2,1,7,5,4,1,2
47,2,6,9,1,6,1,0
48,1,1,9,1,3,1,1
49,2,2,3,2,1,1,1
50,1,4,6,4,5,1,1
51,1,2,2,1,1,1,1
52,1,1,5,4,4,1,2
53,2,2,9,5,7,2,1
54,1,1,11,6,5,1,2
55,2,2,10,6,6,3,1
56,2,1,2,2,1,1,1
57,1,8,1,1,8,1,2
58,2,1,1,1,0,1,0
59,2,2,12,6,1,1,0
60,1,1,3,1,0,1,0
61,1,9,3,1,0,1,1
62,1,1,7,2,3,3,0
63,1,1,5,1,3,2,0
64,2,1,7,1,7,1,1
65,1,9,5,2,7,1,1
66,2,1,7,4,9,1,1
67,2,1,8,3,7,1,2
68,1,5,7,6,0,2,2
69,2,6,8,1,7,1,0
70,2,1,7,6,6,1,0
71,2,2,6,6,8,1,2
72,2,9,2,4,5,1,1
73,2,6,3,2,3,1,2
74,2,1,3,2,1,1,1
75,2,1,3,2,1,1,0
76,1,1,7,6,2,1,0
77,1,9,5,5,1,1,0
78,1,5,11,5,2,1,0
79,2,1,3,2,1,1,0
80,2,9,9,1,9,1,0
81,1,1,7,1,4,1,1
82,2,1,3,4,5,1,1
83,1,1,6,6,8,1,2
84,1,3,3,2,1,1,1
85,1,1,4,5,1,1,0
86,2,2,7,6,8,2,1
87,1,1,8,5,1,1,0
88,2,2,3,2,0,1,0
89,2,1,2,1,1,1,0
90,1,1,8,3,7,1,0
91,1,1,8,2,1,1,1
92,2,1,1,6,5,2,0
93,2,1,3,2,0,1,0
94,2,1,3,2,1,1,1
95,1,8,3,1,1,1,0
96,1,1,7,6,2,1,1
97,2,1,8,6,3,1,1
98,1,1,8,2,7,1,2
99,1,1,4,4,3,2,2
100,2,1,7,6,2,1,2
101,1,1,8,4,1,1,2
102,1,9,2,3,8,1,1
103,2,1,7,1,8,1,0
104,2,1,9,6,8,1,1
105,1,7,10,1,7,1,0
106,2,1,6,6,1,1,2
107,1,1,2,1,1,1,0
108,1,8,10,3,6,1,1
109,1,1,10,1,9,1,0
110,1,1,3,2,0,1,0
111,1,1,4,2,3,1,1
112,2,1,3,1,1,1,1
113,1,1,1,5,8,2,1
114,2,1,9,6,7,1,1
115,1,8,1,4,3,3,2
116,1,1,6,1,8,1,2
117,2,1,5,6,5,1,0
118,1,8,7,3,6,1,1
119,2,1,5,1,5,1,0
120,1,1,5,1,1,1,1
121,1,1,3,2,1,1,1
122,2,1,3,2,1,1,0
123,1,1,8,5,5,2,2
124,1,1,4,3,6,1,1
125,1,1,6,2,3,1,0
126,2,6,12,1,8,1,0
127,1,1,3,2,0,1,0
128,2,3,5,6,3,1,2
129,1,4,6,4,7,1,1
130,1,1,3,2,0,1,1
131,1,1,3,5,0,2,2
132,1,1,7,6,5,2,2
133,1,3,3,1,6,2,0
134,2,1,3,2,0,1,0
135,1,7,1,5,8,1,0
136,2,1,9,6,5,3,2
137,1,1,1,5,7,3,1
138,1,1,3,2,1,1,1
139,1,1,10,2,7,1,0
140,2,1,2,1,1,1,1
141,1,8,6,6,2,1,1
142,2,8,12,1,7,1,0
143,2,1,2,2,1,1,0
144,1,1,7,1,2,1,0
145,1,1,2,1,1,1,1
146,1,9,3,1,1,1,1
147,1,2,2,1,1,1,0
148,1,6,5,6,2,1,2
149,2,1,3,2,1,1,1
150,1,1,7,6,3,2,1
151,1,5,5,6,7,1,2
152,1,1,3,1,1,1,1
153,1,1,5,4,5,1,0
154,1,1,9,1,4,1,0
155,2,1,7,2,1,1,2
156,1,1,1,1,2,1,2
157,1,1,8,4,3,1,1
158,2,9,3,1,1,1,1
159,1,1,5,6,1,3,2
160,1,1,3,2,0,1,0
161,1,1,8,4,8,1,2
162,2,1,3,2,0,1,0
163,2,9,2,2,1,1,0
164,2,9,8,1,8,2,0
165,1,1,8,1,2,1,0
166,2,2,6,1,9,1,1
167,1,1,2,1,1,1,0
168,2,2,1,4,6,1,1
169,2,1,2,2,1,1,1
170,2,1,5,2,6,1,1
171,2,1,2,1,1,1,1
172,2,1,6,1,6,1,0
173,2,1,10,6,8,1,0
174,1,1,7,3,5,1,0
175,1,1,3,1,1,1,1
176,1,1,3,2,1,1,1
177,2,1,3,1,1,1,1
178,1,1,5,6,6,3,1
