,RAC1P,SEX,EDU,PINCP_DECILE,MSP,HOUSING_TYPE,OWN_RENT
0,1,2,1,0,2,1,1
1,1,2,5,0,3,1,1
2,1,2,1,3,1,2,0
3,1,1,2,5,1,1,1
4,2,2,4,3,2,2,0
5,4,2,3,2,3,2,0
6,2,2,2,0,2,3,0
7,6,1,3,4,2,2,1
8,1,1,1,1,1,1,1
9,3,2,6,2,4,1,0
10,1,2,4,7,2,1,1
11,6,1,1,0,5,1,0
12,1,2,3,4,1,1,0
13,5,1,3,3,1,2,0
14,2,1,6,0,1,1,1
15,1,2,6,1,2,3,1
16,1,2,6,2,2,1,0
17,1,2,4,0,1,2,0
18,7,1,1,4,1,3,1
19,1,2,4,1,5,2,0
20,1,2,4,3,1,1,0
21,1,1,5,5,3,1,1
22,1,2,5,6,1,1,0
23,7,1,4,1,2,1,0
24,1,1,12,2,1,1,1
25,2,2,3,3,2,1,0
26,1,1,2,3,1,3,1
27,1,2,3,6,1,1,1
28,1,2,5,3,3,1,0
29,1,2,4,4,1,1,0
30,1,2,5,3,1,1,0
31,8,2,3,4,2,1,0
32,6,2,3,4,1,2,0
33,2,1,1,2,4,3,0
34,1,1,5,3,2,2,0
35,1,1,5,2,1,2,0
36,2,1,4,2,3,2,1
37,1,2,4,3,1,2,0
38,1,1,3,1,3,1,1
39,2,2,7,2,2,2,1
40,7,2,4,3,3,1,0
41,1,1,3,3,2,1,1
42,1,1,4,4,2,1,1
43,1,1,10,2,1,1,1
44,1,1,4,4,1,2,0
45,2,2,4,2,2,1,0
46,6,2,1,3,1,2,0
47,1,2,5,1,1,1,1
48,1,1,4,1,1,1,0
49,5,1,4,3,6,3,0
50,3,1,1,9,2,3,1
51,6,1,4,4,1,2,1
52,1,2,1,2,1,3,1
53,2,2,3,2,3,2,1
54,1,2,3,3,3,2,0
55,1,1,1,2,5,2,0
56,2,2,9,8,1,1,0
57,9,2,6,6,3,2,1
58,2,2,3,7,3,3,0
59,1,2,3,0,1,1,1
60,4,2,10,7,3,1,0
61,1,2,3,2,1,3,1
62,2,1,2,9,1,1,0
63,1,2,1,5,2,1,1
64,1,1,3,2,1,1,0
65,1,2,6,1,2,1,0
66,1,2,1,3,1,1,1
67,1,1,2,1,4,1,0
68,1,2,3,4,5,2,0
69,2,1,3,0,3,1,1
70,3,2,5,2,2,1,1
71,1,2,3,1,5,1,1
72,1,2,2,0,1,1,0
73,1,2,2,2,3,1,0
74,1,1,2,3,1,1,1
75,5,1,3,6,3,2,1
76,1,2,4,3,3,3,0
77,1,1,5,0,2,1,1
78,1,1,5,0,4,3,1
79,2,2,8,5,1,2,0
80,2,2,4,0,3,1,1
81,1,2,4,0,1,1,0
82,2,2,6,2,1,1,0
83,1,1,4,4,4,2,1
84,2,2,3,4,4,1,1
85,9,1,5,4,1,1,0
86,1,2,3,2,3,2,0
87,9,1,1,5,2,1,0
88,1,2,4,5,1,1,0
89,1,1,2,2,2,1,1
90,9,1,4,4,2,1,0
91,1,2,1,3,3,2,0
92,2,1,4,5,2,1,0
93,2,1,2,4,1,2,1
94,9,1,5,2,4,1,0
95,2,2,7,5,4,2,1
96,1,2,1,3,5,2,1
97,2,1,1,9,1,1,0
98,2,2,4,1,1,1,0
99,5,1,6,1,2,2,0
100,1,2,1,4,1,1,0
101,1,2,1,8,2,1,0
102,2,1,6,7,2,1,0
103,1,2,10,2,2,1,1
104,1,1,3,0,1,2,0
105,1,1,5,4,1,1,0
106,1,1,6,2,1,1,0
107,1,1,3,7,3,1,1
108,9,1,1,5,2,1,0
109,2,2,5,3,3,1,1
110,1,1,6,3,2,1,0
111,1,1,7,4,2,1,0
112,1,2,6,6,1,1,0
113,1,2,5,3,3,1,1
114,2,1,1,0,1,2,0
115,1,2,3,2,1,2,0
116,6,2,2,1,1,2,0
117,1,1,2,4,1,1,1
118,1,1,4,1,1,1,1
119,2,1,3,0,2,2,1
120,1,2,6,4,3,1,0
121,2,2,2,6,1,2,1
122,4,1,3,2,1,1,1
123,2,2,5,0,3,1,0
124,1,2,2,2,1,1,0
125,2,1,4,2,2,1,0
126,1,1,3,2,5,1,1
127,1,2,2,2,1,2,1
128,1,2,4,2,5,2,1
129,2,2,4,3,3,1,1
130,2,2,2,4,1,2,0
131,1,2,5,4,5,1,0
132,3,1,4,0,5,2,1
133,1,1,2,0,3,1,1
134,4,2,9,7,4,1,1
135,9,1,5,3,2,1,0
136,1,1,4,4,5,2,1
137,1,1,3,3,5,2,1
