,SEX,RAC1P,MSP,PINCP_DECILE,EDU,OWN_RENT,HOUSING_TYPE
0,2,1,1,0,1,0,1
1,1,1,2,7,5,0,2
2,2,1,1,4,3,0,1
3,2,1,1,0,1,0,1
4,1,1,1,1,3,0,1
5,1,1,1,3,7,0,1
6,1,9,2,3,1,1,1
7,1,1,2,3,4,0,2
8,1,6,1,2,4,0,2
9,2,2,1,0,1,0,1
10,1,7,3,4,9,0,1
11,2,1,4,2,4,1,1
12,1,9,2,2,5,0,1
13,2,2,5,4,2,1,1
14,1,6,2,1,5,1,1
15,1,8,3,5,3,0,1
16,2,1,1,5,1,0,1
17,2,1,1,6,5,0,1
18,1,1,2,3,2,1,1
19,2,1,2,0,6,1,2
20,1,2,3,2,3,0,1
21,1,1,1,4,5,0,2
22,2,1,5,0,1,1,1
23,2,1,5,0,1,1,2
24,2,1,1,2,5,1,1
25,1,1,1,5,5,0,1
26,2,1,2,1,2,0,2
27,2,1,1,0,1,0,1
28,1,2,1,9,3,0,1
29,1,4,3,0,6,1,1
30,2,1,5,4,4,1,1
31,2,1,3,0,1,0,2
32,2,9,1,2,6,1,1
33,1,3,1,4,2,1,1
34,1,1,5,4,4,1,2
35,1,2,3,0,5,1,1
36,2,2,3,2,4,0,2
37,1,1,2,4,2,0,2
38,2,1,1,0,1,1,1
39,1,6,2,4,4,0,2
40,2,3,6,0,5,0,3
41,2,1,5,2,4,0,2
42,2,1,1,7,7,0,1
43,2,9,2,3,3,1,1
44,1,1,1,0,2,0,2
45,1,2,4,3,1,1,1
46,1,1,1,3,2,0,1
47,1,2,1,3,8,0,1
48,1,6,2,2,11,1,1
49,1,1,1,0,4,1,1
50,2,1,2,4,3,0,1
51,2,1,3,4,5,0,2
52,1,2,1,1,5,1,1
53,1,7,1,3,5,0,1
54,2,1,5,1,1,0,2
55,2,1,1,4,5,0,1
56,1,1,2,2,1,0,1
57,2,1,3,1,5,1,1
58,2,3,1,1,5,1,1
59,2,1,4,5,5,0,2
60,2,1,3,0,1,0,1
61,1,1,1,6,2,0,1
62,2,2,1,0,1,0,2
63,2,1,1,1,3,0,2
64,1,2,1,5,2,1,1
65,2,1,1,3,4,1,1
66,2,1,3,2,3,0,2
67,2,1,2,2,2,1,1
68,2,1,1,2,9,1,1
69,2,1,1,3,3,0,1
70,1,4,1,5,5,1,2
71,1,1,2,2,5,1,1
72,2,2,2,5,3,1,1
73,1,1,3,0,3,1,1
74,1,1,1,0,6,1,1
75,1,9,1,1,1,1,1
76,2,7,3,2,1,1,1
77,2,1,1,4,3,0,2
78,2,1,1,2,4,0,3
79,1,1,5,2,3,1,2
80,1,8,2,2,12,1,3
81,1,1,5,4,7,0,1
82,2,1,1,0,1,1,1
83,1,1,2,0,5,0,1
84,1,1,4,2,2,0,2
85,2,2,1,3,1,1,3
86,1,1,1,7,5,0,1
87,2,9,3,3,4,1,1
88,2,2,1,3,3,1,1
89,1,2,1,2,5,0,1
90,2,1,1,2,2,1,1
91,1,7,5,3,5,0,3
92,1,2,1,1,6,0,1
93,2,2,1,0,1,0,1
94,1,1,1,3,6,1,3
95,2,2,3,2,6,1,3
96,1,1,1,2,4,0,2
97,2,1,5,4,6,0,1
98,2,1,5,3,6,0,2
99,1,1,1,5,8,0,2
100,2,1,5,1,3,0,2
101,2,2,3,3,4,1,1
102,1,1,2,1,5,1,1
103,2,6,3,2,3,0,2
104,2,1,1,2,1,1,1
