,SEX,RAC1P,MSP,EDU,PINCP_DECILE,HOUSING_TYPE,OWN_RENT
0,2,2,1,12,4,1,1
1,1,9,1,9,3,1,0
2,1,2,3,4,4,3,1
3,2,1,1,5,5,1,1
4,2,1,5,5,3,1,0
5,1,1,1,5,3,2,0
6,2,4,5,5,0,1,1
7,1,1,4,7,0,2,0
8,2,2,6,3,4,1,1
9,2,2,5,1,1,1,1
10,2,1,2,2,1,2,0
11,2,6,4,3,3,2,0
12,2,1,1,6,0,1,0
13,1,8,1,5,0,1,0
14,2,2,3,2,2,2,0
15,1,1,1,10,6,1,0
16,2,3,1,6,2,1,0
17,2,1,4,4,4,3,1
18,2,2,1,3,1,1,1
19,2,1,1,12,0,1,2
20,2,3,3,2,1,1,1
21,2,1,6,3,2,1,0
22,1,1,2,6,4,2,0
23,2,6,2,2,3,1,1
24,2,2,4,6,1,2,0
25,2,4,5,4,3,1,1
26,1,1,2,6,3,2,0
27,1,9,1,3,2,1,1
28,1,1,5,8,7,2,0
29,2,4,5,5,3,2,1
30,2,1,1,6,5,1,0
31,1,1,1,3,2,1,1
32,2,1,3,6,2,1,1
33,2,8,2,6,0,1,0
34,1,1,4,3,1,1,0
35,2,3,4,11,3,1,2
36,2,1,1,2,4,1,0
37,1,1,6,7,1,1,0
38,1,6,4,1,0,1,1
39,1,1,2,4,0,1,0
40,1,1,2,3,5,1,0
41,2,2,6,6,1,3,1
42,1,1,4,6,7,2,0
43,2,2,4,7,2,3,1
44,1,1,4,2,4,1,1
45,1,2,4,5,3,2,1
46,1,5,1,3,6,3,1
47,2,2,2,3,4,2,0
48,2,7,1,8,2,1,1
49,2,8,6,5,0,1,0
50,1,1,4,1,1,2,1
51,1,4,2,6,2,2,0
52,1,2,4,6,3,1,1
53,1,1,1,6,1,1,1
54,2,1,1,2,0,1,0
55,1,1,2,9,3,2,0
56,2,2,4,1,0,1,2
57,2,2,1,5,0,1,1
58,1,5,1,8,2,1,2
59,1,4,1,5,0,1,1
60,2,3,3,3,6,1,1
61,1,1,4,5,3,1,1
62,2,1,1,2,4,2,1
63,2,5,6,4,5,1,0
64,1,1,4,6,3,2,2
65,2,1,3,3,0,1,1
66,2,8,6,3,2,1,1
67,2,6,2,8,0,1,0
68,2,7,1,6,3,1,2
69,2,1,1,7,4,1,1
70,1,1,1,4,8,3,1
71,1,1,1,7,9,1,1
72,2,5,3,4,1,3,0
73,2,2,1,6,1,1,2
74,1,6,3,5,0,1,0
75,2,2,4,7,3,1,1
76,1,1,2,5,3,1,1
77,1,1,1,7,6,1,0
78,1,3,6,7,9,1,0
79,1,1,1,4,5,1,1
80,2,7,4,6,4,3,1
81,2,1,4,5,3,1,1
82,2,1,1,5,5,2,1
83,2,2,3,4,0,2,1
84,2,6,3,6,1,1,1
85,2,3,4,4,0,1,2
86,1,6,1,6,3,1,0
87,1,1,5,7,4,1,1
88,2,2,2,3,3,3,1
89,1,1,2,5,3,1,0
90,1,3,1,6,3,2,2
91,2,1,1,5,2,3,1
92,2,6,4,4,1,1,0
93,2,2,3,7,6,1,1
94,2,2,1,6,3,3,2
95,1,1,1,6,3,1,0
96,1,1,2,3,5,1,1
97,1,1,4,2,2,2,1
98,1,1,5,7,1,1,1
99,1,1,5,1,7,2,0
100,2,1,3,7,1,1,1
101,2,1,5,12,4,3,2
102,1,2,2,5,0,1,0
103,2,1,1,2,1,1,1
104,1,1,3,7,3,3,0
105,2,1,1,6,4,1,0
106,1,2,6,8,0,1,1
107,1,2,2,9,4,2,0
108,2,1,1,5,7,1,0
109,1,7,1,6,2,1,1
110,2,9,5,5,3,2,0
111,1,1,1,7,4,2,0
112,2,9,1,3,1,1,0
113,2,1,6,6,4,1,0
114,1,2,4,6,4,3,2
115,2,1,5,7,3,1,1
116,2,2,6,7,4,1,1
117,1,2,1,7,1,1,1
118,1,1,6,5,4,1,1
119,1,7,4,2,3,3,1
120,1,4,2,5,0,1,1
121,1,2,1,3,0,1,1
122,1,1,4,3,3,2,0
123,2,9,2,4,1,3,0
124,1,2,1,5,0,1,0
125,1,1,1,4,2,2,1
126,1,1,1,4,3,1,1
127,2,7,1,5,4,1,1
128,1,2,1,6,2,2,1
129,1,1,5,4,3,2,1
130,2,2,3,5,0,1,0
131,2,1,4,3,2,3,1
132,1,1,4,3,5,1,1
133,2,1,4,3,0,1,1
134,2,1,4,6,2,3,1
135,1,1,2,6,2,1,1
136,2,3,3,2,2,3,1
137,1,8,1,12,1,3,1
138,1,1,3,1,3,1,1
139,1,1,1,2,4,1,1
140,1,1,1,4,5,2,0
141,1,8,5,7,5,1,1
142,1,1,5,12,2,1,1
143,2,6,1,4,4,1,1
144,2,2,1,7,2,3,1
145,2,8,1,5,0,1,0
146,2,1,1,4,5,1,0
147,2,4,6,8,1,3,1
148,2,2,5,6,1,3,0
149,1,1,5,4,0,2,2
150,2,7,5,7,3,2,1
151,2,3,1,8,1,1,0
152,2,1,1,10,2,1,0
153,2,1,3,5,5,1,1
154,1,1,3,3,0,1,1
155,1,1,3,11,4,1,1
156,1,2,3,3,1,2,2
157,1,1,3,6,1,1,1
158,2,1,5,1,3,1,1
159,2,2,2,5,6,1,1
160,1,2,2,9,7,3,0
161,2,2,3,7,6,1,1
162,2,1,4,3,0,3,0
163,2,3,5,2,0,1,1
164,2,1,5,6,1,1,2
165,2,1,2,7,6,1,1
166,1,1,4,5,2,1,1
167,1,7,6,6,3,3,0
168,2,1,1,3,5,1,0
169,1,1,3,5,0,2,0
170,1,1,1,5,4,1,0
171,2,1,1,2,0,1,0
172,2,2,4,6,4,2,2
173,2,6,4,3,2,3,0
174,1,1,1,4,1,1,0
175,1,1,1,10,1,1,2
176,1,5,1,10,1,1,2
177,2,2,4,7,3,3,0
178,1,1,1,6,4,1,0
179,2,2,2,9,1,2,2
180,1,1,2,6,2,3,0
181,1,1,1,5,6,2,0
182,2,1,5,2,5,1,1
183,1,1,1,5,3,1,0
184,2,1,1,8,2,2,2
185,1,1,6,7,3,1,0
186,1,1,5,3,3,2,2
187,1,1,1,5,3,1,0
188,2,7,4,6,0,3,0
189,2,1,4,6,2,1,1
190,1,5,6,10,8,1,0
191,2,1,4,3,3,1,2
192,2,8,1,2,2,3,1
193,2,1,1,5,5,1,1
194,2,9,5,6,5,1,0
195,2,1,4,5,2,1,1
196,2,1,3,3,0,2,2
197,2,6,6,2,5,1,1
198,2,1,1,4,5,1,0
199,1,1,6,5,6,3,1
200,1,9,2,2,6,2,2
201,1,1,4,2,0,2,1
202,1,1,1,4,0,2,0
203,1,1,1,2,0,1,0
204,2,3,2,8,0,1,0
205,2,1,3,2,1,3,1
206,2,1,3,5,3,1,1
207,1,7,3,2,3,2,0
208,2,1,1,1,6,1,1
209,2,2,1,5,1,1,1
210,2,7,6,12,5,1,0
211,1,1,1,5,3,1,1
212,1,1,1,11,6,1,1
213,2,2,5,7,1,1,1
214,2,1,6,2,4,1,1
215,2,1,1,4,5,1,1
216,2,1,1,5,3,1,0
217,2,1,3,5,1,1,1
218,1,1,1,3,4,2,0
219,1,1,1,4,3,1,0
220,2,2,2,5,0,1,0
221,1,9,4,4,4,3,0
222,1,1,1,7,4,1,1
223,1,1,4,3,3,2,2
224,2,3,5,1,0,1,1
225,1,7,1,5,5,1,1
226,1,9,5,1,5,2,0
227,1,1,6,3,5,1,1
228,2,1,4,6,2,1,1
229,1,7,2,4,2,1,1
230,1,1,1,6,6,1,0
231,2,5,6,1,2,1,0
232,2,1,2,4,0,1,0
233,1,1,1,7,6,3,0
234,1,1,1,9,4,1,2
235,2,1,3,5,2,3,0
236,1,1,1,6,2,1,1
237,1,2,3,1,3,1,2
238,2,8,3,4,2,1,1
239,1,2,1,7,5,1,1
240,1,1,1,6,6,3,1
241,1,6,1,1,6,1,1
242,1,3,4,7,0,1,0
243,2,2,5,7,4,1,2
244,2,1,1,3,2,1,0
245,2,5,6,1,5,1,0
246,2,2,6,5,7,1,1
247,1,2,5,4,3,2,0
248,1,1,3,2,0,2,0
249,2,1,3,2,4,1,1
250,1,6,3,9,2,1,0
251,2,1,4,4,5,1,0
252,2,2,2,3,1,2,0
253,1,2,4,6,1,3,1
254,2,1,1,3,1,3,1
255,1,1,3,3,1,1,1
256,1,2,5,4,3,3,1
257,1,1,2,3,3,3,1
258,2,5,2,1,1,3,1
259,1,1,1,4,4,1,1
260,1,1,6,2,3,1,1
261,1,1,1,2,4,1,1
262,1,1,1,2,2,1,0
263,2,2,5,5,3,3,1
264,2,6,6,5,4,1,1
265,1,3,6,7,1,3,1
266,2,1,5,9,1,1,1
267,2,1,6,8,2,1,0
268,2,1,1,7,4,1,0
269,2,1,1,11,2,1,2
270,2,1,5,3,3,1,0
271,1,1,5,6,3,1,1
272,1,6,2,5,5,2,1
273,2,6,3,3,0,2,0
274,2,2,1,5,0,1,0
275,2,1,1,5,5,1,1
276,1,1,6,7,1,3,1
277,2,1,5,7,1,1,0
278,1,2,3,4,2,1,1
279,1,8,2,5,0,1,0
280,2,2,1,3,2,1,0
281,1,1,3,3,0,3,0
282,1,9,5,5,7,2,0
283,2,1,5,5,4,1,1
284,2,1,1,6,2,1,1
285,2,1,3,6,4,2,2
286,2,4,6,7,3,1,1
287,2,1,1,8,3,3,1
288,2,1,3,3,4,1,0
289,2,1,2,3,1,2,2
290,1,1,2,3,8,1,2
291,1,1,3,9,5,1,1
292,1,4,6,5,3,1,1
293,2,1,4,8,5,1,1
294,2,1,6,8,4,1,0
295,2,6,3,3,3,2,0
296,1,6,1,5,0,2,0
297,2,9,3,2,3,2,1
298,2,2,2,5,0,1,0
299,1,2,3,8,5,1,1
300,1,9,1,7,7,1,1
301,1,9,3,4,6,1,1
302,1,1,1,2,2,1,0
303,2,8,1,7,0,2,0
304,1,6,1,3,8,1,1
305,1,2,1,12,2,3,2
306,1,6,2,5,2,3,0
307,1,2,2,5,3,3,0
308,2,1,1,7,1,1,1
309,1,1,3,6,2,1,1
310,2,1,2,6,3,1,2
311,2,1,5,5,9,2,0
312,2,1,2,3,1,1,1
313,2,6,1,6,2,1,1
314,2,5,4,5,1,1,1
315,2,1,1,5,3,1,0
316,1,1,1,5,3,1,1
317,2,1,1,8,2,1,1
318,1,1,2,5,0,1,1
319,1,1,4,3,2,2,1
320,1,1,5,8,3,1,2
321,1,1,4,6,2,3,0
322,1,1,6,6,0,3,1
323,1,1,4,2,3,1,1
324,1,1,1,12,3,1,2
325,2,4,3,3,0,3,1
326,1,1,4,5,5,1,2
327,1,1,1,5,3,1,0
328,2,1,5,6,4,1,2
