,SEX,RAC1P,EDU,PINCP_DECILE,MSP,OWN_RENT,HOUSING_TYPE
0,1,1,5,5,1,1,2
1,1,8,3,6,4,1,1
2,1,9,7,1,4,2,1
3,2,1,4,5,1,1,1
4,1,1,1,5,1,1,2
5,2,1,5,6,1,1,1
6,2,1,4,1,6,0,1
7,2,1,4,2,1,0,1
8,1,1,5,9,6,1,1
9,1,9,5,4,1,1,3
10,2,9,6,2,4,2,1
11,1,1,4,5,1,1,1
12,1,1,4,1,4,1,1
13,1,1,5,2,6,2,1
14,2,1,3,3,2,2,1
15,1,1,3,6,6,2,1
16,1,1,5,6,2,2,1
17,1,7,7,6,1,2,1
18,2,1,6,9,4,2,1
19,1,8,7,3,4,2,1
20,2,1,11,5,4,2,1
21,1,1,4,5,4,2,1
22,2,1,5,4,3,1,1
23,2,6,9,7,2,2,1
24,2,1,8,3,6,1,1
25,1,1,1,5,2,1,3
26,2,1,5,3,3,0,1
27,1,9,2,4,1,2,1
28,1,1,5,3,2,2,1
29,2,6,1,5,1,1,2
30,2,8,3,1,4,1,1
31,2,1,2,2,3,1,3
32,1,1,4,3,3,0,2
33,1,2,4,3,6,0,2
34,1,1,5,5,4,1,1
35,1,1,5,5,2,1,1
36,1,1,3,5,6,2,3
37,2,2,3,3,6,1,1
38,2,1,10,7,1,2,1
39,1,2,6,3,5,2,1
40,1,9,7,2,4,2,1
41,1,1,5,2,2,1,1
42,1,1,5,0,2,2,1
43,1,1,6,1,1,2,1
44,2,1,4,3,6,2,2
45,1,2,9,8,6,2,1
46,2,9,8,2,1,1,1
47,2,1,8,0,4,2,1
48,1,1,3,5,2,2,1
49,2,1,5,2,1,1,3
50,2,1,3,6,6,2,1
51,1,1,4,3,1,0,1
52,2,1,10,6,1,2,1
53,2,6,5,2,3,1,1
54,1,8,4,6,6,0,1
55,1,9,5,4,1,2,1
56,1,1,2,5,3,1,1
57,1,1,4,0,2,1,1
58,1,1,5,3,1,1,1
59,2,6,3,0,1,1,1
60,2,2,5,3,1,2,1
61,1,1,5,3,6,1,1
62,1,9,5,6,5,2,1
63,2,2,11,9,5,1,1
64,1,1,6,6,5,2,1
65,2,9,12,9,6,1,1
66,2,1,7,9,3,1,1
67,1,9,4,5,4,0,3
68,2,1,6,6,6,0,1
69,1,1,5,6,2,2,1
70,2,9,5,3,6,1,1
71,2,1,12,8,6,2,1
72,1,9,11,8,6,2,1
73,1,1,6,0,6,2,1
74,1,1,3,4,1,1,1
75,2,1,3,4,1,2,3
