,SEX,RAC1P,EDU,MSP,PINCP_DECILE,HOUSING_TYPE,OWN_RENT
0,1,2,8,6,8,2,0
1,2,2,5,5,7,1,0
2,1,1,3,2,0,1,2
3,1,1,9,1,8,1,2
4,1,1,3,2,8,1,2
5,2,1,9,2,0,1,0
6,2,1,7,2,9,1,1
7,2,3,1,1,0,1,0
8,1,1,3,4,8,3,1
9,1,5,9,6,1,2,0
10,1,1,6,2,8,2,1
11,2,1,7,2,9,1,1
12,1,8,5,2,0,1,2
13,2,1,4,3,2,3,1
14,2,1,5,1,9,1,1
15,2,1,5,1,2,1,0
16,1,8,6,6,0,1,2
17,1,9,11,3,9,1,0
18,1,1,8,6,1,1,1
19,2,2,6,4,3,1,1
20,1,2,5,6,8,1,2
21,2,9,3,1,1,1,1
22,1,1,7,1,9,1,1
23,2,1,7,1,7,2,1
24,2,1,5,2,8,1,0
25,1,8,5,6,3,2,0
26,1,1,4,2,5,1,2
27,1,7,8,6,5,1,2
28,2,2,8,1,5,1,0
29,1,1,2,3,1,1,0
30,2,5,5,6,4,2,2
31,1,1,5,3,3,2,0
32,1,1,6,2,7,3,0
33,1,4,5,3,4,2,0
34,2,1,8,4,6,3,1
35,1,1,1,6,5,1,0
36,1,1,3,1,5,3,1
37,1,1,3,1,0,1,1
38,1,1,5,6,0,1,2
39,1,8,11,4,7,1,1
40,1,1,4,4,9,1,1
41,2,1,3,2,0,1,0
42,1,1,7,1,6,1,0
43,2,2,4,1,4,2,0
44,1,1,9,5,6,3,1
45,2,1,3,1,3,1,1
46,1,1,8,2,8,2,0
47,2,1,8,2,2,1,0
48,1,1,9,2,8,1,0
49,1,1,9,3,4,1,0
50,1,8,7,3,7,1,1
51,1,3,2,1,4,1,0
52,1,1,5,6,5,1,2
53,1,1,5,2,5,1,0
54,2,5,6,3,8,3,0
55,1,8,8,6,8,1,0
56,1,8,3,6,0,3,2
57,1,1,8,2,2,2,2
58,1,1,10,4,9,2,0
59,1,1,4,2,3,3,0
