,SEX,RAC1P,EDU,MSP,PINCP_DECILE,OWN_RENT,HOUSING_TYPE
0,2,1,9,5,1,0,1
1,1,1,9,4,3,0,1
2,1,1,5,5,0,2,2
3,2,2,6,2,0,2,2
4,1,1,5,6,2,1,1
5,1,1,7,4,5,2,2
6,2,5,3,2,1,1,2
7,1,1,12,1,2,1,2
8,2,3,6,3,8,1,2
9,2,1,12,4,1,2,2
10,1,1,8,4,6,1,2
11,1,1,5,4,3,2,1
12,2,1,2,5,6,0,1
13,2,1,5,5,3,2,2
14,1,1,9,3,5,0,1
15,2,3,5,1,6,1,1
16,1,3,5,6,6,1,2
17,2,1,7,3,6,2,2
18,1,1,8,4,1,1,2
19,2,1,7,6,4,1,2
20,2,1,7,5,3,1,2
21,1,1,9,4,5,0,1
22,2,1,3,1,1,0,1
23,1,1,3,6,0,0,2
24,2,1,9,6,0,1,1
25,1,1,3,3,1,1,3
26,2,1,5,1,0,0,1
27,1,1,6,1,0,2,1
28,2,1,1,2,5,1,2
29,1,1,7,2,1,1,1
30,2,1,9,4,1,1,1
31,2,1,7,4,2,1,1
32,1,1,4,1,5,1,1
33,2,1,7,6,3,0,2
34,2,3,3,3,6,1,1
35,2,1,2,6,0,1,1
36,2,1,2,4,3,1,2
37,1,1,4,5,3,2,2
38,1,1,7,1,3,1,2
39,1,1,9,3,1,0,1
40,1,2,10,1,5,1,1
41,2,1,5,1,3,1,3
42,1,6,3,4,4,1,2
43,1,6,9,3,4,1,1
44,1,1,6,6,4,2,2
45,1,1,5,1,1,1,2
46,2,1,5,3,0,2,2
47,1,1,9,1,4,1,1
48,1,2,3,6,1,1,1
49,1,1,4,3,0,1,3
50,1,2,5,5,4,1,2
51,1,1,4,1,2,1,1
52,1,3,3,5,6,1,2
53,1,1,7,6,2,2,2
54,2,1,3,2,4,2,2
55,2,1,5,4,2,2,2
56,1,8,9,3,1,2,1
57,1,1,7,1,3,0,1
58,1,1,5,1,3,1,1
59,2,6,9,3,3,0,1
