,SEX,RAC1P,EDU,MSP,HOUSING_TYPE,PINCP_DECILE,OWN_RENT
0,1,2,9,5,3,3,0
1,2,1,3,6,1,6,2
2,2,1,8,2,1,4,1
3,2,6,4,3,3,0,0
4,2,2,4,4,1,0,0
5,1,1,3,1,1,3,1
6,1,1,2,6,2,1,2
7,2,1,7,6,1,4,0
8,1,1,2,1,2,0,0
9,2,1,8,5,3,9,0
10,1,1,9,3,1,2,0
11,1,1,3,4,2,5,2
12,1,8,5,6,1,2,0
13,2,1,9,4,2,5,1
14,2,1,3,4,2,2,2
15,1,1,5,1,1,6,1
16,2,1,4,6,2,5,0
17,1,1,5,1,1,3,1
18,2,1,2,1,1,1,1
19,2,1,5,1,1,1,0
20,1,2,3,4,3,2,0
21,1,7,7,4,1,2,0
22,1,1,8,5,3,3,0
23,2,4,3,4,1,3,0
24,1,9,5,1,1,0,1
25,1,2,4,1,1,7,1
26,2,1,9,1,1,7,2
27,2,1,4,1,3,5,0
28,2,2,3,3,1,2,1
29,2,1,9,3,1,5,0
30,1,1,8,2,2,6,1
31,2,2,7,1,1,6,1
32,1,1,3,5,2,3,2
33,1,5,4,4,2,1,2
34,2,1,2,1,1,2,1
35,2,3,7,4,2,2,0
36,2,1,2,1,1,1,1
37,2,1,9,3,1,3,0
38,2,1,4,5,3,2,0
39,2,1,9,3,1,3,0
40,2,1,9,3,1,2,0
41,1,1,3,1,1,2,0
42,1,1,4,3,1,4,1
43,1,1,5,3,2,4,2
44,1,1,1,1,1,2,1
45,2,5,4,6,2,5,2
46,2,9,9,6,1,2,1
47,1,3,2,4,1,4,1
48,1,1,2,1,3,3,1
49,1,8,7,1,2,3,2
50,1,1,9,6,1,5,0
51,2,1,5,1,1,5,1
52,1,1,5,3,2,5,1
53,2,1,1,5,1,3,1
54,2,1,2,1,3,4,1
55,1,3,7,1,1,5,1
56,2,2,5,1,2,6,1
57,2,2,6,4,1,3,1
58,1,1,7,2,1,4,1
59,2,1,5,4,2,2,2
60,2,2,11,1,3,7,0
61,2,1,6,4,1,5,1
62,2,1,7,5,3,5,0
63,1,7,4,4,1,5,2
64,2,1,7,2,2,6,1
65,2,8,2,3,3,1,0
66,2,1,1,1,1,2,0
67,2,1,5,2,3,3,2
68,2,1,3,1,1,0,1
69,2,1,5,1,1,4,1
70,2,9,9,3,1,4,0
71,2,2,7,1,3,0,1
72,2,9,9,6,1,2,0
73,2,7,2,1,1,1,1
74,2,1,5,1,1,3,1
75,1,1,7,1,2,1,2
76,2,2,4,2,2,8,0
77,1,1,5,2,1,5,1
78,2,1,7,1,1,3,0
