,RAC1P,SEX,EDU,MSP,PINCP_DECILE,HOUSING_TYPE,OWN_RENT
0,1,1,7,4,3,1,1
1,2,1,6,1,1,1,1
2,7,2,8,6,3,1,1
3,2,1,6,1,6,3,0
4,2,2,2,4,2,2,1
5,3,2,8,6,2,1,0
6,1,2,5,1,5,3,0
7,1,1,3,1,1,3,0
8,1,1,7,1,1,1,1
9,1,1,5,2,1,1,2
10,8,1,6,1,9,1,1
11,1,2,3,1,0,2,0
12,1,1,1,2,1,3,1
13,2,2,7,6,8,1,0
14,1,2,7,4,3,3,0
15,8,2,8,4,0,1,2
16,1,2,7,1,9,1,2
17,1,2,5,6,0,1,0
18,5,2,11,1,2,1,1
19,5,1,8,6,5,1,0
20,1,1,7,1,1,1,2
21,1,1,5,5,3,1,1
22,7,2,2,1,6,2,1
23,1,1,9,5,6,3,1
24,1,1,6,2,2,1,1
25,8,2,1,3,0,1,0
26,2,1,2,1,4,3,1
27,1,1,5,2,0,3,0
28,1,2,6,5,8,1,1
29,1,1,5,1,0,1,1
30,1,1,3,3,2,2,1
31,1,2,3,2,2,2,1
32,1,2,4,4,2,1,1
33,2,1,2,2,2,1,1
34,2,1,4,5,0,1,0
35,2,2,2,1,8,2,1
36,1,2,8,6,3,1,1
37,1,1,8,6,1,1,0
38,1,1,8,5,0,1,1
39,1,1,4,4,3,2,0
40,7,1,8,1,0,1,2
41,2,2,6,1,3,1,1
42,8,2,9,1,6,1,1
43,2,2,7,5,6,3,0
44,1,1,7,6,8,3,1
45,1,1,6,1,5,2,1
46,7,1,8,6,0,1,0
47,1,2,6,3,2,2,0
48,2,1,3,4,2,3,0
49,7,2,5,2,0,1,2
50,7,1,7,1,0,1,1
51,1,1,3,1,0,3,0
52,1,2,6,5,4,1,1
53,1,1,8,6,5,3,1
54,9,2,2,6,2,1,0
55,2,2,4,6,4,1,0
56,1,1,8,1,1,3,1
57,8,2,2,6,1,1,0
58,2,2,4,2,3,3,2
59,6,2,5,4,2,1,1
60,1,1,3,1,2,3,1
61,6,2,7,5,2,1,1
62,1,1,6,4,9,3,1
63,1,2,8,1,2,1,1
64,7,1,6,1,3,1,2
65,1,1,6,4,2,3,2
66,7,1,7,1,3,1,2
67,1,2,6,4,2,1,1
68,6,1,6,6,0,3,1
69,2,1,7,4,3,3,1
70,1,2,6,2,1,1,1
71,1,1,7,1,3,1,1
72,1,2,6,4,3,1,2
73,1,1,7,1,4,1,2
74,1,2,8,1,1,3,0
75,3,1,4,1,3,3,1
76,1,1,7,3,2,2,1
77,3,1,6,4,3,1,1
78,7,2,4,2,0,2,1
79,1,1,3,5,2,3,1
80,1,2,7,5,1,1,1
81,1,2,3,3,0,1,0
82,1,1,6,1,2,1,1
83,2,1,5,6,4,1,0
84,1,2,3,1,4,2,0
85,1,2,5,1,2,3,1
86,6,2,4,6,1,1,0
87,1,2,4,4,5,3,0
88,1,1,5,4,5,3,1
89,1,1,4,1,1,2,0
90,1,1,4,1,2,3,1
91,5,2,3,2,1,2,1
92,1,2,9,1,1,3,1
93,1,1,4,1,5,3,0
94,1,1,6,1,0,3,0
95,1,1,3,4,1,2,0
96,3,2,5,6,2,3,1
97,7,2,6,1,2,1,2
98,3,2,4,1,4,2,1
99,1,1,1,2,4,1,0
100,1,1,6,1,2,1,1
101,1,2,12,1,0,1,2
102,1,2,9,1,2,2,2
103,2,2,6,3,2,2,1
104,4,1,8,6,3,1,1
105,6,1,4,3,2,2,0
106,7,1,6,1,2,1,1
107,1,1,4,1,0,1,1
108,2,2,4,5,1,1,0
109,2,2,7,3,2,1,1
110,9,1,5,4,1,1,1
111,1,2,6,2,3,1,1
112,1,2,5,4,4,1,1
113,1,2,3,1,3,2,1
114,1,1,7,6,3,1,0
115,1,1,3,6,5,3,1
116,2,1,2,1,3,1,0
117,1,2,6,1,4,1,2
118,1,2,5,1,6,1,1
119,1,1,5,2,0,1,1
120,1,1,6,1,1,1,2
121,1,1,5,3,6,1,1
122,1,1,2,1,1,3,0
123,2,2,3,4,1,3,1
124,1,1,3,6,7,2,1
125,1,2,4,2,2,2,1
126,1,2,5,1,2,1,1
127,1,1,6,2,6,1,2
128,1,2,8,6,2,1,0
129,7,2,6,1,1,1,1
130,1,2,6,1,3,2,0
131,1,2,4,4,1,2,1
132,2,2,2,6,0,3,1
133,1,2,6,4,0,1,1
134,1,1,3,4,3,1,1
135,1,2,4,4,3,1,1
136,1,1,3,6,9,1,1
137,1,1,8,6,0,3,1
138,2,1,3,4,8,1,2
139,2,1,7,3,3,2,0
140,2,1,5,1,5,3,1
141,7,1,10,6,5,1,0
142,1,1,6,1,1,1,1
143,1,2,9,3,0,3,1
144,8,1,4,3,1,3,1
145,2,2,5,4,4,3,2
146,1,2,6,3,2,1,2
147,5,1,3,1,2,1,1
148,7,2,3,6,4,1,0
149,1,2,5,2,1,2,0
150,1,1,8,6,1,1,0
151,2,2,4,6,3,3,1
152,1,2,4,1,1,2,0
153,1,2,5,3,0,1,1
154,1,2,7,4,6,1,1
155,8,2,7,4,2,3,1
156,1,1,6,1,3,1,2
157,1,1,7,1,1,1,1
158,4,1,4,2,4,1,2
159,1,2,7,6,0,1,0
160,2,2,3,1,2,3,0
161,5,1,8,1,1,1,2
162,2,2,2,5,0,1,1
163,1,2,5,1,6,3,1
164,1,2,6,1,0,1,2
165,1,1,6,1,3,1,1
166,1,1,7,1,8,1,1
167,1,1,5,1,2,2,0
168,1,1,12,1,2,1,1
169,9,2,7,4,5,3,1
170,1,2,6,4,4,1,2
171,1,1,5,1,3,1,1
172,1,1,7,5,3,1,1
173,1,1,6,1,2,1,1
174,6,2,6,3,3,2,1
175,2,2,3,1,0,2,0
176,1,1,3,1,1,3,0
177,1,2,9,3,3,3,1
178,1,1,7,6,7,1,1
179,1,2,7,1,2,3,0
180,1,2,7,5,2,3,0
181,1,2,7,5,2,3,0
182,1,2,8,5,2,1,1
183,1,1,6,4,3,1,1
184,8,1,4,6,3,2,1
185,5,1,2,1,1,2,1
186,2,2,8,6,6,1,1
187,7,1,4,2,2,2,1
188,1,1,2,2,1,3,0
189,1,1,4,3,2,1,1
190,3,2,8,6,3,1,0
191,2,2,7,1,2,1,2
192,1,1,1,2,3,3,0
193,1,1,5,3,0,2,1
194,2,1,5,4,2,1,1
195,1,1,7,3,2,1,1
196,6,2,2,6,3,3,1
197,2,2,5,1,2,2,0
198,8,1,4,1,6,1,0
199,2,1,7,6,7,3,1
200,1,2,7,5,2,1,1
201,6,2,5,4,2,2,1
202,1,2,4,1,3,2,1
203,2,2,5,6,1,1,0
204,1,1,6,4,1,3,2
205,1,1,3,6,4,3,1
206,1,1,6,1,2,1,1
207,1,1,1,2,2,1,1
208,1,1,12,1,3,1,2
209,1,2,7,3,4,2,0
210,1,2,8,1,2,3,0
211,4,2,6,3,3,1,1
212,2,1,7,6,4,1,0
213,2,2,6,3,5,3,1
214,2,1,4,3,1,2,0
215,1,2,8,1,0,3,0
216,1,2,5,2,2,3,1
217,2,1,2,3,1,3,0
218,3,2,7,6,0,1,1
219,1,2,8,4,0,1,2
220,1,1,3,1,2,3,1
221,1,2,3,6,0,1,0
222,4,2,7,2,3,1,1
223,2,1,6,2,2,3,0
224,7,1,5,6,0,1,0
225,1,1,4,4,1,3,1
226,8,2,2,6,4,1,1
227,2,2,7,1,2,2,1
228,1,1,4,3,0,1,1
229,2,2,9,5,4,1,2
230,1,2,7,4,4,3,1
231,1,1,3,1,5,3,1
232,1,2,8,6,7,1,1
233,1,1,4,2,2,2,1
234,1,1,3,6,4,3,1
235,2,2,7,6,1,3,0
236,5,1,6,1,2,1,2
237,1,2,1,1,0,2,1
238,7,1,4,6,5,3,1
239,9,2,2,6,1,1,1
240,1,2,5,1,0,2,0
241,1,2,5,1,1,2,0
242,1,1,10,1,3,1,2
243,1,2,5,2,1,2,2
244,2,1,5,4,3,1,1
245,1,2,6,1,3,3,1
246,2,2,7,6,5,1,0
247,9,1,5,6,5,1,0
248,7,2,7,4,2,1,2
249,1,1,2,4,1,1,0
250,2,1,8,6,7,1,0
251,2,2,7,4,4,1,1
252,1,2,6,3,3,1,1
253,1,2,7,2,5,2,2
254,1,1,7,5,2,3,2
255,2,1,5,2,5,2,2
256,8,2,12,4,3,1,2
257,6,2,3,2,4,1,2
258,1,1,5,6,2,3,1
259,1,1,6,1,3,1,2
260,7,1,4,3,2,3,0
261,1,2,4,1,1,2,0
262,1,1,3,3,2,2,0
263,9,1,4,4,1,1,2
264,1,1,7,6,3,1,0
265,1,2,3,4,1,2,1
266,1,2,5,5,3,3,2
267,2,2,8,1,4,1,2
268,1,2,7,5,5,1,1
269,4,2,3,1,1,1,1
270,5,1,3,6,4,1,1
271,2,2,7,1,4,1,1
272,2,2,7,6,1,1,1
273,1,2,4,2,1,3,2
274,7,1,1,6,3,2,1
275,6,2,6,5,3,1,1
276,1,1,1,3,0,3,1
277,7,2,3,3,3,1,0
278,1,2,8,1,2,1,1
279,1,2,6,3,1,2,0
280,1,1,6,1,2,1,1
281,2,2,4,1,0,2,0
282,1,2,6,1,2,1,1
283,2,1,2,6,3,1,1
284,2,2,7,2,2,1,1
285,1,2,7,6,3,1,0
286,6,1,3,3,1,2,0
287,1,2,6,1,3,1,1
288,1,1,12,1,0,1,1
289,1,1,6,1,3,3,1
290,2,1,4,1,2,1,1
291,1,1,6,6,1,3,1
292,1,2,5,5,6,3,1
293,2,1,7,6,4,1,0
294,1,2,1,6,3,3,1
295,1,2,9,1,1,3,0
296,1,2,3,4,3,2,0
297,1,2,4,4,1,1,0
298,1,1,11,1,1,1,2
299,2,2,1,6,3,1,0
300,2,1,1,6,9,1,0
301,1,2,6,1,0,3,1
302,1,2,5,2,4,2,2
303,1,1,6,1,6,1,1
304,4,1,5,4,1,3,1
305,1,2,7,3,1,1,1
306,2,2,7,5,2,1,2
307,1,1,4,2,2,1,0
308,1,2,12,5,3,2,2
309,1,2,6,5,2,1,1
310,1,2,4,6,0,1,1
311,3,1,1,6,0,1,1
312,1,1,5,6,5,3,1
313,1,1,6,4,2,3,0
314,8,2,6,4,1,1,1
315,1,1,6,1,2,3,1
316,1,1,4,2,1,3,2
317,1,2,7,3,2,3,1
318,1,1,5,5,3,2,0
319,4,2,7,3,2,3,1
320,1,2,5,1,1,1,1
321,1,2,7,6,2,3,1
322,2,2,3,1,2,1,1
323,1,2,3,1,2,3,1
324,2,2,3,4,3,1,1
325,1,1,12,4,8,3,1
326,8,1,2,2,0,1,1
327,2,2,8,1,4,1,2
328,1,2,7,2,4,3,0
329,1,2,6,1,2,1,2
330,1,1,2,4,2,2,0
331,6,1,5,5,3,1,1
332,8,1,8,1,2,2,2
333,7,2,2,4,0,1,1
334,2,2,5,3,1,2,0
335,1,1,7,1,0,1,2
336,2,1,3,2,0,3,0
337,1,2,3,6,5,1,0
338,1,2,6,1,4,2,1
339,7,2,4,2,1,3,1
340,2,1,7,6,4,1,1
341,1,1,5,5,3,1,1
342,2,2,6,1,1,1,1
343,1,1,3,1,3,1,0
344,1,2,6,3,1,2,1
345,7,2,7,1,0,1,2
346,1,1,7,4,1,3,1
347,1,1,5,5,2,3,0
348,4,1,6,4,3,1,1
349,8,2,4,1,4,1,0
350,9,1,5,2,6,3,2
351,2,1,3,2,3,1,0
352,1,1,6,4,5,1,1
353,1,2,4,1,2,1,0
354,2,2,3,1,6,3,1
355,1,1,5,1,3,1,1
356,4,2,10,6,5,1,1
357,1,2,9,1,1,2,0
358,1,2,8,1,0,1,2
359,8,1,4,1,2,1,0
360,1,2,7,5,2,1,1
361,1,2,6,1,3,1,1
362,1,2,7,2,2,1,1
363,1,1,7,6,4,1,1
364,1,2,2,1,3,3,1
365,3,2,3,6,4,1,0
366,1,2,11,1,1,2,2
367,1,1,7,1,2,1,2
368,5,2,12,6,9,1,1
369,1,2,4,1,2,3,1
370,1,2,5,3,2,1,1
371,1,2,9,6,5,1,1
372,1,1,8,5,1,2,1
373,2,1,6,4,3,1,1
374,1,2,5,2,2,3,0
375,1,1,3,4,0,1,1
376,1,1,6,4,7,2,2
377,1,1,6,1,1,1,1
378,1,2,11,6,5,1,0
379,1,2,7,4,1,1,1
380,2,1,4,5,1,1,2
381,8,1,3,5,8,1,1
382,4,1,11,6,5,1,0
383,9,2,7,1,6,2,0
384,1,2,9,3,2,2,2
385,2,2,7,4,3,2,1
386,5,1,2,1,2,1,0
387,1,1,2,6,2,1,1
388,1,1,3,4,3,1,0
389,5,2,7,4,1,2,0
390,1,2,8,2,5,1,2
391,1,2,5,1,1,1,1
392,1,2,2,3,1,2,0
393,7,2,4,1,2,1,0
394,1,2,6,1,2,1,1
395,1,1,5,6,8,3,1
396,1,1,5,5,0,3,1
397,1,1,5,4,1,1,1
398,1,2,12,1,9,1,1
399,2,2,1,3,0,1,1
400,7,1,1,6,1,3,1
401,7,2,2,2,3,2,1
402,7,1,7,1,2,3,1
403,8,2,4,1,1,3,1
404,1,2,5,2,0,3,2
405,7,1,4,3,1,3,1
406,2,2,7,1,1,2,0
407,2,2,8,5,1,1,2
408,1,2,6,2,2,1,2
409,1,2,3,4,5,3,1
410,1,2,6,2,2,1,1
411,1,2,3,2,1,2,0
412,1,1,6,4,5,1,2
413,7,2,4,3,1,2,0
414,1,1,4,5,1,1,0
415,1,2,8,6,4,1,1
416,2,2,7,6,1,1,1
417,2,2,2,4,2,1,0
418,1,1,3,3,0,1,0
419,1,1,8,1,0,3,2
420,1,1,6,1,1,1,2
421,1,2,6,3,2,1,1
422,1,2,3,1,6,2,0
423,1,1,6,1,2,1,1
424,1,1,1,5,0,3,1
425,3,1,4,6,2,1,0
426,5,1,1,2,4,1,0
427,1,1,8,1,3,1,1
428,3,2,10,6,9,3,1
429,2,1,5,1,2,1,1
430,1,1,7,5,1,1,1
431,1,1,5,2,0,2,2
432,6,1,8,6,2,3,1
433,2,2,7,4,2,1,1
434,1,2,7,1,2,1,1
435,2,2,7,3,6,1,1
436,1,2,4,1,3,1,1
437,2,1,8,6,0,1,0
438,3,2,6,3,1,1,1
439,1,1,6,3,3,3,1
440,6,1,6,3,1,1,1
441,2,1,7,6,4,1,0
442,1,2,8,5,1,2,2
443,1,1,6,4,2,1,1
444,2,2,6,1,9,1,1
445,1,1,3,3,0,1,0
446,1,1,8,1,4,3,1
447,1,2,12,4,2,3,1
448,1,2,7,1,2,1,1
449,7,2,6,1,4,1,1
450,1,2,3,1,1,3,0
451,1,2,8,4,4,1,1
452,1,1,8,1,2,2,2
453,2,1,12,1,2,1,2
454,1,2,3,4,0,3,1
455,1,1,5,6,3,1,0
456,1,2,9,3,3,1,1
457,1,2,6,3,3,2,0
458,1,2,8,1,1,2,0
459,1,1,3,6,2,3,1
460,1,2,3,5,3,2,1
461,2,1,6,6,7,2,0
462,1,2,8,6,7,1,0
463,5,1,3,6,1,1,1
464,1,2,6,1,1,1,1
465,1,2,4,1,4,1,0
466,3,2,6,4,1,1,1
467,1,1,6,1,2,1,1
468,2,1,3,6,3,1,0
469,6,2,7,6,4,1,1
470,1,2,3,2,4,3,0
471,1,2,6,1,4,3,1
472,1,1,5,4,1,1,1
473,1,1,7,2,0,3,2
474,1,1,4,6,1,2,1
475,1,2,3,1,4,1,1
476,1,2,3,1,3,3,1
477,1,2,5,6,1,1,0
478,1,1,5,1,0,1,1
479,8,1,12,1,1,1,1
480,2,1,9,2,0,2,2
481,1,2,7,2,2,1,1
482,1,1,8,1,0,1,1
483,1,1,7,1,2,1,2
484,1,2,6,1,2,1,2
485,5,2,6,1,3,1,2
486,2,2,7,4,0,1,1
487,1,2,8,6,2,1,0
488,5,1,6,5,2,1,1
489,1,1,5,1,2,1,1
490,2,1,3,1,2,1,0
491,8,2,2,6,4,1,0
492,7,1,2,3,3,3,1
493,1,2,11,1,3,3,2
494,4,2,7,1,2,1,1
495,5,2,10,1,2,1,2
496,1,1,2,3,4,1,1
497,5,1,11,1,5,1,1
498,7,1,3,6,5,1,0
499,1,1,5,2,1,1,1
500,1,2,6,5,1,1,1
501,1,1,4,1,0,1,1
502,1,1,5,3,2,1,1
503,1,2,9,1,2,1,2
504,2,1,3,1,2,1,0
505,1,2,2,5,3,2,2
506,2,1,1,5,1,2,1
507,9,1,4,6,0,1,0
508,7,2,6,1,0,1,2
509,7,1,1,3,1,2,1
510,5,2,7,1,3,3,0
511,1,1,7,6,6,1,1
512,8,2,6,1,2,1,2
513,1,2,8,1,1,3,1
514,1,1,2,3,2,3,0
515,1,1,7,2,3,1,1
516,1,2,4,1,0,2,1
517,1,1,5,2,1,1,2
518,4,2,7,3,3,1,1
519,7,1,4,3,0,1,0
520,2,1,5,6,2,1,0
521,1,1,9,2,4,3,0
522,1,2,7,4,4,1,1
523,2,2,4,1,1,1,0
524,1,1,10,4,2,1,1
525,6,1,1,1,2,1,1
526,1,1,2,3,2,2,0
527,5,1,10,1,5,1,1
528,1,2,7,6,4,1,0
529,1,2,5,4,4,3,1
530,1,2,6,1,6,1,1
531,1,1,4,5,2,1,0
532,1,2,3,1,2,2,1
533,5,2,6,4,1,2,2
534,6,2,7,2,3,1,1
535,1,1,7,1,3,1,1
536,2,2,3,1,7,3,1
537,1,1,4,4,2,1,1
538,1,2,12,4,2,3,1
539,7,1,8,6,0,1,0
540,1,2,7,1,7,3,0
541,1,2,5,3,3,3,1
542,1,1,6,5,2,1,2
543,1,2,4,3,3,2,0
544,1,1,2,3,3,1,1
545,1,2,3,6,5,1,0
546,1,1,4,3,2,2,1
547,1,2,6,1,1,1,1
548,1,1,5,1,3,1,1
549,1,1,7,6,5,2,0
550,6,1,7,1,1,3,0
551,2,1,6,5,1,2,1
552,1,1,7,6,5,1,1
