Unnamed: 0,SEX,RAC1P,MSP,HOUSING_TYPE,OWN_RENT,EDU,PINCP_DECILE
102,1,8,2,1,1,4,7
435,1,8,2,2,2,4,0
860,1,9,1,1,1,7,0
270,2,5,2,3,1,2,5
106,2,7,2,2,1,2,6
71,2,2,2,1,2,4,8
700,2,6,1,2,1,6,4
20,2,9,1,2,1,6,0
614,2,5,1,1,1,4,3
121,2,5,2,3,1,7,6
466,1,3,2,1,1,4,2
214,2,5,2,1,1,3,0
330,2,8,2,1,1,6,3
458,1,2,1,1,2,4,3
87,1,2,2,2,1,7,3
372,1,2,2,3,2,6,9
99,1,6,2,1,1,6,0
871,2,5,1,2,1,3,5
663,1,3,2,1,1,6,4
130,1,2,2,1,2,6,2
661,2,1,2,2,0,6,4
308,2,9,2,1,2,6,6
769,1,7,1,1,1,2,4
343,2,8,2,1,1,6,1
491,1,2,2,1,2,7,2
413,2,8,2,1,2,6,2
805,2,5,2,2,1,2,1
385,1,5,1,1,1,2,9
191,1,5,2,1,0,7,2
955,2,5,2,2,1,12,2
276,2,9,4,1,1,6,1
160,2,9,2,2,1,4,7
459,1,5,2,1,2,2,0
313,2,3,2,3,1,2,7
21,2,5,2,1,1,12,5
252,1,5,1,1,1,3,3
747,1,7,2,1,1,6,6
856,1,9,2,3,2,6,1
560,2,2,2,2,1,4,3
474,1,6,2,1,1,4,0
58,1,9,2,1,2,7,4
510,1,2,2,1,1,6,5
681,1,2,2,1,2,1,3
475,1,5,2,1,2,6,7
699,1,2,2,1,2,4,0
975,1,5,2,2,0,6,6
782,1,2,1,1,1,6,3
189,1,7,2,2,2,4,0
957,1,5,2,1,1,6,0
686,1,5,2,2,2,6,5
957,1,5,2,1,1,6,0
562,2,5,1,1,2,7,0
875,1,2,2,1,1,3,9
566,2,5,2,2,2,4,0
243,2,5,2,1,2,6,0
831,1,5,2,3,2,6,1
504,1,3,1,3,0,7,7
130,1,2,2,1,2,6,2
484,2,7,2,1,0,4,9
818,2,8,2,1,2,6,8
646,2,6,1,1,2,4,7
20,2,9,1,2,1,6,0
840,1,5,2,3,1,6,3
166,2,2,1,1,2,5,5
273,1,5,2,1,2,6,1
387,1,3,2,2,2,6,9
600,1,5,1,1,2,6,1
315,2,9,1,2,1,7,6
13,2,5,2,1,2,7,4
241,1,5,2,1,2,9,3
776,2,7,2,1,2,7,8
345,2,9,2,2,1,4,6
564,1,5,2,3,1,6,0
897,1,2,1,3,1,6,0
339,1,8,1,1,1,3,3
91,1,5,2,1,2,9,0
366,1,2,2,1,1,10,1
955,2,5,2,2,1,12,2
454,2,9,2,1,2,7,1
427,2,3,2,1,1,2,1
508,1,8,1,1,1,6,0
775,1,2,2,1,0,4,9
942,1,5,2,1,2,6,0
34,1,5,2,1,1,6,6
205,1,5,2,3,2,6,3
80,1,2,2,1,1,6,1
931,1,1,2,2,2,9,8
561,1,2,2,1,1,6,2
871,2,5,1,2,1,3,5
387,1,3,2,2,2,6,9
1,1,7,1,2,1,3,1
389,1,5,2,2,2,2,8
565,1,8,2,3,0,2,5
105,1,7,2,1,1,4,4
771,1,2,6,3,2,3,3
821,1,9,2,1,1,4,8
476,1,8,2,1,2,6,1
702,2,5,2,1,1,2,1
401,2,5,1,1,2,4,5
729,2,1,1,1,2,4,7
555,2,5,2,3,1,6,7
161,1,8,1,1,2,6,6
201,1,1,2,3,2,7,7
957,1,5,2,1,1,6,0
995,2,8,2,1,1,6,7
269,1,5,1,3,2,6,9
862,1,1,2,3,2,6,6
815,2,8,2,1,1,6,4
270,2,5,2,3,1,2,5
455,1,5,2,3,0,11,8
461,2,9,2,1,1,5,7
726,1,1,2,3,2,6,1
251,2,5,1,2,2,6,0
701,2,2,1,1,1,6,7
295,1,7,2,3,1,7,3
724,1,7,1,2,1,6,1
719,1,5,1,1,1,4,8
748,1,8,1,1,1,9,8
337,2,2,2,1,1,6,2
878,1,4,2,1,2,6,4
52,1,5,2,3,1,5,2
791,1,5,2,1,1,6,5
921,2,5,1,2,1,6,1
216,1,8,1,1,1,4,5
763,1,6,2,2,2,9,8
187,1,8,2,1,2,6,0
379,2,8,2,2,2,2,1
492,2,5,2,2,0,3,4
40,2,5,1,1,2,5,4
156,2,5,1,2,1,11,2
14,1,1,2,2,2,4,7
812,2,1,1,1,2,7,1
64,2,1,1,2,1,6,1
