Unnamed: 0,SEX,RAC1P,MSP,HOUSING_TYPE,OWN_RENT,EDU,PINCP_DECILE
102,2,8,2,3,2,4,6
435,2,3,2,2,2,7,0
860,1,2,2,3,2,4,8
270,2,5,2,3,2,2,7
106,1,2,1,1,2,4,2
71,2,2,2,2,1,2,9
700,2,5,1,1,1,7,8
20,2,2,1,3,1,2,0
614,1,9,1,2,2,2,0
121,2,2,2,1,1,4,1
466,1,2,2,2,1,3,6
214,1,8,2,3,2,3,0
330,1,2,2,2,1,4,0
458,2,5,2,3,1,3,8
87,2,2,2,2,2,4,2
372,2,2,2,1,2,3,7
99,1,2,2,1,2,8,1
871,1,7,2,1,2,7,3
663,2,9,2,1,1,4,1
130,1,9,4,2,2,2,5
661,2,2,2,1,1,3,6
308,2,5,2,1,1,4,0
769,2,5,2,2,2,7,4
343,2,5,2,3,2,9,7
491,1,5,2,3,2,1,2
413,1,5,2,2,1,4,7
805,1,2,2,1,1,2,8
385,1,3,2,1,2,7,0
191,1,5,2,2,2,2,9
955,2,8,1,1,2,4,0
276,1,8,2,2,2,8,5
160,2,2,2,2,2,3,8
459,2,8,2,3,2,4,7
313,2,5,1,3,1,4,0
21,1,5,2,2,2,2,6
252,1,5,1,1,2,2,1
747,2,2,2,1,2,3,3
856,1,3,2,2,1,3,0
560,2,2,1,3,2,4,2
474,2,2,2,2,2,4,6
58,2,5,2,3,1,1,7
510,1,3,1,1,1,4,9
681,1,5,2,3,2,2,6
475,2,8,1,2,2,7,0
699,1,2,1,1,2,4,3
975,2,2,1,3,2,2,3
782,2,5,1,3,1,4,2
189,1,8,1,3,1,4,1
957,2,8,2,3,2,2,0
686,1,7,1,1,2,2,9
957,2,8,2,3,2,2,0
562,1,8,2,1,2,4,8
875,1,2,2,2,1,11,9
566,2,3,2,3,2,4,8
243,1,4,2,1,2,7,0
831,1,2,2,3,2,7,5
504,2,2,2,3,2,2,0
130,1,9,4,2,2,2,5
484,1,7,2,2,1,7,0
818,1,5,2,3,2,7,1
646,1,5,1,2,1,3,8
20,2,2,1,3,1,2,0
840,2,5,2,3,2,2,4
166,2,5,2,1,1,4,4
273,1,2,6,3,1,2,6
387,1,5,1,2,1,4,0
600,2,5,2,1,2,2,0
315,2,2,1,1,2,7,6
13,1,5,2,3,2,4,1
241,2,5,1,3,2,4,6
776,2,5,1,1,2,2,5
345,2,2,2,3,2,4,6
564,1,5,1,3,2,2,9
897,2,7,1,3,1,3,4
339,2,5,2,3,1,4,9
91,1,5,1,3,2,4,8
366,1,2,1,3,1,4,9
955,2,8,1,1,2,4,0
454,1,5,2,1,1,3,5
427,1,2,2,1,1,4,4
508,1,5,2,3,2,7,9
775,2,5,2,2,1,3,0
942,1,2,2,3,2,2,7
34,1,5,6,1,2,4,8
205,1,7,2,2,0,4,0
80,1,8,2,2,1,2,6
931,2,4,2,2,1,3,5
561,2,5,2,3,1,7,7
871,1,7,2,1,2,7,3
387,1,5,1,2,1,4,0
1,1,2,1,1,2,7,6
389,1,5,2,3,2,4,2
565,2,5,2,3,1,4,7
105,1,2,1,1,2,4,3
771,1,2,2,3,2,2,2
821,2,2,2,1,2,4,0
476,1,5,6,2,2,4,7
702,1,8,2,1,1,2,1
401,1,5,2,1,2,3,0
729,1,5,1,2,2,4,8
555,2,2,2,3,2,4,1
161,2,5,2,3,2,3,7
201,2,5,1,3,1,4,0
957,2,8,2,3,2,2,0
995,1,8,2,3,2,7,1
269,1,5,2,2,2,4,9
862,2,2,2,3,1,4,0
815,1,3,2,2,1,3,4
270,2,5,2,3,2,2,7
455,1,7,2,2,2,4,7
461,1,8,2,3,2,2,2
726,1,4,2,2,1,7,2
251,1,2,6,3,2,2,6
701,1,5,1,1,1,7,8
295,2,2,1,1,1,5,0
724,1,2,2,1,2,2,0
719,1,2,2,2,2,4,1
748,2,2,2,1,2,2,5
337,2,5,1,3,1,4,7
878,1,8,4,1,0,4,0
52,1,7,1,3,1,7,2
791,1,2,2,3,2,7,7
921,1,2,2,1,1,2,1
216,2,5,6,1,1,4,6
763,2,5,2,3,2,1,1
187,1,1,2,3,1,10,6
379,2,2,2,3,1,4,5
492,2,5,2,1,1,2,7
40,1,5,2,1,2,2,4
156,2,5,2,2,2,7,9
14,2,5,1,2,2,4,4
812,1,5,4,1,0,4,7
64,2,5,2,3,2,4,3
856,1,3,2,2,1,3,0
838,2,2,2,1,1,4,9
520,2,5,1,3,2,4,3
343,2,5,2,3,2,9,7
128,2,5,1,2,0,3,6
647,1,2,2,2,1,4,4
471,1,2,2,3,1,4,7
62,2,8,2,3,2,2,3
138,1,2,6,3,1,2,0
498,1,2,2,3,1,7,1
592,2,5,6,3,2,3,7
391,1,2,1,3,1,7,2
674,2,5,2,2,1,3,3
418,1,5,2,3,2,2,1
288,1,5,2,3,2,4,0
378,1,2,2,1,1,2,7
772,1,5,2,2,2,4,1
489,1,2,2,1,1,4,7
230,1,5,2,3,2,8,8
40,1,5,2,1,2,2,4
27,1,5,1,2,2,3,5
134,1,5,2,3,1,4,6
200,1,7,2,2,2,2,3
839,1,2,2,2,1,7,5
779,2,5,1,3,2,7,2
