Unnamed: 0,SEX,RAC1P,MSP,HOUSING_TYPE,OWN_RENT,EDU,PINCP_DECILE
102,2,2,1,1,1,7,1
435,2,5,1,3,1,6,8
860,1,1,1,1,1,7,0
270,1,2,2,3,2,4,9
106,1,2,2,1,1,7,9
71,1,2,2,3,1,7,0
700,1,6,1,2,0,7,0
20,1,6,1,3,1,7,0
614,1,2,1,2,1,3,5
121,1,1,2,1,1,7,0
466,1,5,1,3,2,6,6
214,1,2,1,3,1,7,1
330,1,5,1,3,1,7,7
458,1,2,1,1,1,7,0
87,1,2,1,1,1,7,2
372,1,2,1,1,1,7,6
99,1,6,1,2,1,7,0
871,2,2,1,3,1,7,6
663,2,6,6,3,0,7,0
130,1,4,2,1,1,7,4
661,2,2,2,3,1,7,6
308,1,9,2,3,2,7,6
769,2,2,1,1,1,7,0
343,1,2,1,1,1,7,0
491,1,7,1,3,1,7,6
413,1,5,6,3,1,6,0
805,1,2,1,2,1,7,0
385,2,5,1,1,1,7,3
191,1,2,2,1,1,1,0
955,2,3,2,1,1,9,3
276,1,2,1,1,2,2,9
160,1,2,1,3,1,6,6
459,1,2,1,2,1,2,0
313,1,2,1,1,1,7,0
21,1,5,1,3,2,7,3
252,1,2,1,3,1,7,0
747,1,9,1,1,0,12,2
856,1,3,2,3,1,7,3
560,1,2,1,1,1,7,0
474,1,6,1,3,1,7,0
58,1,5,1,3,1,4,0
510,1,3,1,1,1,1,1
681,2,1,1,2,1,1,3
475,1,5,2,3,1,7,0
699,2,2,1,1,1,7,3
975,1,5,1,3,1,7,2
782,1,3,1,3,1,3,0
189,1,6,2,3,2,7,9
957,1,2,1,1,1,3,0
686,1,6,1,2,2,6,3
957,1,2,1,1,1,3,0
562,2,5,1,2,1,7,1
875,1,3,1,1,1,7,0
566,2,5,2,2,0,7,2
243,1,6,1,1,1,7,0
831,1,5,1,3,1,7,2
504,1,6,1,3,1,7,3
130,1,4,2,1,1,7,4
484,1,5,1,3,1,7,9
818,1,6,2,2,0,7,3
646,1,3,1,2,1,7,3
20,1,6,1,3,1,7,0
840,2,6,1,1,1,7,1
166,2,8,2,2,1,6,5
273,1,2,6,3,2,7,0
387,1,6,1,1,1,7,2
600,1,2,1,1,1,7,0
315,2,2,2,1,1,7,0
13,1,3,1,3,1,7,0
241,1,5,1,3,1,3,6
776,2,3,1,2,1,7,2
345,1,5,1,1,1,3,0
564,1,3,2,1,1,7,0
897,1,5,2,3,1,7,0
339,2,6,1,2,0,7,0
91,1,5,1,2,1,7,2
366,1,2,1,2,0,7,4
955,2,3,2,1,1,9,3
454,1,7,1,1,1,7,8
427,1,2,1,1,1,2,1
508,1,6,1,3,1,7,2
775,1,2,2,1,1,7,4
942,1,6,1,1,1,7,5
34,1,3,1,1,1,2,2
205,1,2,1,2,0,3,3
80,1,2,1,3,1,7,5
931,2,2,6,1,1,7,0
561,2,5,2,2,1,7,7
871,2,2,1,3,1,7,6
387,1,6,1,1,1,7,2
1,1,8,2,1,2,7,4
389,1,3,2,1,2,7,0
565,1,5,1,3,2,6,4
105,1,5,4,2,1,12,0
771,1,6,1,3,1,2,2
821,1,2,4,2,0,7,2
476,1,2,1,1,0,7,0
702,1,2,1,1,1,3,2
401,1,2,6,1,0,7,4
729,1,3,1,2,1,7,6
555,1,5,2,1,2,3,8
161,1,2,1,3,1,7,9
201,1,1,2,3,2,7,9
957,1,2,1,1,1,3,0
995,1,2,1,1,1,7,9
269,1,5,1,1,1,7,0
862,1,2,6,1,1,7,7
815,1,2,2,1,1,7,1
270,1,2,2,3,2,4,9
455,1,2,1,2,1,7,3
461,1,5,1,3,0,3,0
726,1,6,1,2,2,7,0
251,1,2,1,3,1,7,4
701,1,2,1,1,1,7,0
295,1,2,1,3,1,7,5
724,1,6,1,3,1,7,1
719,1,2,2,2,1,7,0
748,1,1,1,3,1,10,0
337,1,6,6,2,1,7,0
878,1,1,6,3,1,7,1
52,1,6,1,2,1,9,0
791,1,2,6,1,1,7,4
921,1,2,1,2,1,7,0
216,1,5,1,2,1,7,6
763,1,3,1,3,2,7,9
187,1,6,1,3,1,7,9
379,1,2,6,2,1,7,4
492,1,6,6,3,2,7,2
40,1,2,2,3,1,7,0
156,2,2,1,1,1,7,1
14,1,3,1,3,2,11,0
812,1,2,2,1,1,7,5
64,1,2,1,1,2,7,2
856,1,3,2,3,1,7,3
838,1,8,1,1,1,6,0
520,1,2,1,3,1,7,0
343,1,2,1,1,1,7,0
128,1,2,6,2,1,7,2
647,2,8,1,1,1,7,3
471,2,6,1,1,1,7,0
62,1,4,6,1,0,7,0
138,1,2,2,1,1,7,5
498,2,6,1,3,1,7,0
592,1,2,6,1,1,7,6
391,1,5,1,2,0,7,2
674,1,2,1,1,1,3,4
418,1,2,1,1,1,7,0
288,1,2,6,1,1,3,5
378,1,6,6,2,1,7,5
772,1,2,2,3,1,7,3
489,1,2,1,1,1,6,2
230,1,8,1,3,2,7,2
40,1,2,2,3,1,7,0
27,2,9,1,1,1,1,0
134,1,2,1,1,1,7,3
200,1,5,1,1,0,7,0
839,1,5,1,2,1,7,0
