,CCAA,SEXO,EDAD,NACIO,ECIVIL,ESTUDIO,D_1,VISI_2_1,MOVI_21_1,MOVI_22_1,MOVI_25_1
0,8,2,4,3,5,5,1,2,1,2,1
1,13,1,1,3,2,4,1,1,1,2,1
2,16,1,5,3,5,4,1,1,2,2,1
3,3,1,5,1,2,3,1,1,2,1,2
4,16,2,1,3,2,7,5,2,2,2,2
5,14,1,1,3,5,1,1,1,2,2,2
6,15,1,4,3,5,5,1,1,1,2,1
7,13,2,5,3,5,7,1,1,1,1,2
8,17,2,5,3,5,5,1,1,1,1,1
9,15,2,1,3,2,5,5,1,2,1,2
10,15,1,3,3,5,5,1,2,1,2,2
11,17,1,6,3,5,4,1,1,2,1,2
12,17,1,3,3,5,5,1,2,1,1,1
13,4,1,5,3,3,3,1,2,1,2,1
14,8,2,3,3,5,5,1,2,1,1,1
15,17,2,2,3,5,4,1,1,1,1,2
16,14,1,3,3,2,5,1,1,1,1,1
17,8,1,1,1,3,7,5,2,2,1,2
18,13,1,1,3,1,5,1,1,1,1,1
19,1,2,5,3,2,4,1,1,2,1,2
20,17,1,1,1,2,4,1,1,1,2,2
21,8,1,4,3,5,1,1,2,1,1,2
22,15,1,6,3,3,3,1,1,2,1,1
23,15,2,2,3,3,3,1,1,1,1,1
24,7,1,1,3,5,4,5,2,1,1,1
25,4,1,1,1,5,2,1,1,1,1,2
26,3,2,2,3,3,4,1,2,2,2,1
27,4,2,1,3,5,5,1,2,2,1,2
28,17,2,1,3,3,7,1,2,2,2,1
29,17,2,1,3,3,4,1,1,1,2,1
30,14,2,2,3,3,5,1,2,1,2,2
31,15,1,3,1,1,4,1,1,1,1,1
32,15,1,2,3,3,4,1,2,2,2,2
33,15,2,4,3,5,5,1,1,2,2,1
34,14,1,2,3,2,7,1,2,1,1,1
35,14,1,1,1,3,4,1,1,2,2,1
36,17,1,1,1,5,1,1,2,2,1,2
37,17,1,5,3,5,1,1,2,2,1,1
38,15,1,3,3,5,1,1,1,2,2,2
39,15,2,1,3,2,4,4,2,2,1,1
40,17,1,4,3,2,4,1,2,1,1,1
41,3,1,6,3,2,3,1,2,2,2,1
42,17,1,3,3,5,5,1,1,2,1,2
43,17,1,1,3,2,7,1,1,1,1,1
44,8,1,1,3,2,5,5,1,2,1,2
45,13,1,1,3,5,4,1,1,1,2,1
46,15,1,2,1,3,1,1,2,2,2,1
47,14,1,3,3,5,4,1,1,2,2,1
48,17,1,1,3,3,8,1,2,1,2,1
49,16,2,2,3,5,1,5,1,1,2,1
50,13,1,1,3,2,5,1,2,2,2,2
51,4,2,6,3,5,4,1,1,1,2,1
52,8,2,2,3,5,4,1,2,1,1,1
53,15,1,1,3,1,5,5,2,1,2,2
54,8,1,1,3,2,1,5,2,2,2,1
55,14,1,2,3,5,3,1,2,1,2,1
56,17,1,3,3,3,4,1,2,1,1,2
57,3,1,2,3,2,3,5,2,1,2,1
58,8,1,1,3,5,3,1,2,1,1,2
59,17,1,3,1,2,4,1,2,1,2,2
60,8,1,1,3,5,5,1,2,1,2,2
61,14,1,1,3,5,3,4,2,2,2,2
62,17,1,1,3,2,4,1,1,2,1,1
63,14,2,1,1,3,3,1,2,2,2,1
64,13,1,2,3,2,4,4,1,1,2,1
65,7,1,1,3,5,1,4,2,2,2,1
66,13,1,5,3,5,4,1,1,1,1,1
67,6,1,1,3,5,5,1,2,2,2,2
68,17,1,1,2,5,1,1,1,1,1,2
69,3,1,1,3,5,3,1,2,1,1,1
70,7,1,4,3,2,6,5,2,2,2,2
71,15,2,3,1,2,3,1,2,1,2,2
72,13,2,1,3,3,3,1,2,1,2,1
73,3,1,3,1,4,3,1,1,1,1,2
74,15,1,1,3,3,3,2,2,2,2,1
75,13,1,1,3,5,3,5,2,2,1,2
76,15,1,1,1,3,3,1,2,2,2,2
77,7,1,1,3,5,1,1,1,1,2,1
78,9,1,4,1,5,4,5,2,2,1,1
79,17,2,1,1,3,1,5,2,1,2,1
80,17,1,1,3,5,5,1,1,1,1,1
81,15,1,1,3,3,1,5,1,2,2,2
82,17,1,2,3,2,7,1,2,1,1,1
83,13,1,1,1,5,4,1,1,1,1,2
84,3,1,1,1,5,5,5,2,2,2,2
85,13,1,1,1,3,3,1,2,2,2,1
86,13,1,1,3,5,1,1,1,1,1,1
87,17,1,3,3,5,3,4,2,1,1,2
88,14,1,1,1,3,5,1,1,1,1,2
89,8,2,3,3,5,4,1,1,2,1,1
90,14,1,2,1,2,3,1,2,2,2,1
91,13,1,1,3,1,4,1,2,1,1,2
92,17,1,3,3,5,4,1,1,2,1,1
93,4,1,1,3,3,5,5,2,2,1,2
94,17,1,1,1,5,3,1,1,1,2,1
95,15,1,5,3,5,3,1,2,1,2,2
96,17,2,1,3,3,4,1,1,1,1,2
97,14,2,1,3,3,4,1,1,2,1,1
98,17,1,1,1,3,5,5,2,2,1,2
99,13,1,2,3,2,4,1,2,2,1,1
100,13,1,1,3,5,4,1,2,2,2,1
101,17,1,1,1,5,1,5,2,2,1,1
102,17,2,1,3,5,4,1,1,2,1,1
103,15,2,1,1,2,4,1,1,1,1,2
104,15,1,1,1,3,5,1,1,2,2,1
105,13,1,2,3,5,3,1,1,1,2,1
106,7,1,1,1,3,1,1,2,1,1,1
107,3,2,1,3,3,3,1,2,1,2,1
108,15,1,1,1,5,1,1,2,1,2,2
109,4,1,4,3,5,1,1,1,2,1,2
110,3,1,4,3,3,7,1,1,2,1,1
111,1,1,1,3,4,4,1,2,1,1,2
112,14,2,3,1,2,4,1,1,2,2,1
113,17,1,3,3,5,1,1,2,2,1,1
114,15,2,1,3,3,4,1,1,2,1,2
115,8,1,2,3,5,1,1,1,1,2,1
116,17,1,5,3,2,4,1,1,2,1,2
117,3,1,4,3,2,3,1,2,1,1,1
118,13,2,2,1,3,3,1,2,2,1,2
119,13,1,4,3,5,7,1,1,2,1,1
120,3,1,1,3,5,5,1,1,2,2,1
121,4,1,1,3,5,5,1,1,1,1,1
122,8,1,3,3,5,3,5,2,1,1,2
123,14,1,4,1,5,4,1,1,2,2,2
124,4,1,1,3,2,5,5,2,2,1,1
125,13,1,5,1,3,1,5,2,2,2,1
126,17,1,1,3,5,3,5,2,2,1,2
127,17,1,3,3,2,1,1,1,1,2,1
128,15,1,1,3,5,5,1,1,2,1,2
129,17,2,2,3,5,4,5,2,2,2,1
130,15,2,1,3,5,4,1,1,2,1,2
131,15,1,5,2,1,3,1,1,2,2,1
132,8,2,2,1,3,1,5,1,2,2,1
133,15,1,1,3,2,3,1,2,1,2,1
134,15,1,1,1,5,3,1,1,2,1,2
135,17,2,6,3,5,4,1,2,2,1,2
136,14,1,1,3,3,3,5,1,1,1,2
137,15,1,1,1,3,3,1,2,1,2,1
138,15,1,5,3,5,4,5,1,2,1,2
139,15,1,1,3,5,5,5,1,2,2,2
140,3,1,1,1,1,5,1,1,1,2,1
141,14,1,3,3,5,4,1,2,1,1,1
142,8,1,3,3,3,1,1,1,1,1,2
143,8,2,1,3,3,4,1,2,1,2,2
144,13,1,2,1,5,3,1,2,1,2,1
145,3,2,1,3,3,4,1,1,1,1,2
146,15,1,1,3,5,7,1,2,2,2,1
147,4,1,1,3,5,7,1,1,2,2,1
148,3,2,5,3,3,6,1,1,2,1,2
149,4,1,3,3,5,4,1,2,2,1,1
150,17,2,1,3,3,4,1,2,2,2,2
151,13,2,1,1,5,1,4,2,2,1,1
152,15,1,1,3,5,4,1,2,2,1,2
153,15,1,5,1,5,4,1,2,2,2,1
154,17,1,1,3,5,4,1,1,1,1,1
155,4,2,1,3,5,3,1,1,1,1,1
156,17,2,1,3,3,1,1,1,1,1,1
157,17,1,1,3,2,1,1,2,1,1,2
158,17,1,3,3,5,1,5,2,1,2,1
159,14,1,1,3,2,5,5,1,1,1,2
160,17,1,1,3,5,4,1,1,1,1,2
161,17,2,4,3,3,1,1,1,1,1,2
162,15,2,1,1,5,4,1,1,1,2,1
163,17,1,2,3,3,4,5,2,2,2,1
164,17,1,1,3,5,5,1,2,1,1,1
165,4,2,2,3,5,4,1,2,2,1,1
166,17,2,3,1,3,3,1,1,2,2,1
167,15,1,2,3,2,3,1,1,2,2,1
168,13,1,1,3,3,4,5,1,2,2,2
169,13,1,1,1,3,7,2,2,1,1,1
170,13,2,1,1,5,7,1,2,1,2,1
171,14,2,1,3,2,4,1,1,2,2,2
172,3,1,3,3,5,4,1,2,2,1,1
173,17,2,1,1,3,1,1,2,1,2,1
174,7,1,5,3,5,3,1,1,1,1,2
175,15,2,4,3,4,3,5,1,2,1,2
176,3,2,1,3,2,3,1,1,2,1,2
177,14,1,3,3,5,5,1,2,1,1,2
178,17,1,1,3,5,4,5,2,2,2,2
179,4,2,1,3,5,4,1,1,2,1,2
180,17,2,2,3,3,1,2,1,1,1,2
181,13,1,5,3,5,1,5,2,1,1,2
182,10,1,1,3,2,3,1,1,1,1,1
183,15,2,1,3,5,4,1,1,2,2,2
184,17,2,4,2,3,8,1,1,2,2,1
185,15,1,1,3,5,3,1,1,1,2,2
186,17,2,1,3,5,3,1,1,1,1,1
187,15,1,3,1,5,3,3,2,2,2,2
188,15,1,3,1,2,2,4,2,2,1,1
189,17,1,1,3,2,2,1,1,1,2,1
190,17,1,2,1,5,5,1,1,1,1,1
191,10,1,1,3,5,3,5,2,2,1,2
192,15,1,4,3,3,4,1,1,2,2,2
193,16,2,2,3,2,3,1,1,2,2,1
194,17,2,2,3,5,5,1,2,1,1,1
195,17,1,1,3,1,6,5,1,1,1,1
196,14,1,2,3,5,4,5,1,2,1,2
197,15,1,3,3,2,3,1,2,1,1,1
198,8,1,4,1,5,7,5,2,2,2,2
199,3,1,1,1,5,5,5,1,1,1,2
200,13,2,2,3,3,7,1,2,2,2,1
201,15,1,4,1,2,4,1,2,2,1,1
202,17,2,1,3,2,4,1,2,2,1,1
203,15,1,1,1,3,1,1,1,1,2,1
204,15,1,2,3,3,5,1,1,2,2,1
205,15,1,2,3,3,3,1,2,2,2,1
206,17,1,1,1,5,3,4,1,1,1,2
207,2,2,2,3,5,5,1,2,2,1,2
208,15,1,1,3,5,2,1,1,1,2,1
209,14,1,2,3,5,4,1,1,1,2,2
210,17,1,1,3,3,4,1,1,2,1,2
211,13,1,2,3,2,4,1,2,1,2,1
212,6,1,1,3,5,5,5,2,2,2,1
213,3,1,3,1,5,3,1,2,2,1,2
214,17,1,2,3,3,2,1,2,1,2,2
215,17,2,4,3,5,4,5,1,2,2,1
216,14,1,2,3,2,1,5,2,2,2,1
217,17,1,2,3,2,1,1,2,2,1,1
218,17,1,4,3,5,3,1,1,1,2,2
219,17,2,2,3,3,3,1,2,1,1,2
220,17,1,2,1,5,5,1,1,1,1,2
221,14,2,1,1,5,4,1,1,1,1,2
222,13,1,2,3,5,3,1,2,2,1,1
223,3,1,3,3,5,3,2,1,2,2,1
224,7,1,5,3,5,3,1,1,2,1,1
225,8,2,1,3,3,7,5,1,2,2,1
226,4,1,4,1,5,3,5,1,1,1,1
227,15,1,1,2,5,1,1,2,2,2,1
228,14,1,1,3,5,5,1,1,1,2,1
229,17,1,3,1,5,5,3,2,1,2,1
230,4,1,2,1,2,6,1,1,1,1,1
231,13,2,1,3,3,3,4,2,2,2,1
232,8,1,2,2,3,1,1,1,2,1,2
233,17,1,3,3,5,6,1,2,2,2,2
234,3,1,3,3,3,3,1,2,2,1,2
235,15,1,1,3,5,7,1,1,2,1,2
236,3,1,3,3,2,3,1,1,2,2,2
237,17,2,1,3,3,4,1,1,1,1,1
238,4,1,4,3,5,4,1,2,2,2,1
239,15,1,1,3,5,5,1,1,1,2,2
240,12,2,5,1,3,4,1,1,2,1,2
241,13,1,1,1,5,1,1,2,1,1,1
242,17,1,1,3,2,4,5,1,2,2,1
243,4,1,4,1,5,1,5,1,2,2,2
244,3,1,2,1,3,2,1,2,2,2,2
245,13,1,1,1,2,4,1,2,1,1,1
246,10,1,1,1,2,3,5,1,1,2,1
247,17,1,4,3,5,4,1,1,2,2,2
248,7,1,2,3,5,8,1,1,2,1,2
249,14,1,3,3,1,5,1,1,2,2,2
250,17,1,2,3,2,2,1,1,1,1,1
251,17,1,1,3,5,4,2,1,2,1,1
252,15,2,1,3,5,5,1,1,2,1,2
253,4,1,2,3,5,4,1,2,2,2,1
254,13,2,2,3,2,4,1,2,2,2,1
255,17,1,1,1,3,4,1,2,1,1,1
256,11,1,1,3,5,3,1,1,1,2,1
257,14,1,1,3,3,7,5,1,1,2,1
258,17,1,6,3,2,6,1,1,2,1,1
259,17,2,4,3,5,3,1,1,2,1,1
260,15,1,2,3,5,4,1,2,1,1,1
261,17,1,4,3,5,3,1,2,1,1,1
262,13,1,5,3,5,4,1,1,2,2,1
263,13,1,2,1,5,3,5,1,1,1,2
264,14,2,1,1,5,6,1,1,2,1,1
265,14,1,2,3,5,4,1,2,1,1,2
266,14,2,3,3,5,4,1,1,2,2,1
267,3,2,1,3,3,4,2,2,1,2,2
268,15,1,1,3,5,6,1,2,1,1,1
269,10,1,1,3,2,1,1,2,2,2,1
270,17,1,1,3,5,2,1,2,2,1,1
271,13,1,1,3,3,3,1,2,1,2,1
272,17,1,2,1,5,3,1,2,1,1,1
273,4,1,1,3,2,5,1,1,1,1,1
274,3,1,1,1,3,3,1,2,2,1,1
275,8,1,2,1,5,3,1,2,2,1,1
276,13,1,2,3,5,5,4,2,1,2,1
277,15,1,1,1,3,1,1,2,2,2,2
278,3,2,1,3,5,4,5,2,2,2,2
279,17,1,3,3,5,3,1,1,2,1,1
280,13,1,1,1,4,4,5,2,1,2,2
281,13,2,2,3,5,8,1,1,1,2,2
282,15,1,2,3,2,2,5,2,1,2,2
283,3,2,3,3,2,1,1,1,2,1,2
284,13,1,2,1,5,5,1,2,1,1,1
285,14,2,5,3,4,4,1,1,1,2,2
286,13,1,1,3,5,4,1,1,1,2,2
287,17,1,6,3,3,4,5,2,1,2,2
288,5,1,5,3,3,4,1,1,2,2,1
289,17,1,1,3,2,1,1,2,1,1,1
290,17,1,2,3,2,1,1,2,2,1,1
291,17,2,1,3,3,5,1,1,2,1,2
292,15,1,1,3,3,4,1,1,2,2,2
293,19,1,2,3,5,8,1,1,2,1,1
294,4,2,2,3,3,4,1,2,2,1,1
295,15,1,2,3,5,1,1,1,2,2,1
296,15,1,2,3,2,5,5,2,1,2,1
297,17,1,5,3,3,1,2,1,2,1,2
298,13,1,2,3,5,4,1,2,2,1,1
299,4,1,1,3,5,4,1,2,1,1,1
300,14,2,4,1,5,5,1,2,1,1,1
301,3,1,1,3,2,1,5,1,1,2,1
302,15,2,1,1,2,4,1,2,2,2,1
303,8,1,1,3,2,5,1,2,1,1,1
304,15,1,1,3,5,8,1,1,1,1,2
305,10,1,2,3,5,3,1,1,2,2,2
306,17,1,3,3,2,5,1,2,2,2,1
307,4,2,2,3,5,5,5,2,2,2,1
308,8,1,1,1,5,4,1,2,1,1,1
309,3,2,5,3,2,3,1,1,1,2,1
310,17,1,2,3,5,4,1,2,2,1,2
311,17,1,1,3,3,3,1,1,2,2,2
312,7,2,1,3,5,5,1,2,1,2,2
313,17,2,4,3,5,3,1,2,2,2,2
314,3,2,2,3,2,3,1,1,1,1,1
315,4,1,1,1,5,3,1,1,2,2,1
316,7,1,5,3,2,4,3,2,1,2,1
317,8,1,1,3,2,4,1,2,1,2,2
318,13,1,2,3,5,1,1,1,1,2,1
319,7,1,2,3,2,4,1,2,2,1,1
320,16,2,2,3,3,4,1,2,1,1,2
321,14,1,1,1,5,3,1,1,1,1,1
322,8,2,5,3,5,3,1,2,2,1,2
323,15,1,2,3,5,5,5,1,2,1,1
324,17,1,1,3,5,4,1,1,1,2,1
325,13,2,1,3,5,7,1,2,1,2,2
326,13,2,1,1,5,4,5,2,1,1,2
327,14,1,5,1,2,4,1,2,2,2,2
328,17,1,2,3,5,4,1,2,1,1,1
329,15,1,4,3,5,5,5,2,2,2,2
330,17,1,2,3,2,4,1,1,1,1,1
331,17,2,2,1,2,4,1,1,2,1,1
332,14,1,1,3,2,6,1,2,1,2,1
333,18,1,1,3,5,5,1,2,1,1,1
334,3,1,4,3,5,3,1,1,1,2,1
335,4,1,4,3,5,1,1,2,2,2,2
336,17,1,1,3,5,2,5,1,2,1,1
337,8,1,1,3,2,4,1,1,1,1,2
338,17,2,2,3,5,5,3,1,1,1,1
339,17,1,1,3,5,5,1,1,2,1,1
340,3,2,2,2,2,4,1,1,2,2,1
341,17,1,1,3,3,4,5,2,1,2,2
342,17,1,2,3,3,7,1,1,1,1,2
343,8,1,5,3,3,8,5,1,1,1,1
344,17,1,1,2,5,3,2,2,2,1,1
345,17,1,2,3,5,3,1,2,1,2,1
346,17,1,1,3,5,5,1,2,1,1,2
347,16,1,1,3,5,4,1,2,1,1,2
348,19,1,4,3,3,5,1,2,2,2,1
349,8,2,1,3,5,1,5,2,2,2,1
350,16,1,2,3,2,1,1,2,2,2,1
351,17,1,1,3,3,4,5,2,2,1,1
352,14,1,1,3,5,4,1,1,1,1,2
353,10,2,1,3,5,4,1,2,1,2,2
354,17,2,1,3,4,4,1,1,2,1,1
355,14,1,2,3,5,1,1,2,1,2,2
356,17,1,5,3,3,4,2,1,1,2,1
357,4,2,1,3,3,1,1,2,2,2,2
358,17,1,6,3,3,5,1,2,1,1,1
359,4,1,1,3,5,1,1,1,1,1,1
360,17,1,2,1,2,5,1,2,2,1,1
361,15,1,1,3,5,3,1,1,1,2,1
362,14,1,2,1,5,4,1,2,2,1,2
363,14,1,5,1,5,7,1,2,2,2,2
364,17,2,1,3,3,4,1,1,2,2,1
365,3,1,2,2,5,2,4,2,1,1,2
366,17,1,2,3,2,8,1,1,1,1,1
367,17,1,6,1,5,4,1,1,2,2,1
368,17,1,1,3,2,3,1,2,2,2,2
369,15,2,1,3,2,1,5,1,2,1,2
370,15,1,2,3,2,5,1,1,2,1,1
371,15,2,1,3,4,5,5,2,1,1,1
372,16,1,1,3,4,1,1,1,2,2,2
373,3,1,4,3,2,5,1,2,1,1,2
374,17,1,2,1,4,4,1,1,1,1,1
375,13,2,3,3,5,7,1,1,2,1,1
376,13,2,6,3,3,1,1,1,2,1,2
377,17,1,1,3,3,4,5,2,2,1,1
378,17,1,3,1,5,3,1,1,1,1,2
379,8,1,1,1,5,5,1,2,1,2,2
