,SEX,RAC1P,MSP,HOUSING_TYPE,OWN_RENT,EDU,PINCP_DECILE
0,1,5,2,2,2,2,1
1,1,7,1,2,1,3,1
2,1,2,1,3,2,4,4
3,2,8,2,2,1,4,0
4,2,2,1,3,1,6,8
5,2,5,1,1,2,4,1
6,2,4,2,1,1,4,4
7,1,9,2,2,2,4,7
8,1,5,2,1,1,6,1
9,2,1,2,3,2,2,2
10,2,2,1,1,2,6,4
11,2,8,2,3,2,1,9
12,1,6,2,1,1,4,1
13,2,5,2,1,2,7,4
14,1,1,2,2,2,4,7
15,2,8,2,1,1,6,7
16,2,6,2,1,2,4,1
17,1,8,2,1,2,4,2
18,2,6,2,1,2,6,0
19,1,2,1,1,2,3,4
20,2,9,1,2,1,6,0
21,2,5,2,1,1,12,5
22,2,5,2,1,2,6,1
23,2,9,2,1,1,11,1
24,1,2,1,1,1,6,0
25,2,9,2,1,0,4,3
26,2,2,2,1,1,2,7
27,1,3,2,1,2,6,1
28,2,2,2,1,1,4,6
29,1,5,1,1,1,2,5
30,1,5,2,1,2,5,0
31,1,2,2,1,2,6,8
32,2,2,1,1,2,2,4
33,1,1,2,2,1,7,4
34,1,5,2,1,1,6,6
35,1,8,2,1,1,6,4
36,1,9,2,1,1,6,0
37,2,4,2,1,1,7,6
38,2,7,2,1,1,4,2
39,2,8,2,3,2,7,1
40,2,5,1,1,2,5,4
41,1,5,2,1,1,4,7
42,1,5,2,1,2,4,5
43,1,6,2,2,1,6,4
44,2,2,2,1,1,12,1
45,1,7,2,1,1,4,0
46,2,8,2,1,1,6,0
47,1,5,2,1,2,6,1
48,1,8,1,1,1,6,1
49,2,4,1,1,2,7,2
50,2,2,1,1,2,4,8
51,2,5,1,2,2,6,9
52,1,5,2,3,1,5,2
53,2,5,2,1,2,3,7
54,1,8,2,3,2,6,6
55,1,1,2,1,1,6,5
56,1,6,2,2,1,4,9
57,2,5,2,2,2,6,1
58,1,9,2,1,2,7,4
59,1,3,2,3,2,4,4
60,1,8,2,1,1,3,1
61,2,2,1,2,2,6,0
62,1,4,1,1,2,2,6
63,2,5,1,1,1,6,6
64,2,1,1,2,1,6,1
65,1,8,2,1,1,6,2
66,1,9,1,1,2,2,3
67,1,8,1,3,2,4,0
68,1,7,2,1,1,7,2
69,2,2,1,1,0,6,1
70,1,8,2,1,2,6,1
71,2,2,2,1,2,4,8
72,1,2,2,1,1,4,5
73,1,5,2,2,2,7,9
74,2,8,1,1,1,6,4
75,2,5,2,1,2,6,0
76,1,8,2,1,1,6,8
77,1,7,1,1,2,4,6
78,2,7,1,2,1,6,9
79,2,2,1,1,0,2,6
80,1,2,2,1,1,6,1
81,1,5,1,1,1,7,8
82,1,2,1,1,0,4,1
83,1,4,2,1,2,6,4
84,1,5,1,1,2,7,5
85,2,3,2,3,1,3,8
86,1,5,1,1,1,6,9
87,1,2,2,2,1,7,3
88,1,5,2,1,2,2,1
89,1,8,1,1,2,6,0
90,1,9,1,1,2,4,5
91,1,5,2,1,2,9,0
92,2,8,2,1,2,7,7
93,2,3,2,1,2,4,2
94,1,9,2,1,2,5,7
95,2,5,2,1,1,2,2
96,1,6,2,1,1,7,2
97,2,9,1,1,1,6,2
98,2,5,2,2,2,7,0
99,1,6,2,1,1,6,0
100,2,1,1,2,2,3,8
101,1,5,2,2,2,7,1
102,1,8,2,1,1,4,7
103,1,3,2,1,2,4,8
104,1,1,2,1,1,7,7
105,1,7,2,1,1,4,4
106,2,7,2,2,1,2,6
107,2,2,2,3,1,4,1
108,1,1,2,1,2,4,0
109,2,9,2,2,0,4,4
110,2,5,2,3,2,2,2
111,1,3,2,1,2,3,0
112,2,7,1,1,1,6,4
113,2,6,2,1,2,4,7
114,2,5,1,1,1,6,7
115,2,7,1,1,1,4,5
116,2,7,2,1,2,6,9
117,1,5,1,1,2,7,7
118,2,8,2,1,2,2,8
119,2,2,2,1,0,2,8
120,1,1,1,1,2,4,1
121,2,5,2,3,1,7,6
122,2,2,2,3,1,4,8
123,2,6,2,1,1,4,3
124,2,5,2,2,1,6,4
125,1,7,2,3,1,6,1
126,2,5,1,1,2,7,9
127,1,3,2,2,1,6,1
128,2,8,2,1,1,6,4
129,2,5,1,1,2,6,1
130,1,2,2,1,2,6,2
131,2,6,2,1,1,6,0
132,2,5,2,1,1,2,0
133,2,7,1,1,2,4,1
134,1,8,2,3,1,12,8
135,2,2,2,1,2,2,1
136,1,5,2,1,2,7,4
137,1,5,2,1,1,4,2
138,1,5,1,1,1,4,8
139,2,2,2,1,2,7,3
140,2,5,1,3,1,6,6
141,1,4,2,1,1,7,1
142,2,3,2,1,1,6,1
143,1,8,1,1,2,7,6
144,1,5,2,2,1,4,3
145,1,2,2,1,1,6,9
146,2,9,2,1,2,4,7
147,1,5,2,1,2,6,4
148,2,5,2,1,1,6,0
149,1,9,2,1,2,6,4
150,2,5,1,1,2,6,3
151,2,2,2,2,1,6,4
152,1,5,2,1,1,7,3
153,1,9,1,1,2,6,8
154,2,5,2,3,2,2,8
155,1,5,1,2,2,4,8
156,2,5,1,2,1,11,2
157,2,5,2,1,1,6,1
158,2,9,2,3,1,4,4
159,2,5,2,1,1,6,2
160,2,9,2,2,1,4,7
161,1,8,1,1,2,6,6
162,2,5,2,1,2,9,1
163,2,8,1,1,2,4,5
164,2,9,2,1,1,6,0
165,1,3,2,1,2,6,7
166,2,2,1,1,2,5,5
167,2,7,1,1,2,6,1
168,2,9,2,2,2,4,1
169,1,2,1,1,2,2,4
170,2,1,1,1,2,4,5
171,2,5,2,3,1,6,3
172,2,5,1,1,2,4,9
173,1,5,2,1,1,5,5
174,1,4,1,2,1,4,4
175,2,8,1,2,2,7,5
176,1,6,2,2,1,2,0
177,2,2,2,1,1,6,3
178,1,1,2,2,0,11,5
179,1,5,2,1,2,7,5
180,2,9,2,1,1,6,0
181,2,9,2,2,2,7,7
182,1,2,1,3,2,4,6
183,2,6,2,1,1,7,4
184,1,2,2,1,2,6,1
185,1,2,1,1,2,6,7
186,1,5,2,3,1,6,2
187,1,8,2,1,2,6,0
188,2,5,2,1,1,7,0
189,1,7,2,2,2,4,0
190,2,6,1,1,1,3,1
191,1,5,2,1,0,7,2
192,2,5,2,3,2,9,1
193,1,8,1,1,1,6,8
194,1,2,1,1,2,2,1
195,1,5,2,1,2,4,7
196,2,8,2,2,1,2,2
197,2,2,2,2,1,6,7
198,2,3,2,1,2,2,1
199,1,5,1,1,1,4,8
200,1,9,1,1,2,6,4
201,1,1,2,3,2,7,7
202,1,2,2,1,2,6,1
203,1,8,2,3,1,6,1
204,2,7,2,1,1,3,6
205,1,5,2,3,2,6,3
206,1,5,1,1,2,4,3
207,1,8,2,1,1,6,1
208,1,2,2,1,1,6,8
209,1,2,2,1,1,4,5
210,2,8,1,1,2,6,2
211,2,9,2,3,2,6,2
212,1,5,2,1,2,6,2
213,1,2,2,1,2,7,1
214,2,5,2,1,1,3,0
215,2,8,2,3,0,6,0
216,1,8,1,1,1,4,5
217,2,8,1,3,1,4,2
218,1,9,1,3,1,2,9
219,1,5,2,1,1,7,1
220,2,5,1,3,2,6,0
221,2,1,1,1,1,6,4
222,1,3,2,1,2,3,6
223,2,5,2,1,2,7,0
224,1,4,2,1,1,6,0
225,2,1,2,1,1,6,8
226,2,7,2,2,1,2,6
227,2,2,2,1,2,6,0
228,1,8,1,2,2,3,9
229,1,5,2,1,1,6,1
230,1,2,1,3,1,4,5
231,2,6,1,3,1,6,1
232,1,7,2,1,2,5,4
233,1,3,2,3,1,7,1
234,1,5,2,1,1,3,3
235,1,1,1,2,2,7,2
236,2,2,2,1,2,6,2
237,2,7,2,1,1,6,5
238,1,2,2,1,1,4,6
239,1,2,2,1,1,4,1
240,2,9,2,1,2,6,8
241,1,5,2,1,2,9,3
242,2,4,1,3,2,6,0
243,2,5,2,1,2,6,0
244,2,5,2,3,1,6,4
245,2,2,2,1,1,6,5
246,2,2,2,3,1,7,5
247,2,1,2,1,2,4,8
248,2,8,2,1,1,4,0
249,1,5,1,3,2,6,3
250,1,5,1,1,1,6,7
251,2,5,1,2,2,6,0
252,1,5,1,1,1,3,3
253,2,8,4,2,1,6,0
254,2,7,2,1,2,4,8
255,1,2,2,1,1,6,5
256,1,5,1,1,1,6,1
257,2,8,1,2,2,6,2
258,2,3,1,3,1,4,4
259,1,9,1,1,1,4,4
260,1,2,2,1,1,6,2
261,1,9,1,1,2,6,1
262,2,5,2,1,1,2,4
263,2,8,2,1,2,2,1
264,1,5,2,2,1,6,0
265,2,5,2,2,2,6,5
266,1,8,2,1,1,4,6
267,1,5,2,1,1,6,9
268,2,8,2,1,1,7,3
269,1,5,1,3,2,6,9
270,2,5,2,3,1,2,5
271,1,5,1,1,2,6,0
272,2,4,2,3,2,5,3
273,1,5,2,1,2,6,1
274,1,5,2,1,1,6,4
275,2,1,2,1,2,4,7
276,2,9,4,1,1,6,1
277,2,9,2,1,2,9,7
278,1,5,2,2,2,7,6
279,1,7,2,2,1,7,5
280,2,5,2,1,2,6,1
281,2,2,1,3,1,10,8
282,1,6,2,1,2,2,0
283,2,8,1,3,1,4,9
284,1,5,2,1,1,7,7
285,2,4,2,2,2,3,1
286,1,5,2,1,2,7,2
287,2,8,2,1,1,6,0
288,2,2,1,2,2,6,2
289,2,3,1,1,2,4,4
290,2,3,2,1,2,9,2
291,2,6,2,1,2,6,1
292,1,1,2,1,1,6,6
293,1,7,1,1,2,4,5
294,2,1,2,1,1,4,1
295,1,7,2,3,1,7,3
296,2,4,2,1,1,4,6
297,1,8,1,1,1,7,4
298,1,9,2,3,1,12,1
299,1,8,1,3,1,2,3
300,1,1,2,3,2,4,0
301,1,3,2,3,1,6,8
302,1,7,2,1,2,9,7
303,1,5,2,1,2,6,6
304,2,4,2,3,2,4,3
305,1,2,1,1,1,6,5
306,2,2,2,1,1,6,9
307,1,4,1,2,1,6,0
308,2,9,2,1,2,6,6
309,1,9,1,3,2,4,3
310,2,7,2,1,1,6,6
311,2,8,1,3,2,4,4
312,2,6,2,3,2,7,3
313,2,3,2,3,1,2,7
314,1,9,1,1,2,4,3
315,2,9,1,2,1,7,6
316,1,5,1,1,1,7,5
317,1,5,1,1,1,7,3
318,1,5,1,1,1,4,9
319,1,5,2,1,2,12,1
320,1,2,2,1,1,6,6
321,2,2,2,3,1,6,1
322,1,4,2,3,1,3,8
