,CCAA,SEXO,EDAD,NACIO,ECIVIL,ESTUDIO,D_1,VISI_2_1,MOVI_21_1,MOVI_22_1,MOVI_25_1
0,17,2,6,2,5,4,2,1,1,1,1
1,14,1,3,3,4,7,1,1,1,1,1
2,17,1,6,3,5,4,1,2,1,1,1
3,7,2,3,2,5,3,1,1,1,1,1
4,8,2,5,3,5,4,4,1,1,1,1
5,8,2,1,3,5,7,2,2,1,1,1
6,4,1,5,1,5,4,1,1,1,1,1
7,7,1,6,3,1,3,1,1,1,1,1
8,18,2,1,3,1,3,1,1,2,1,1
9,17,1,3,3,5,5,2,1,1,1,1
10,17,2,1,3,5,3,1,1,1,1,1
11,7,1,4,3,4,5,5,1,1,1,1
12,7,1,4,3,5,4,5,1,1,1,1
13,15,1,1,1,4,8,2,1,1,1,1
14,18,1,2,1,5,4,1,1,1,1,1
15,8,2,1,3,5,3,1,1,1,1,1
16,18,1,1,3,4,5,4,1,1,1,1
17,8,1,5,3,5,3,1,1,1,1,1
18,18,1,6,3,1,3,1,1,1,1,1
19,18,2,4,3,1,4,5,1,1,1,1
20,4,1,1,3,4,3,1,1,1,1,1
21,5,1,5,2,5,5,1,1,1,1,1
22,4,1,6,2,5,4,5,1,1,1,1
23,4,1,3,1,5,3,1,1,1,1,1
24,8,1,1,3,5,3,1,1,1,1,2
25,5,2,3,2,1,5,1,1,1,1,1
26,4,1,3,3,5,8,1,1,1,1,1
27,18,2,1,3,4,5,1,1,1,1,1
28,18,1,4,3,5,7,1,1,1,1,1
29,7,1,3,3,3,3,1,1,1,1,1
30,7,2,3,1,1,5,1,1,1,1,1
31,19,1,6,3,5,7,1,1,1,1,1
32,4,1,6,1,5,3,1,1,1,1,1
33,13,1,6,1,5,5,1,1,1,1,1
34,2,1,6,3,5,1,1,1,1,1,1
35,3,1,2,1,1,4,1,1,1,1,1
36,8,1,4,1,5,5,5,1,1,1,1
37,8,1,2,3,4,8,5,1,1,1,1
38,13,1,6,1,5,5,2,2,1,1,1
39,7,1,3,3,4,5,5,1,1,1,1
40,15,1,6,3,5,1,1,1,1,1,1
41,6,1,2,1,5,4,1,1,1,1,1
42,5,2,3,2,5,5,5,1,1,1,1
43,4,1,3,3,5,8,2,1,1,1,1
44,8,1,1,3,5,4,5,1,1,1,1
45,2,2,6,3,4,3,1,1,1,1,1
46,15,1,6,3,5,5,5,2,1,1,1
47,17,2,6,2,5,4,1,1,1,1,1
48,15,2,2,2,5,5,5,1,1,1,1
49,8,2,2,1,4,5,1,1,1,1,1
50,7,1,1,1,5,7,1,1,1,1,1
51,7,1,1,3,5,3,1,1,1,2,1
52,8,1,2,3,5,3,4,1,1,1,1
53,8,1,1,3,1,5,1,1,1,1,1
54,17,1,4,3,5,8,2,1,1,1,1
55,1,1,1,3,5,3,1,1,1,1,1
56,9,1,5,1,5,5,1,1,1,1,1
57,8,1,5,1,5,7,5,1,1,1,1
58,6,1,4,3,5,3,1,1,1,1,1
59,15,1,1,3,5,3,1,1,1,1,1
60,7,1,6,3,5,3,1,1,1,1,1
61,7,2,4,3,3,4,1,1,1,1,1
62,7,2,1,3,5,1,1,2,1,1,1
63,8,1,2,3,5,7,5,1,1,1,1
64,7,1,6,1,1,8,2,1,1,1,1
65,17,1,4,3,1,8,5,1,1,1,1
66,8,2,1,3,1,3,1,1,1,1,1
67,7,1,1,3,5,3,1,1,2,1,1
68,8,2,6,3,5,4,1,1,1,1,1
69,14,2,2,1,5,8,1,2,1,1,1
70,8,2,1,1,5,8,5,1,1,1,1
71,17,2,4,3,5,8,1,1,1,1,1
72,18,1,1,3,5,4,1,1,1,1,1
73,17,1,1,3,4,1,2,1,1,1,1
74,8,1,1,2,5,6,1,1,1,1,1
75,8,1,5,3,5,3,5,1,1,1,1
76,7,2,2,3,5,5,2,1,1,1,1
77,14,1,3,3,2,4,5,1,1,1,1
78,13,2,1,3,5,3,1,1,1,1,1
79,8,1,1,3,5,3,1,1,1,1,1
80,8,2,1,3,5,4,1,1,1,1,1
81,5,1,6,1,5,5,1,1,1,2,1
82,17,1,2,1,5,4,1,1,1,1,1
83,3,2,2,3,5,5,5,1,1,1,1
84,18,2,3,3,1,5,5,1,1,1,1
85,8,1,1,2,5,5,1,1,1,1,1
86,5,1,4,1,5,3,2,1,1,1,1
87,16,1,3,3,5,3,1,1,1,1,1
88,17,1,3,3,1,7,5,1,1,1,1
89,16,1,2,1,5,4,1,1,1,1,1
90,17,1,5,3,5,4,4,1,1,1,1
91,4,1,3,1,5,7,1,1,1,1,1
92,8,2,1,3,5,5,5,1,1,1,1
93,4,1,2,3,4,7,5,1,1,1,1
94,4,1,2,3,4,3,4,1,1,1,1
95,7,1,6,3,1,3,1,1,1,1,1
96,2,2,1,3,5,3,1,1,1,1,1
97,7,2,2,1,5,8,1,1,1,1,1
98,17,1,6,3,1,3,5,1,1,1,1
99,8,1,3,2,5,4,5,1,1,1,1
100,14,2,5,1,5,5,5,1,1,1,1
101,7,2,3,3,5,8,1,1,1,1,1
102,17,2,1,3,2,4,2,2,1,1,1
103,2,1,2,1,1,8,1,1,1,1,1
104,1,2,6,2,4,4,5,1,1,1,1
105,8,1,1,3,5,8,5,1,1,1,1
106,17,1,6,1,5,3,5,1,1,1,1
107,4,1,1,3,3,8,1,2,1,1,1
108,19,1,2,3,5,1,5,1,1,1,1
109,7,1,5,3,1,5,1,1,1,1,1
110,18,1,2,3,2,3,2,1,1,1,1
111,14,2,3,3,4,6,1,1,1,1,1
112,8,2,4,3,4,6,1,1,1,1,1
113,18,2,2,2,5,3,5,1,1,1,1
114,7,2,6,3,4,4,1,1,1,1,1
