how_long_have_you_worked_for_your_current_employer,which_of_the_following_groups_best_describes_your_employment_level,what_country_do_you_currently_live_in,yes_one_or_more_children,i_let_my_manager_know_what_i_want_with_the_expectation_that_it_will_generate_growth_opportunities,i_avoid_discussions_about_salary_and_incentives,family_commitments,which_of_the_following_groups_best_describes_the_organization_that_you_work_for,approximately_what_is_the_size_of_your_employer's_workforce,leadership_opportunities,i_trust_that_i_am_compensated_appropriately_for_my_accomplishments,i_pursue_job_opportunities_even_if_i_do_not_fulfill_all_of_the_requirements_on_a_job_description
0,2,3,1,0,0,1,0,1,1,2,1
0,2,2,1,0,0,0,0,2,1,2,2
1,0,5,1,0,1,1,0,1,1,2,2
0,1,1,1,1,1,1,0,1,0,0,2
0,1,8,1,0,1,0,5,1,0,0,2
1,1,5,0,0,0,0,3,2,0,2,1
0,1,2,0,2,0,1,1,2,0,2,2
0,0,8,1,2,0,1,5,1,0,0,1
0,1,3,0,0,1,0,5,1,2,2,2
0,1,1,1,0,0,0,4,1,1,1,0
1,1,5,1,1,2,0,8,1,0,0,0
1,1,5,0,0,0,0,5,2,1,1,0
0,2,4,1,0,1,0,5,1,0,2,0
1,1,1,0,0,0,1,0,1,1,2,0
0,1,4,0,0,1,0,0,1,2,2,2
0,1,2,1,2,0,0,0,1,0,0,0
1,1,1,1,0,1,0,4,1,0,0,0
1,1,8,1,1,0,0,0,1,0,0,0
1,1,1,1,0,0,1,5,1,0,1,0
1,1,8,1,0,2,1,4,2,1,0,2
0,2,1,1,0,2,0,0,2,1,0,0
1,1,0,0,2,1,0,5,2,0,0,0
0,1,1,0,0,2,0,5,1,1,2,0
0,1,1,1,0,1,0,0,1,0,0,0
0,1,4,0,0,2,0,0,1,0,0,0
1,0,1,1,0,0,1,0,1,1,1,0
1,0,3,0,0,0,1,5,1,0,2,0
0,0,1,1,2,2,1,4,1,0,0,0
1,1,3,0,2,0,0,5,2,0,0,0
0,1,8,1,2,0,1,0,1,0,0,0
1,0,0,0,2,2,1,5,2,0,0,0
0,1,3,1,0,0,0,0,1,0,1,0
0,1,1,1,2,2,1,5,2,0,0,1
0,1,2,1,0,0,0,5,2,0,2,1
0,1,1,0,0,2,1,1,1,1,0,0
0,1,4,1,2,1,0,5,1,0,0,0
0,1,1,1,1,2,1,1,1,2,0,0
0,1,1,1,0,0,1,0,1,2,1,2
0,0,5,0,2,0,0,0,1,0,0,0
0,1,2,0,0,0,0,0,2,1,2,2
0,1,1,0,0,1,1,9,1,2,0,2
0,1,1,0,1,0,0,1,1,0,2,2
0,0,5,1,0,2,0,5,1,2,2,0
1,0,3,0,0,1,0,4,1,2,0,0
0,1,4,1,1,2,1,5,1,0,0,0
0,0,2,1,1,1,0,9,1,0,0,2
1,1,4,0,0,1,1,5,1,0,2,2
1,1,1,1,0,2,1,4,1,2,0,0
1,1,7,1,2,0,0,5,2,0,2,0
1,1,1,1,0,0,0,0,1,0,1,0
1,1,1,0,0,1,1,5,2,0,0,2
1,1,1,0,0,1,1,1,1,1,0,2
1,1,1,1,0,0,0,0,1,1,1,0
1,1,1,1,0,2,1,0,1,2,0,1
0,1,1,1,2,2,1,0,1,0,0,0
