,experiment,synth_name,_advantage_rank
0,acs/national/acs/arbitrary,aim_jax,1.0
1,acs/national/acs/arbitrary,gem,3.0
2,acs/national/acs/arbitrary,privbayes,2.0
3,acs/national/acs/baseline_domain,aim_jax,1.0
4,acs/national/acs/baseline_domain,gem,3.0
5,acs/national/acs/baseline_domain,privbayes,2.0
6,acs/national/acs/baseline_univariate,aim_jax,1.0
7,acs/national/acs/baseline_univariate,gem,3.0
8,acs/national/acs/baseline_univariate,privbayes,2.0
9,acs/national/acs/csv-claude,aim_jax,1.0
10,acs/national/acs/csv-claude,gem,3.0
11,acs/national/acs/csv-claude,privbayes,2.0
12,acs/national/acs/csv-gpt,aim_jax,1.0
13,acs/national/acs/csv-gpt,gem,3.0
14,acs/national/acs/csv-gpt,privbayes,2.0
15,acs/national/acs/csv-llama,aim_jax,1.0
16,acs/national/acs/csv-llama,gem,3.0
17,acs/national/acs/csv-llama,privbayes,2.0
18,acs/national/acs/gen-MIX-MAX,aim_jax,1.0
19,acs/national/acs/gen-MIX-MAX,gem,3.0
20,acs/national/acs/gen-MIX-MAX,privbayes,2.0
21,acs/national/acs/gen-MIX-UNIF,aim_jax,1.0
22,acs/national/acs/gen-MIX-UNIF,gem,3.0
23,acs/national/acs/gen-MIX-UNIF,privbayes,2.0
24,acs/national/acs/gen-claude-MIX-MAX,aim_jax,1.0
25,acs/national/acs/gen-claude-MIX-MAX,gem,3.0
26,acs/national/acs/gen-claude-MIX-MAX,privbayes,2.0
27,acs/national/acs/gen-claude-MIX-UNIF,aim_jax,1.0
28,acs/national/acs/gen-claude-MIX-UNIF,gem,3.0
29,acs/national/acs/gen-claude-MIX-UNIF,privbayes,2.0
30,acs/national/acs/gen-gpt-MIX-MAX,aim_jax,1.0
31,acs/national/acs/gen-gpt-MIX-MAX,gem,3.0
32,acs/national/acs/gen-gpt-MIX-MAX,privbayes,2.0
33,acs/national/acs/gen-gpt-MIX-UNIF,aim_jax,1.0
34,acs/national/acs/gen-gpt-MIX-UNIF,gem,3.0
35,acs/national/acs/gen-gpt-MIX-UNIF,privbayes,2.0
36,acs/national/acs/gen-llama-MIX-MAX,aim_jax,1.0
37,acs/national/acs/gen-llama-MIX-MAX,gem,3.0
38,acs/national/acs/gen-llama-MIX-MAX,privbayes,2.0
39,acs/national/acs/gen-llama-MIX-UNIF,aim_jax,1.0
40,acs/national/acs/gen-llama-MIX-UNIF,gem,3.0
41,acs/national/acs/gen-llama-MIX-UNIF,privbayes,2.0
42,acs/national/acs/sdscm-gpt2,aim_jax,1.0
43,acs/national/acs/sdscm-gpt2,gem,3.0
44,acs/national/acs/sdscm-gpt2,privbayes,2.0
45,acs/national/acs/sdscm-llama-3-8b,aim_jax,1.0
46,acs/national/acs/sdscm-llama-3-8b,gem,3.0
47,acs/national/acs/sdscm-llama-3-8b,privbayes,2.0
48,acs/national/acs/sdscm-olmo-1b-hf,aim_jax,1.0
49,acs/national/acs/sdscm-olmo-1b-hf,gem,3.0
50,acs/national/acs/sdscm-olmo-1b-hf,privbayes,2.0
