,experiment,synth_name,_advantage_rank
0,we/2023/we/arbitrary,aim_jax,2.0
1,we/2023/we/arbitrary,gem,1.0
2,we/2023/we/arbitrary,privbayes,3.0
3,we/2023/we/baseline_domain,aim_jax,1.0
4,we/2023/we/baseline_domain,gem,1.0
5,we/2023/we/baseline_domain,privbayes,3.0
6,we/2023/we/baseline_univariate,aim_jax,1.0
7,we/2023/we/baseline_univariate,gem,1.0
8,we/2023/we/baseline_univariate,privbayes,3.0
9,we/2023/we/csv-claude,aim_jax,2.0
10,we/2023/we/csv-claude,gem,1.0
11,we/2023/we/csv-claude,privbayes,1.0
12,we/2023/we/csv-gpt,aim_jax,2.0
13,we/2023/we/csv-gpt,gem,1.0
14,we/2023/we/csv-gpt,privbayes,3.0
15,we/2023/we/csv-llama,aim_jax,2.0
16,we/2023/we/csv-llama,gem,1.0
17,we/2023/we/csv-llama,privbayes,1.0
18,we/2023/we/gen-MIX-MAX,aim_jax,2.0
19,we/2023/we/gen-MIX-MAX,gem,1.0
20,we/2023/we/gen-MIX-MAX,privbayes,2.0
21,we/2023/we/gen-MIX-UNIF,aim_jax,2.0
22,we/2023/we/gen-MIX-UNIF,gem,1.0
23,we/2023/we/gen-MIX-UNIF,privbayes,3.0
24,we/2023/we/gen-claude-MIX-MAX,aim_jax,2.0
25,we/2023/we/gen-claude-MIX-MAX,gem,1.0
26,we/2023/we/gen-claude-MIX-MAX,privbayes,3.0
27,we/2023/we/gen-claude-MIX-UNIF,aim_jax,2.0
28,we/2023/we/gen-claude-MIX-UNIF,gem,1.0
29,we/2023/we/gen-claude-MIX-UNIF,privbayes,2.0
30,we/2023/we/gen-gpt-MIX-MAX,aim_jax,2.0
31,we/2023/we/gen-gpt-MIX-MAX,gem,1.0
32,we/2023/we/gen-gpt-MIX-MAX,privbayes,3.0
33,we/2023/we/gen-gpt-MIX-UNIF,aim_jax,2.0
34,we/2023/we/gen-gpt-MIX-UNIF,gem,1.0
35,we/2023/we/gen-gpt-MIX-UNIF,privbayes,3.0
36,we/2023/we/gen-llama-MIX-MAX,aim_jax,2.0
37,we/2023/we/gen-llama-MIX-MAX,gem,1.0
38,we/2023/we/gen-llama-MIX-MAX,privbayes,2.0
39,we/2023/we/gen-llama-MIX-UNIF,aim_jax,2.0
40,we/2023/we/gen-llama-MIX-UNIF,gem,1.0
41,we/2023/we/gen-llama-MIX-UNIF,privbayes,3.0
42,we/2023/we/sdscm-gpt2,aim_jax,2.0
43,we/2023/we/sdscm-gpt2,gem,1.0
44,we/2023/we/sdscm-gpt2,privbayes,3.0
45,we/2023/we/sdscm-llama-3-8b,aim_jax,2.0
46,we/2023/we/sdscm-llama-3-8b,gem,1.0
47,we/2023/we/sdscm-llama-3-8b,privbayes,2.0
48,we/2023/we/sdscm-olmo-1b-hf,aim_jax,1.0
49,we/2023/we/sdscm-olmo-1b-hf,gem,1.0
50,we/2023/we/sdscm-olmo-1b-hf,privbayes,3.0
