,experiment,synth_name,rank
0,acs/national/acs/arbitrary,aim_jax,1.25
1,acs/national/acs/arbitrary,gem,6.0
2,acs/national/acs/arbitrary,privbayes,2.5
3,acs/national/acs/baseline_domain,aim_jax,3.0
4,acs/national/acs/baseline_domain,gem,5.75
5,acs/national/acs/baseline_domain,privbayes,5.0
6,acs/national/acs/baseline_univariate,aim_jax,1.5
7,acs/national/acs/baseline_univariate,gem,6.0
8,acs/national/acs/baseline_univariate,privbayes,4.0
9,acs/national/acs/csv-claude,aim_jax,2.75
10,acs/national/acs/csv-claude,gem,7.5
11,acs/national/acs/csv-claude,privbayes,2.25
12,acs/national/acs/csv-gpt,aim_jax,2.25
13,acs/national/acs/csv-gpt,gem,7.75
14,acs/national/acs/csv-gpt,privbayes,2.0
15,acs/national/acs/csv-llama,aim_jax,1.75
16,acs/national/acs/csv-llama,gem,7.25
17,acs/national/acs/csv-llama,privbayes,2.0
18,acs/national/acs/gen-MIX-MAX,aim_jax,1.75
19,acs/national/acs/gen-MIX-MAX,gem,3.5
20,acs/national/acs/gen-MIX-MAX,privbayes,2.75
21,acs/national/acs/gen-MIX-UNIF,aim_jax,1.75
22,acs/national/acs/gen-MIX-UNIF,gem,3.25
23,acs/national/acs/gen-MIX-UNIF,privbayes,1.75
24,acs/national/acs/gen-claude-MIX-MAX,aim_jax,2.25
25,acs/national/acs/gen-claude-MIX-MAX,gem,3.5
26,acs/national/acs/gen-claude-MIX-MAX,privbayes,1.5
27,acs/national/acs/gen-claude-MIX-UNIF,aim_jax,1.75
28,acs/national/acs/gen-claude-MIX-UNIF,gem,8.25
29,acs/national/acs/gen-claude-MIX-UNIF,privbayes,1.5
30,acs/national/acs/gen-gpt-MIX-MAX,aim_jax,1.25
31,acs/national/acs/gen-gpt-MIX-MAX,gem,6.75
32,acs/national/acs/gen-gpt-MIX-MAX,privbayes,2.75
33,acs/national/acs/gen-gpt-MIX-UNIF,aim_jax,1.75
34,acs/national/acs/gen-gpt-MIX-UNIF,gem,7.25
35,acs/national/acs/gen-gpt-MIX-UNIF,privbayes,2.0
36,acs/national/acs/gen-llama-MIX-MAX,aim_jax,1.75
37,acs/national/acs/gen-llama-MIX-MAX,gem,8.75
38,acs/national/acs/gen-llama-MIX-MAX,privbayes,2.75
39,acs/national/acs/gen-llama-MIX-UNIF,aim_jax,1.25
40,acs/national/acs/gen-llama-MIX-UNIF,gem,5.25
41,acs/national/acs/gen-llama-MIX-UNIF,privbayes,3.0
42,acs/national/acs/sdscm-gpt2,aim_jax,2.25
43,acs/national/acs/sdscm-gpt2,gem,5.5
44,acs/national/acs/sdscm-gpt2,privbayes,2.75
45,acs/national/acs/sdscm-llama-3-8b,aim_jax,1.25
46,acs/national/acs/sdscm-llama-3-8b,gem,5.75
47,acs/national/acs/sdscm-llama-3-8b,privbayes,1.75
48,acs/national/acs/sdscm-olmo-1b-hf,aim_jax,2.25
49,acs/national/acs/sdscm-olmo-1b-hf,gem,7.75
50,acs/national/acs/sdscm-olmo-1b-hf,privbayes,2.5
