,experiment,synth_name,rank
0,acs/national/acs/arbitrary,aim_jax,1.5
1,acs/national/acs/arbitrary,gem,4.5
2,acs/national/acs/arbitrary,privbayes,2.75
3,acs/national/acs/baseline_domain,aim_jax,2.75
4,acs/national/acs/baseline_domain,gem,4.5
5,acs/national/acs/baseline_domain,privbayes,4.75
6,acs/national/acs/baseline_univariate,aim_jax,2.5
7,acs/national/acs/baseline_univariate,gem,7.0
8,acs/national/acs/baseline_univariate,privbayes,4.75
9,acs/national/acs/csv-claude,aim_jax,2.0
10,acs/national/acs/csv-claude,gem,6.25
11,acs/national/acs/csv-claude,privbayes,2.5
12,acs/national/acs/csv-gpt,aim_jax,2.75
13,acs/national/acs/csv-gpt,gem,7.0
14,acs/national/acs/csv-gpt,privbayes,2.0
15,acs/national/acs/csv-llama,aim_jax,1.75
16,acs/national/acs/csv-llama,gem,8.0
17,acs/national/acs/csv-llama,privbayes,1.5
18,acs/national/acs/gen-MIX-MAX,aim_jax,1.5
19,acs/national/acs/gen-MIX-MAX,gem,5.0
20,acs/national/acs/gen-MIX-MAX,privbayes,3.0
21,acs/national/acs/gen-MIX-UNIF,aim_jax,2.0
22,acs/national/acs/gen-MIX-UNIF,gem,7.5
23,acs/national/acs/gen-MIX-UNIF,privbayes,3.25
24,acs/national/acs/gen-claude-MIX-MAX,aim_jax,2.5
25,acs/national/acs/gen-claude-MIX-MAX,gem,4.75
26,acs/national/acs/gen-claude-MIX-MAX,privbayes,2.25
27,acs/national/acs/gen-claude-MIX-UNIF,aim_jax,1.75
28,acs/national/acs/gen-claude-MIX-UNIF,gem,7.25
29,acs/national/acs/gen-claude-MIX-UNIF,privbayes,2.75
30,acs/national/acs/gen-gpt-MIX-MAX,aim_jax,1.75
31,acs/national/acs/gen-gpt-MIX-MAX,gem,9.25
32,acs/national/acs/gen-gpt-MIX-MAX,privbayes,2.25
33,acs/national/acs/gen-gpt-MIX-UNIF,aim_jax,1.25
34,acs/national/acs/gen-gpt-MIX-UNIF,gem,7.0
35,acs/national/acs/gen-gpt-MIX-UNIF,privbayes,1.75
36,acs/national/acs/gen-llama-MIX-MAX,aim_jax,1.5
37,acs/national/acs/gen-llama-MIX-MAX,gem,10.5
38,acs/national/acs/gen-llama-MIX-MAX,privbayes,2.75
39,acs/national/acs/gen-llama-MIX-UNIF,aim_jax,1.5
40,acs/national/acs/gen-llama-MIX-UNIF,gem,4.5
41,acs/national/acs/gen-llama-MIX-UNIF,privbayes,2.0
42,acs/national/acs/sdscm-gpt2,aim_jax,2.25
43,acs/national/acs/sdscm-gpt2,gem,2.0
44,acs/national/acs/sdscm-gpt2,privbayes,2.0
45,acs/national/acs/sdscm-llama-3-8b,aim_jax,1.75
46,acs/national/acs/sdscm-llama-3-8b,gem,6.0
47,acs/national/acs/sdscm-llama-3-8b,privbayes,3.0
48,acs/national/acs/sdscm-olmo-1b-hf,aim_jax,2.75
49,acs/national/acs/sdscm-olmo-1b-hf,gem,5.5
50,acs/national/acs/sdscm-olmo-1b-hf,privbayes,2.5
