,experiment,synth_name,rank
0,we/2023/we/arbitrary,aim_jax,2.25
1,we/2023/we/arbitrary,gem,4.75
2,we/2023/we/arbitrary,privbayes,3.75
3,we/2023/we/baseline_domain,aim_jax,2.25
4,we/2023/we/baseline_domain,gem,7.5
5,we/2023/we/baseline_domain,privbayes,6.0
6,we/2023/we/baseline_univariate,aim_jax,3.5
7,we/2023/we/baseline_univariate,gem,6.25
8,we/2023/we/baseline_univariate,privbayes,5.75
9,we/2023/we/csv-claude,aim_jax,2.0
10,we/2023/we/csv-claude,gem,4.75
11,we/2023/we/csv-claude,privbayes,3.25
12,we/2023/we/csv-gpt,aim_jax,3.0
13,we/2023/we/csv-gpt,gem,3.25
14,we/2023/we/csv-gpt,privbayes,1.5
15,we/2023/we/csv-llama,aim_jax,2.75
16,we/2023/we/csv-llama,gem,7.0
17,we/2023/we/csv-llama,privbayes,3.5
18,we/2023/we/gen-MIX-MAX,aim_jax,2.75
19,we/2023/we/gen-MIX-MAX,gem,3.0
20,we/2023/we/gen-MIX-MAX,privbayes,4.25
21,we/2023/we/gen-MIX-UNIF,aim_jax,3.0
22,we/2023/we/gen-MIX-UNIF,gem,2.0
23,we/2023/we/gen-MIX-UNIF,privbayes,3.0
24,we/2023/we/gen-claude-MIX-MAX,aim_jax,1.5
25,we/2023/we/gen-claude-MIX-MAX,gem,4.25
26,we/2023/we/gen-claude-MIX-MAX,privbayes,2.0
27,we/2023/we/gen-claude-MIX-UNIF,aim_jax,1.75
28,we/2023/we/gen-claude-MIX-UNIF,gem,3.5
29,we/2023/we/gen-claude-MIX-UNIF,privbayes,4.0
30,we/2023/we/gen-gpt-MIX-MAX,aim_jax,2.75
31,we/2023/we/gen-gpt-MIX-MAX,gem,2.25
32,we/2023/we/gen-gpt-MIX-MAX,privbayes,3.5
33,we/2023/we/gen-gpt-MIX-UNIF,aim_jax,3.75
34,we/2023/we/gen-gpt-MIX-UNIF,gem,7.75
35,we/2023/we/gen-gpt-MIX-UNIF,privbayes,4.5
36,we/2023/we/gen-llama-MIX-MAX,aim_jax,3.75
37,we/2023/we/gen-llama-MIX-MAX,gem,3.75
38,we/2023/we/gen-llama-MIX-MAX,privbayes,1.5
39,we/2023/we/gen-llama-MIX-UNIF,aim_jax,3.0
40,we/2023/we/gen-llama-MIX-UNIF,gem,3.0
41,we/2023/we/gen-llama-MIX-UNIF,privbayes,2.75
42,we/2023/we/sdscm-gpt2,aim_jax,3.0
43,we/2023/we/sdscm-gpt2,gem,7.75
44,we/2023/we/sdscm-gpt2,privbayes,4.25
45,we/2023/we/sdscm-llama-3-8b,aim_jax,3.75
46,we/2023/we/sdscm-llama-3-8b,gem,7.5
47,we/2023/we/sdscm-llama-3-8b,privbayes,4.0
48,we/2023/we/sdscm-olmo-1b-hf,aim_jax,2.75
49,we/2023/we/sdscm-olmo-1b-hf,gem,7.0
50,we/2023/we/sdscm-olmo-1b-hf,privbayes,4.75
