,experiment,synth_name,rank
0,acs/national/acs/arbitrary,aim_jax,2.75
1,acs/national/acs/arbitrary,gem,1.75
2,acs/national/acs/arbitrary,privbayes,2.0
3,acs/national/acs/baseline_domain,aim_jax,2.0
4,acs/national/acs/baseline_domain,gem,5.75
5,acs/national/acs/baseline_domain,privbayes,6.0
6,acs/national/acs/baseline_univariate,aim_jax,1.5
7,acs/national/acs/baseline_univariate,gem,5.75
8,acs/national/acs/baseline_univariate,privbayes,5.5
9,acs/national/acs/csv-claude,aim_jax,2.25
10,acs/national/acs/csv-claude,gem,1.75
11,acs/national/acs/csv-claude,privbayes,1.5
12,acs/national/acs/csv-gpt,aim_jax,2.25
13,acs/national/acs/csv-gpt,gem,2.0
14,acs/national/acs/csv-gpt,privbayes,1.75
15,acs/national/acs/csv-llama,aim_jax,1.5
16,acs/national/acs/csv-llama,gem,4.0
17,acs/national/acs/csv-llama,privbayes,1.5
18,acs/national/acs/gen-MIX-MAX,aim_jax,2.0
19,acs/national/acs/gen-MIX-MAX,gem,2.75
20,acs/national/acs/gen-MIX-MAX,privbayes,3.0
21,acs/national/acs/gen-MIX-UNIF,aim_jax,2.25
22,acs/national/acs/gen-MIX-UNIF,gem,3.75
23,acs/national/acs/gen-MIX-UNIF,privbayes,1.5
24,acs/national/acs/gen-claude-MIX-MAX,aim_jax,2.0
25,acs/national/acs/gen-claude-MIX-MAX,gem,1.75
26,acs/national/acs/gen-claude-MIX-MAX,privbayes,3.5
27,acs/national/acs/gen-claude-MIX-UNIF,aim_jax,1.5
28,acs/national/acs/gen-claude-MIX-UNIF,gem,1.75
29,acs/national/acs/gen-claude-MIX-UNIF,privbayes,2.0
30,acs/national/acs/gen-gpt-MIX-MAX,aim_jax,1.5
31,acs/national/acs/gen-gpt-MIX-MAX,gem,1.75
32,acs/national/acs/gen-gpt-MIX-MAX,privbayes,2.25
33,acs/national/acs/gen-gpt-MIX-UNIF,aim_jax,1.75
34,acs/national/acs/gen-gpt-MIX-UNIF,gem,1.25
35,acs/national/acs/gen-gpt-MIX-UNIF,privbayes,2.75
36,acs/national/acs/gen-llama-MIX-MAX,aim_jax,1.75
37,acs/national/acs/gen-llama-MIX-MAX,gem,1.25
38,acs/national/acs/gen-llama-MIX-MAX,privbayes,2.0
39,acs/national/acs/gen-llama-MIX-UNIF,aim_jax,2.5
40,acs/national/acs/gen-llama-MIX-UNIF,gem,3.0
41,acs/national/acs/gen-llama-MIX-UNIF,privbayes,1.25
42,acs/national/acs/sdscm-gpt2,aim_jax,2.5
43,acs/national/acs/sdscm-gpt2,gem,3.0
44,acs/national/acs/sdscm-gpt2,privbayes,2.75
45,acs/national/acs/sdscm-llama-3-8b,aim_jax,2.25
46,acs/national/acs/sdscm-llama-3-8b,gem,2.5
47,acs/national/acs/sdscm-llama-3-8b,privbayes,1.75
48,acs/national/acs/sdscm-olmo-1b-hf,aim_jax,2.25
49,acs/national/acs/sdscm-olmo-1b-hf,gem,1.75
50,acs/national/acs/sdscm-olmo-1b-hf,privbayes,1.5
