,experiment,synth_name,rank
0,edad/2023/edad/arbitrary,aim_jax,2.25
1,edad/2023/edad/arbitrary,gem,3.25
2,edad/2023/edad/arbitrary,privbayes,2.0
3,edad/2023/edad/baseline_domain,aim_jax,2.25
4,edad/2023/edad/baseline_domain,gem,3.75
5,edad/2023/edad/baseline_domain,privbayes,7.25
6,edad/2023/edad/baseline_univariate,aim_jax,2.75
7,edad/2023/edad/baseline_univariate,gem,2.5
8,edad/2023/edad/baseline_univariate,privbayes,7.75
9,edad/2023/edad/csv-claude,aim_jax,1.5
10,edad/2023/edad/csv-claude,gem,4.5
11,edad/2023/edad/csv-claude,privbayes,2.25
12,edad/2023/edad/csv-gpt,aim_jax,2.0
13,edad/2023/edad/csv-gpt,gem,2.25
14,edad/2023/edad/csv-gpt,privbayes,2.5
15,edad/2023/edad/csv-llama,aim_jax,2.0
16,edad/2023/edad/csv-llama,gem,2.25
17,edad/2023/edad/csv-llama,privbayes,2.5
18,edad/2023/edad/gen-MIX-MAX,aim_jax,2.5
19,edad/2023/edad/gen-MIX-MAX,gem,2.5
20,edad/2023/edad/gen-MIX-MAX,privbayes,2.0
21,edad/2023/edad/gen-MIX-UNIF,aim_jax,1.5
22,edad/2023/edad/gen-MIX-UNIF,gem,3.0
23,edad/2023/edad/gen-MIX-UNIF,privbayes,2.75
24,edad/2023/edad/gen-claude-MIX-MAX,aim_jax,2.25
25,edad/2023/edad/gen-claude-MIX-MAX,gem,2.75
26,edad/2023/edad/gen-claude-MIX-MAX,privbayes,2.0
27,edad/2023/edad/gen-claude-MIX-UNIF,aim_jax,2.0
28,edad/2023/edad/gen-claude-MIX-UNIF,gem,3.25
29,edad/2023/edad/gen-claude-MIX-UNIF,privbayes,2.75
30,edad/2023/edad/gen-gpt-MIX-MAX,aim_jax,2.0
31,edad/2023/edad/gen-gpt-MIX-MAX,gem,5.0
32,edad/2023/edad/gen-gpt-MIX-MAX,privbayes,2.5
33,edad/2023/edad/gen-gpt-MIX-UNIF,aim_jax,1.5
34,edad/2023/edad/gen-gpt-MIX-UNIF,gem,4.0
35,edad/2023/edad/gen-gpt-MIX-UNIF,privbayes,3.75
36,edad/2023/edad/gen-llama-MIX-MAX,aim_jax,2.25
37,edad/2023/edad/gen-llama-MIX-MAX,gem,3.0
38,edad/2023/edad/gen-llama-MIX-MAX,privbayes,7.0
39,edad/2023/edad/gen-llama-MIX-UNIF,aim_jax,3.0
40,edad/2023/edad/gen-llama-MIX-UNIF,gem,5.25
41,edad/2023/edad/gen-llama-MIX-UNIF,privbayes,7.25
42,edad/2023/edad/sdscm-gpt2,aim_jax,3.0
43,edad/2023/edad/sdscm-gpt2,gem,4.0
44,edad/2023/edad/sdscm-gpt2,privbayes,7.0
45,edad/2023/edad/sdscm-llama-3-8b,aim_jax,1.75
46,edad/2023/edad/sdscm-llama-3-8b,gem,2.75
47,edad/2023/edad/sdscm-llama-3-8b,privbayes,4.25
48,edad/2023/edad/sdscm-olmo-1b-hf,aim_jax,2.5
49,edad/2023/edad/sdscm-olmo-1b-hf,gem,2.5
50,edad/2023/edad/sdscm-olmo-1b-hf,privbayes,5.25
