,experiment,synth_name,rank
0,we/2023/we/arbitrary,aim_jax,2.5
1,we/2023/we/arbitrary,gem,5.5
2,we/2023/we/arbitrary,privbayes,4.25
3,we/2023/we/baseline_domain,aim_jax,3.75
4,we/2023/we/baseline_domain,gem,5.25
5,we/2023/we/baseline_domain,privbayes,5.25
6,we/2023/we/baseline_univariate,aim_jax,1.5
7,we/2023/we/baseline_univariate,gem,2.5
8,we/2023/we/baseline_univariate,privbayes,3.75
9,we/2023/we/csv-claude,aim_jax,2.75
10,we/2023/we/csv-claude,gem,7.0
11,we/2023/we/csv-claude,privbayes,4.5
12,we/2023/we/csv-gpt,aim_jax,2.0
13,we/2023/we/csv-gpt,gem,3.75
14,we/2023/we/csv-gpt,privbayes,2.75
15,we/2023/we/csv-llama,aim_jax,2.5
16,we/2023/we/csv-llama,gem,5.5
17,we/2023/we/csv-llama,privbayes,4.0
18,we/2023/we/gen-MIX-MAX,aim_jax,2.75
19,we/2023/we/gen-MIX-MAX,gem,3.75
20,we/2023/we/gen-MIX-MAX,privbayes,3.75
21,we/2023/we/gen-MIX-UNIF,aim_jax,3.0
22,we/2023/we/gen-MIX-UNIF,gem,2.25
23,we/2023/we/gen-MIX-UNIF,privbayes,3.25
24,we/2023/we/gen-claude-MIX-MAX,aim_jax,2.0
25,we/2023/we/gen-claude-MIX-MAX,gem,4.25
26,we/2023/we/gen-claude-MIX-MAX,privbayes,4.5
27,we/2023/we/gen-claude-MIX-UNIF,aim_jax,2.0
28,we/2023/we/gen-claude-MIX-UNIF,gem,2.75
29,we/2023/we/gen-claude-MIX-UNIF,privbayes,3.5
30,we/2023/we/gen-gpt-MIX-MAX,aim_jax,1.75
31,we/2023/we/gen-gpt-MIX-MAX,gem,3.25
32,we/2023/we/gen-gpt-MIX-MAX,privbayes,3.0
33,we/2023/we/gen-gpt-MIX-UNIF,aim_jax,1.75
34,we/2023/we/gen-gpt-MIX-UNIF,gem,6.5
35,we/2023/we/gen-gpt-MIX-UNIF,privbayes,5.25
36,we/2023/we/gen-llama-MIX-MAX,aim_jax,2.0
37,we/2023/we/gen-llama-MIX-MAX,gem,4.5
38,we/2023/we/gen-llama-MIX-MAX,privbayes,3.75
39,we/2023/we/gen-llama-MIX-UNIF,aim_jax,3.25
40,we/2023/we/gen-llama-MIX-UNIF,gem,3.25
41,we/2023/we/gen-llama-MIX-UNIF,privbayes,5.75
42,we/2023/we/sdscm-gpt2,aim_jax,3.0
43,we/2023/we/sdscm-gpt2,gem,5.5
44,we/2023/we/sdscm-gpt2,privbayes,3.25
45,we/2023/we/sdscm-llama-3-8b,aim_jax,2.0
46,we/2023/we/sdscm-llama-3-8b,gem,2.75
47,we/2023/we/sdscm-llama-3-8b,privbayes,4.25
48,we/2023/we/sdscm-olmo-1b-hf,aim_jax,3.0
49,we/2023/we/sdscm-olmo-1b-hf,gem,3.75
50,we/2023/we/sdscm-olmo-1b-hf,privbayes,5.25
