,experiment,synth_name,rank
0,we/2023/we/arbitrary,aim_jax,2.0
1,we/2023/we/arbitrary,gem,2.5
2,we/2023/we/arbitrary,privbayes,4.25
3,we/2023/we/baseline_domain,aim_jax,1.75
4,we/2023/we/baseline_domain,gem,5.75
5,we/2023/we/baseline_domain,privbayes,5.0
6,we/2023/we/baseline_univariate,aim_jax,2.0
7,we/2023/we/baseline_univariate,gem,2.0
8,we/2023/we/baseline_univariate,privbayes,3.5
9,we/2023/we/csv-claude,aim_jax,2.5
10,we/2023/we/csv-claude,gem,5.75
11,we/2023/we/csv-claude,privbayes,3.5
12,we/2023/we/csv-gpt,aim_jax,2.5
13,we/2023/we/csv-gpt,gem,5.0
14,we/2023/we/csv-gpt,privbayes,2.25
15,we/2023/we/csv-llama,aim_jax,3.0
16,we/2023/we/csv-llama,gem,3.75
17,we/2023/we/csv-llama,privbayes,3.5
18,we/2023/we/gen-MIX-MAX,aim_jax,2.75
19,we/2023/we/gen-MIX-MAX,gem,3.0
20,we/2023/we/gen-MIX-MAX,privbayes,4.25
21,we/2023/we/gen-MIX-UNIF,aim_jax,3.25
22,we/2023/we/gen-MIX-UNIF,gem,2.75
23,we/2023/we/gen-MIX-UNIF,privbayes,2.25
24,we/2023/we/gen-claude-MIX-MAX,aim_jax,1.0
25,we/2023/we/gen-claude-MIX-MAX,gem,3.25
26,we/2023/we/gen-claude-MIX-MAX,privbayes,3.75
27,we/2023/we/gen-claude-MIX-UNIF,aim_jax,2.5
28,we/2023/we/gen-claude-MIX-UNIF,gem,5.75
29,we/2023/we/gen-claude-MIX-UNIF,privbayes,4.0
30,we/2023/we/gen-gpt-MIX-MAX,aim_jax,2.5
31,we/2023/we/gen-gpt-MIX-MAX,gem,3.0
32,we/2023/we/gen-gpt-MIX-MAX,privbayes,3.25
33,we/2023/we/gen-gpt-MIX-UNIF,aim_jax,2.0
34,we/2023/we/gen-gpt-MIX-UNIF,gem,4.75
35,we/2023/we/gen-gpt-MIX-UNIF,privbayes,4.5
36,we/2023/we/gen-llama-MIX-MAX,aim_jax,1.75
37,we/2023/we/gen-llama-MIX-MAX,gem,4.0
38,we/2023/we/gen-llama-MIX-MAX,privbayes,4.25
39,we/2023/we/gen-llama-MIX-UNIF,aim_jax,2.5
40,we/2023/we/gen-llama-MIX-UNIF,gem,2.25
41,we/2023/we/gen-llama-MIX-UNIF,privbayes,3.0
42,we/2023/we/sdscm-gpt2,aim_jax,3.5
43,we/2023/we/sdscm-gpt2,gem,5.0
44,we/2023/we/sdscm-gpt2,privbayes,2.5
45,we/2023/we/sdscm-llama-3-8b,aim_jax,2.25
46,we/2023/we/sdscm-llama-3-8b,gem,5.75
47,we/2023/we/sdscm-llama-3-8b,privbayes,2.75
48,we/2023/we/sdscm-olmo-1b-hf,aim_jax,3.25
49,we/2023/we/sdscm-olmo-1b-hf,gem,3.75
50,we/2023/we/sdscm-olmo-1b-hf,privbayes,4.25
