,experiment,synth_name,rank
0,acs/national/acs/arbitrary,aim_jax,1.25
1,acs/national/acs/arbitrary,gem,7.25
2,acs/national/acs/arbitrary,privbayes,1.75
3,acs/national/acs/baseline_domain,aim_jax,1.25
4,acs/national/acs/baseline_domain,gem,5.0
5,acs/national/acs/baseline_domain,privbayes,2.75
6,acs/national/acs/baseline_univariate,aim_jax,1.5
7,acs/national/acs/baseline_univariate,gem,8.5
8,acs/national/acs/baseline_univariate,privbayes,4.0
9,acs/national/acs/csv-claude,aim_jax,1.75
10,acs/national/acs/csv-claude,gem,7.75
11,acs/national/acs/csv-claude,privbayes,1.25
12,acs/national/acs/csv-gpt,aim_jax,2.0
13,acs/national/acs/csv-gpt,gem,1.25
14,acs/national/acs/csv-gpt,privbayes,1.75
15,acs/national/acs/csv-llama,aim_jax,1.5
16,acs/national/acs/csv-llama,gem,2.0
17,acs/national/acs/csv-llama,privbayes,1.25
18,acs/national/acs/gen-MIX-MAX,aim_jax,1.5
19,acs/national/acs/gen-MIX-MAX,gem,5.25
20,acs/national/acs/gen-MIX-MAX,privbayes,1.75
21,acs/national/acs/gen-MIX-UNIF,aim_jax,2.0
22,acs/national/acs/gen-MIX-UNIF,gem,4.25
23,acs/national/acs/gen-MIX-UNIF,privbayes,2.0
24,acs/national/acs/gen-claude-MIX-MAX,aim_jax,1.5
25,acs/national/acs/gen-claude-MIX-MAX,gem,8.5
26,acs/national/acs/gen-claude-MIX-MAX,privbayes,1.75
27,acs/national/acs/gen-claude-MIX-UNIF,aim_jax,1.75
28,acs/national/acs/gen-claude-MIX-UNIF,gem,3.75
29,acs/national/acs/gen-claude-MIX-UNIF,privbayes,1.75
30,acs/national/acs/gen-gpt-MIX-MAX,aim_jax,1.75
31,acs/national/acs/gen-gpt-MIX-MAX,gem,5.0
32,acs/national/acs/gen-gpt-MIX-MAX,privbayes,1.75
33,acs/national/acs/gen-gpt-MIX-UNIF,aim_jax,2.0
34,acs/national/acs/gen-gpt-MIX-UNIF,gem,4.75
35,acs/national/acs/gen-gpt-MIX-UNIF,privbayes,1.75
36,acs/national/acs/gen-llama-MIX-MAX,aim_jax,2.0
37,acs/national/acs/gen-llama-MIX-MAX,gem,4.5
38,acs/national/acs/gen-llama-MIX-MAX,privbayes,2.0
39,acs/national/acs/gen-llama-MIX-UNIF,aim_jax,2.0
40,acs/national/acs/gen-llama-MIX-UNIF,gem,5.75
41,acs/national/acs/gen-llama-MIX-UNIF,privbayes,1.75
42,acs/national/acs/sdscm-gpt2,aim_jax,1.75
43,acs/national/acs/sdscm-gpt2,gem,4.5
44,acs/national/acs/sdscm-gpt2,privbayes,1.25
45,acs/national/acs/sdscm-llama-3-8b,aim_jax,1.75
46,acs/national/acs/sdscm-llama-3-8b,gem,7.0
47,acs/national/acs/sdscm-llama-3-8b,privbayes,1.5
48,acs/national/acs/sdscm-olmo-1b-hf,aim_jax,1.75
49,acs/national/acs/sdscm-olmo-1b-hf,gem,4.5
50,acs/national/acs/sdscm-olmo-1b-hf,privbayes,1.25
