,experiment,synth_name,rank
0,edad/2023/edad/arbitrary,aim_jax,1.75
1,edad/2023/edad/arbitrary,gem,7.5
2,edad/2023/edad/arbitrary,privbayes,1.5
3,edad/2023/edad/baseline_domain,aim_jax,1.25
4,edad/2023/edad/baseline_domain,gem,3.25
5,edad/2023/edad/baseline_domain,privbayes,3.25
6,edad/2023/edad/baseline_univariate,aim_jax,1.0
7,edad/2023/edad/baseline_univariate,gem,5.0
8,edad/2023/edad/baseline_univariate,privbayes,4.25
9,edad/2023/edad/csv-claude,aim_jax,1.25
10,edad/2023/edad/csv-claude,gem,1.75
11,edad/2023/edad/csv-claude,privbayes,2.25
12,edad/2023/edad/csv-gpt,aim_jax,2.0
13,edad/2023/edad/csv-gpt,gem,2.5
14,edad/2023/edad/csv-gpt,privbayes,2.5
15,edad/2023/edad/csv-llama,aim_jax,1.75
16,edad/2023/edad/csv-llama,gem,5.5
17,edad/2023/edad/csv-llama,privbayes,2.25
18,edad/2023/edad/gen-MIX-MAX,aim_jax,1.75
19,edad/2023/edad/gen-MIX-MAX,gem,9.0
20,edad/2023/edad/gen-MIX-MAX,privbayes,1.75
21,edad/2023/edad/gen-MIX-UNIF,aim_jax,2.0
22,edad/2023/edad/gen-MIX-UNIF,gem,8.25
23,edad/2023/edad/gen-MIX-UNIF,privbayes,2.0
24,edad/2023/edad/gen-claude-MIX-MAX,aim_jax,2.0
25,edad/2023/edad/gen-claude-MIX-MAX,gem,3.25
26,edad/2023/edad/gen-claude-MIX-MAX,privbayes,2.25
27,edad/2023/edad/gen-claude-MIX-UNIF,aim_jax,1.5
28,edad/2023/edad/gen-claude-MIX-UNIF,gem,3.75
29,edad/2023/edad/gen-claude-MIX-UNIF,privbayes,2.0
30,edad/2023/edad/gen-gpt-MIX-MAX,aim_jax,2.0
31,edad/2023/edad/gen-gpt-MIX-MAX,gem,7.5
32,edad/2023/edad/gen-gpt-MIX-MAX,privbayes,1.5
33,edad/2023/edad/gen-gpt-MIX-UNIF,aim_jax,1.75
34,edad/2023/edad/gen-gpt-MIX-UNIF,gem,5.75
35,edad/2023/edad/gen-gpt-MIX-UNIF,privbayes,1.75
36,edad/2023/edad/gen-llama-MIX-MAX,aim_jax,2.25
37,edad/2023/edad/gen-llama-MIX-MAX,gem,7.5
38,edad/2023/edad/gen-llama-MIX-MAX,privbayes,3.0
39,edad/2023/edad/gen-llama-MIX-UNIF,aim_jax,2.0
40,edad/2023/edad/gen-llama-MIX-UNIF,gem,7.75
41,edad/2023/edad/gen-llama-MIX-UNIF,privbayes,3.75
42,edad/2023/edad/sdscm-gpt2,aim_jax,2.5
43,edad/2023/edad/sdscm-gpt2,gem,6.75
44,edad/2023/edad/sdscm-gpt2,privbayes,2.75
45,edad/2023/edad/sdscm-llama-3-8b,aim_jax,2.0
46,edad/2023/edad/sdscm-llama-3-8b,gem,3.0
47,edad/2023/edad/sdscm-llama-3-8b,privbayes,2.0
48,edad/2023/edad/sdscm-olmo-1b-hf,aim_jax,2.25
49,edad/2023/edad/sdscm-olmo-1b-hf,gem,6.5
50,edad/2023/edad/sdscm-olmo-1b-hf,privbayes,2.0
