,experiment,synth_name,rank
0,we/2023/we/arbitrary,aim_jax,1.5
1,we/2023/we/arbitrary,gem,1.75
2,we/2023/we/arbitrary,privbayes,1.25
3,we/2023/we/baseline_domain,aim_jax,1.5
4,we/2023/we/baseline_domain,gem,5.25
5,we/2023/we/baseline_domain,privbayes,2.0
6,we/2023/we/baseline_univariate,aim_jax,1.5
7,we/2023/we/baseline_univariate,gem,8.25
8,we/2023/we/baseline_univariate,privbayes,3.5
9,we/2023/we/csv-claude,aim_jax,1.25
10,we/2023/we/csv-claude,gem,7.5
11,we/2023/we/csv-claude,privbayes,3.25
12,we/2023/we/csv-gpt,aim_jax,1.0
13,we/2023/we/csv-gpt,gem,3.0
14,we/2023/we/csv-gpt,privbayes,3.5
15,we/2023/we/csv-llama,aim_jax,1.0
16,we/2023/we/csv-llama,gem,6.25
17,we/2023/we/csv-llama,privbayes,2.5
18,we/2023/we/gen-MIX-MAX,aim_jax,1.25
19,we/2023/we/gen-MIX-MAX,gem,2.75
20,we/2023/we/gen-MIX-MAX,privbayes,2.25
21,we/2023/we/gen-MIX-UNIF,aim_jax,1.0
22,we/2023/we/gen-MIX-UNIF,gem,2.75
23,we/2023/we/gen-MIX-UNIF,privbayes,3.0
24,we/2023/we/gen-claude-MIX-MAX,aim_jax,1.25
25,we/2023/we/gen-claude-MIX-MAX,gem,1.75
26,we/2023/we/gen-claude-MIX-MAX,privbayes,1.75
27,we/2023/we/gen-claude-MIX-UNIF,aim_jax,1.25
28,we/2023/we/gen-claude-MIX-UNIF,gem,1.5
29,we/2023/we/gen-claude-MIX-UNIF,privbayes,1.75
30,we/2023/we/gen-gpt-MIX-MAX,aim_jax,1.0
31,we/2023/we/gen-gpt-MIX-MAX,gem,1.75
32,we/2023/we/gen-gpt-MIX-MAX,privbayes,1.75
33,we/2023/we/gen-gpt-MIX-UNIF,aim_jax,1.25
34,we/2023/we/gen-gpt-MIX-UNIF,gem,1.25
35,we/2023/we/gen-gpt-MIX-UNIF,privbayes,4.0
36,we/2023/we/gen-llama-MIX-MAX,aim_jax,1.25
37,we/2023/we/gen-llama-MIX-MAX,gem,4.25
38,we/2023/we/gen-llama-MIX-MAX,privbayes,2.0
39,we/2023/we/gen-llama-MIX-UNIF,aim_jax,1.25
40,we/2023/we/gen-llama-MIX-UNIF,gem,1.75
41,we/2023/we/gen-llama-MIX-UNIF,privbayes,1.5
42,we/2023/we/sdscm-gpt2,aim_jax,1.5
43,we/2023/we/sdscm-gpt2,gem,3.5
44,we/2023/we/sdscm-gpt2,privbayes,1.5
45,we/2023/we/sdscm-llama-3-8b,aim_jax,1.0
46,we/2023/we/sdscm-llama-3-8b,gem,2.25
47,we/2023/we/sdscm-llama-3-8b,privbayes,1.5
48,we/2023/we/sdscm-olmo-1b-hf,aim_jax,1.25
49,we/2023/we/sdscm-olmo-1b-hf,gem,3.25
50,we/2023/we/sdscm-olmo-1b-hf,privbayes,1.25
