,experiment,synth_name,rank
0,acs/national/acs/arbitrary,aim_jax,1.5
1,acs/national/acs/arbitrary,gem,3.5
2,acs/national/acs/arbitrary,privbayes,3.5
3,acs/national/acs/baseline_domain,aim_jax,1.25
4,acs/national/acs/baseline_domain,gem,5.25
5,acs/national/acs/baseline_domain,privbayes,6.0
6,acs/national/acs/baseline_univariate,aim_jax,1.25
7,acs/national/acs/baseline_univariate,gem,2.0
8,acs/national/acs/baseline_univariate,privbayes,6.5
9,acs/national/acs/csv-claude,aim_jax,2.75
10,acs/national/acs/csv-claude,gem,4.25
11,acs/national/acs/csv-claude,privbayes,5.0
12,acs/national/acs/csv-gpt,aim_jax,2.5
13,acs/national/acs/csv-gpt,gem,3.75
14,acs/national/acs/csv-gpt,privbayes,3.75
15,acs/national/acs/csv-llama,aim_jax,2.5
16,acs/national/acs/csv-llama,gem,3.75
17,acs/national/acs/csv-llama,privbayes,2.5
18,acs/national/acs/gen-MIX-MAX,aim_jax,1.5
19,acs/national/acs/gen-MIX-MAX,gem,3.5
20,acs/national/acs/gen-MIX-MAX,privbayes,2.25
21,acs/national/acs/gen-MIX-UNIF,aim_jax,1.5
22,acs/national/acs/gen-MIX-UNIF,gem,5.25
23,acs/national/acs/gen-MIX-UNIF,privbayes,3.0
24,acs/national/acs/gen-claude-MIX-MAX,aim_jax,3.25
25,acs/national/acs/gen-claude-MIX-MAX,gem,5.5
26,acs/national/acs/gen-claude-MIX-MAX,privbayes,2.75
27,acs/national/acs/gen-claude-MIX-UNIF,aim_jax,1.75
28,acs/national/acs/gen-claude-MIX-UNIF,gem,6.75
29,acs/national/acs/gen-claude-MIX-UNIF,privbayes,2.5
30,acs/national/acs/gen-gpt-MIX-MAX,aim_jax,1.75
31,acs/national/acs/gen-gpt-MIX-MAX,gem,3.75
32,acs/national/acs/gen-gpt-MIX-MAX,privbayes,2.75
33,acs/national/acs/gen-gpt-MIX-UNIF,aim_jax,2.0
34,acs/national/acs/gen-gpt-MIX-UNIF,gem,3.5
35,acs/national/acs/gen-gpt-MIX-UNIF,privbayes,3.75
36,acs/national/acs/gen-llama-MIX-MAX,aim_jax,1.25
37,acs/national/acs/gen-llama-MIX-MAX,gem,5.25
38,acs/national/acs/gen-llama-MIX-MAX,privbayes,1.75
39,acs/national/acs/gen-llama-MIX-UNIF,aim_jax,1.75
40,acs/national/acs/gen-llama-MIX-UNIF,gem,5.5
41,acs/national/acs/gen-llama-MIX-UNIF,privbayes,2.25
42,acs/national/acs/sdscm-gpt2,aim_jax,2.5
43,acs/national/acs/sdscm-gpt2,gem,7.25
44,acs/national/acs/sdscm-gpt2,privbayes,5.0
45,acs/national/acs/sdscm-llama-3-8b,aim_jax,3.0
46,acs/national/acs/sdscm-llama-3-8b,gem,4.75
47,acs/national/acs/sdscm-llama-3-8b,privbayes,4.0
48,acs/national/acs/sdscm-olmo-1b-hf,aim_jax,3.25
49,acs/national/acs/sdscm-olmo-1b-hf,gem,6.25
50,acs/national/acs/sdscm-olmo-1b-hf,privbayes,3.0
