,experiment,synth_name,rank
0,edad/2023/edad/arbitrary,aim_jax,2.5
1,edad/2023/edad/arbitrary,gem,3.0
2,edad/2023/edad/arbitrary,privbayes,1.5
3,edad/2023/edad/baseline_domain,aim_jax,1.75
4,edad/2023/edad/baseline_domain,gem,3.0
5,edad/2023/edad/baseline_domain,privbayes,6.75
6,edad/2023/edad/baseline_univariate,aim_jax,1.75
7,edad/2023/edad/baseline_univariate,gem,2.25
8,edad/2023/edad/baseline_univariate,privbayes,5.75
9,edad/2023/edad/csv-claude,aim_jax,2.0
10,edad/2023/edad/csv-claude,gem,5.0
11,edad/2023/edad/csv-claude,privbayes,2.0
12,edad/2023/edad/csv-gpt,aim_jax,1.5
13,edad/2023/edad/csv-gpt,gem,2.75
14,edad/2023/edad/csv-gpt,privbayes,1.25
15,edad/2023/edad/csv-llama,aim_jax,1.5
16,edad/2023/edad/csv-llama,gem,4.0
17,edad/2023/edad/csv-llama,privbayes,2.0
18,edad/2023/edad/gen-MIX-MAX,aim_jax,1.5
19,edad/2023/edad/gen-MIX-MAX,gem,4.25
20,edad/2023/edad/gen-MIX-MAX,privbayes,1.75
21,edad/2023/edad/gen-MIX-UNIF,aim_jax,2.0
22,edad/2023/edad/gen-MIX-UNIF,gem,4.0
23,edad/2023/edad/gen-MIX-UNIF,privbayes,2.5
24,edad/2023/edad/gen-claude-MIX-MAX,aim_jax,2.0
25,edad/2023/edad/gen-claude-MIX-MAX,gem,1.5
26,edad/2023/edad/gen-claude-MIX-MAX,privbayes,2.0
27,edad/2023/edad/gen-claude-MIX-UNIF,aim_jax,1.75
28,edad/2023/edad/gen-claude-MIX-UNIF,gem,6.25
29,edad/2023/edad/gen-claude-MIX-UNIF,privbayes,3.0
30,edad/2023/edad/gen-gpt-MIX-MAX,aim_jax,2.0
31,edad/2023/edad/gen-gpt-MIX-MAX,gem,4.0
32,edad/2023/edad/gen-gpt-MIX-MAX,privbayes,3.25
33,edad/2023/edad/gen-gpt-MIX-UNIF,aim_jax,1.5
34,edad/2023/edad/gen-gpt-MIX-UNIF,gem,3.5
35,edad/2023/edad/gen-gpt-MIX-UNIF,privbayes,5.0
36,edad/2023/edad/gen-llama-MIX-MAX,aim_jax,1.75
37,edad/2023/edad/gen-llama-MIX-MAX,gem,5.0
38,edad/2023/edad/gen-llama-MIX-MAX,privbayes,6.5
39,edad/2023/edad/gen-llama-MIX-UNIF,aim_jax,2.25
40,edad/2023/edad/gen-llama-MIX-UNIF,gem,4.25
41,edad/2023/edad/gen-llama-MIX-UNIF,privbayes,7.0
42,edad/2023/edad/sdscm-gpt2,aim_jax,2.0
43,edad/2023/edad/sdscm-gpt2,gem,2.25
44,edad/2023/edad/sdscm-gpt2,privbayes,5.75
45,edad/2023/edad/sdscm-llama-3-8b,aim_jax,2.5
46,edad/2023/edad/sdscm-llama-3-8b,gem,4.5
47,edad/2023/edad/sdscm-llama-3-8b,privbayes,4.0
48,edad/2023/edad/sdscm-olmo-1b-hf,aim_jax,2.0
49,edad/2023/edad/sdscm-olmo-1b-hf,gem,3.25
50,edad/2023/edad/sdscm-olmo-1b-hf,privbayes,4.5
