,experiment,synth_name,rank
0,we/2023/we/arbitrary,aim_jax,1.0
1,we/2023/we/arbitrary,gem,1.5
2,we/2023/we/arbitrary,privbayes,2.5
3,we/2023/we/baseline_domain,aim_jax,1.75
4,we/2023/we/baseline_domain,gem,6.0
5,we/2023/we/baseline_domain,privbayes,5.5
6,we/2023/we/baseline_univariate,aim_jax,3.0
7,we/2023/we/baseline_univariate,gem,3.25
8,we/2023/we/baseline_univariate,privbayes,4.5
9,we/2023/we/csv-claude,aim_jax,1.5
10,we/2023/we/csv-claude,gem,2.75
11,we/2023/we/csv-claude,privbayes,4.25
12,we/2023/we/csv-gpt,aim_jax,1.5
13,we/2023/we/csv-gpt,gem,4.25
14,we/2023/we/csv-gpt,privbayes,5.75
15,we/2023/we/csv-llama,aim_jax,1.5
16,we/2023/we/csv-llama,gem,2.0
17,we/2023/we/csv-llama,privbayes,3.75
18,we/2023/we/gen-MIX-MAX,aim_jax,1.5
19,we/2023/we/gen-MIX-MAX,gem,2.5
20,we/2023/we/gen-MIX-MAX,privbayes,3.75
21,we/2023/we/gen-MIX-UNIF,aim_jax,1.75
22,we/2023/we/gen-MIX-UNIF,gem,1.75
23,we/2023/we/gen-MIX-UNIF,privbayes,4.0
24,we/2023/we/gen-claude-MIX-MAX,aim_jax,1.75
25,we/2023/we/gen-claude-MIX-MAX,gem,2.0
26,we/2023/we/gen-claude-MIX-MAX,privbayes,2.25
27,we/2023/we/gen-claude-MIX-UNIF,aim_jax,2.25
28,we/2023/we/gen-claude-MIX-UNIF,gem,2.75
29,we/2023/we/gen-claude-MIX-UNIF,privbayes,3.0
30,we/2023/we/gen-gpt-MIX-MAX,aim_jax,1.75
31,we/2023/we/gen-gpt-MIX-MAX,gem,1.75
32,we/2023/we/gen-gpt-MIX-MAX,privbayes,4.0
33,we/2023/we/gen-gpt-MIX-UNIF,aim_jax,1.5
34,we/2023/we/gen-gpt-MIX-UNIF,gem,1.5
35,we/2023/we/gen-gpt-MIX-UNIF,privbayes,4.0
36,we/2023/we/gen-llama-MIX-MAX,aim_jax,1.25
37,we/2023/we/gen-llama-MIX-MAX,gem,2.25
38,we/2023/we/gen-llama-MIX-MAX,privbayes,2.5
39,we/2023/we/gen-llama-MIX-UNIF,aim_jax,1.75
40,we/2023/we/gen-llama-MIX-UNIF,gem,3.75
41,we/2023/we/gen-llama-MIX-UNIF,privbayes,2.75
42,we/2023/we/sdscm-gpt2,aim_jax,1.5
43,we/2023/we/sdscm-gpt2,gem,2.0
44,we/2023/we/sdscm-gpt2,privbayes,2.25
45,we/2023/we/sdscm-llama-3-8b,aim_jax,1.5
46,we/2023/we/sdscm-llama-3-8b,gem,1.25
47,we/2023/we/sdscm-llama-3-8b,privbayes,2.0
48,we/2023/we/sdscm-olmo-1b-hf,aim_jax,1.5
49,we/2023/we/sdscm-olmo-1b-hf,gem,2.25
50,we/2023/we/sdscm-olmo-1b-hf,privbayes,2.5
