,experiment,synth_name,rank
0,edad/2023/edad/arbitrary,aim_jax,3.0
1,edad/2023/edad/arbitrary,gem,4.25
2,edad/2023/edad/arbitrary,privbayes,1.0
3,edad/2023/edad/baseline_domain,aim_jax,1.25
4,edad/2023/edad/baseline_domain,gem,5.0
5,edad/2023/edad/baseline_domain,privbayes,6.0
6,edad/2023/edad/baseline_univariate,aim_jax,2.0
7,edad/2023/edad/baseline_univariate,gem,3.5
8,edad/2023/edad/baseline_univariate,privbayes,5.5
9,edad/2023/edad/csv-claude,aim_jax,2.5
10,edad/2023/edad/csv-claude,gem,3.5
11,edad/2023/edad/csv-claude,privbayes,2.25
12,edad/2023/edad/csv-gpt,aim_jax,3.25
13,edad/2023/edad/csv-gpt,gem,3.5
14,edad/2023/edad/csv-gpt,privbayes,2.75
15,edad/2023/edad/csv-llama,aim_jax,2.5
16,edad/2023/edad/csv-llama,gem,3.75
17,edad/2023/edad/csv-llama,privbayes,1.75
18,edad/2023/edad/gen-MIX-MAX,aim_jax,2.25
19,edad/2023/edad/gen-MIX-MAX,gem,2.75
20,edad/2023/edad/gen-MIX-MAX,privbayes,1.5
21,edad/2023/edad/gen-MIX-UNIF,aim_jax,2.0
22,edad/2023/edad/gen-MIX-UNIF,gem,4.25
23,edad/2023/edad/gen-MIX-UNIF,privbayes,1.75
24,edad/2023/edad/gen-claude-MIX-MAX,aim_jax,2.0
25,edad/2023/edad/gen-claude-MIX-MAX,gem,4.5
26,edad/2023/edad/gen-claude-MIX-MAX,privbayes,2.5
27,edad/2023/edad/gen-claude-MIX-UNIF,aim_jax,2.0
28,edad/2023/edad/gen-claude-MIX-UNIF,gem,4.0
29,edad/2023/edad/gen-claude-MIX-UNIF,privbayes,2.0
30,edad/2023/edad/gen-gpt-MIX-MAX,aim_jax,2.0
31,edad/2023/edad/gen-gpt-MIX-MAX,gem,3.5
32,edad/2023/edad/gen-gpt-MIX-MAX,privbayes,3.5
33,edad/2023/edad/gen-gpt-MIX-UNIF,aim_jax,2.0
34,edad/2023/edad/gen-gpt-MIX-UNIF,gem,5.0
35,edad/2023/edad/gen-gpt-MIX-UNIF,privbayes,3.5
36,edad/2023/edad/gen-llama-MIX-MAX,aim_jax,2.5
37,edad/2023/edad/gen-llama-MIX-MAX,gem,4.0
38,edad/2023/edad/gen-llama-MIX-MAX,privbayes,4.75
39,edad/2023/edad/gen-llama-MIX-UNIF,aim_jax,2.25
40,edad/2023/edad/gen-llama-MIX-UNIF,gem,4.5
41,edad/2023/edad/gen-llama-MIX-UNIF,privbayes,7.0
42,edad/2023/edad/sdscm-gpt2,aim_jax,2.25
43,edad/2023/edad/sdscm-gpt2,gem,3.5
44,edad/2023/edad/sdscm-gpt2,privbayes,6.25
45,edad/2023/edad/sdscm-llama-3-8b,aim_jax,2.75
46,edad/2023/edad/sdscm-llama-3-8b,gem,4.0
47,edad/2023/edad/sdscm-llama-3-8b,privbayes,4.75
48,edad/2023/edad/sdscm-olmo-1b-hf,aim_jax,3.0
49,edad/2023/edad/sdscm-olmo-1b-hf,gem,4.5
50,edad/2023/edad/sdscm-olmo-1b-hf,privbayes,4.25
