,experiment,synth_name,rank
0,we/2023/we/arbitrary,aim_jax,2.25
1,we/2023/we/arbitrary,gem,3.5
2,we/2023/we/arbitrary,privbayes,3.0
3,we/2023/we/baseline_domain,aim_jax,3.75
4,we/2023/we/baseline_domain,gem,5.25
5,we/2023/we/baseline_domain,privbayes,4.5
6,we/2023/we/baseline_univariate,aim_jax,2.5
7,we/2023/we/baseline_univariate,gem,3.25
8,we/2023/we/baseline_univariate,privbayes,4.5
9,we/2023/we/csv-claude,aim_jax,1.75
10,we/2023/we/csv-claude,gem,4.25
11,we/2023/we/csv-claude,privbayes,4.75
12,we/2023/we/csv-gpt,aim_jax,3.5
13,we/2023/we/csv-gpt,gem,4.0
14,we/2023/we/csv-gpt,privbayes,4.0
15,we/2023/we/csv-llama,aim_jax,3.25
16,we/2023/we/csv-llama,gem,1.5
17,we/2023/we/csv-llama,privbayes,4.25
18,we/2023/we/gen-MIX-MAX,aim_jax,3.0
19,we/2023/we/gen-MIX-MAX,gem,5.75
20,we/2023/we/gen-MIX-MAX,privbayes,3.75
21,we/2023/we/gen-MIX-UNIF,aim_jax,3.5
22,we/2023/we/gen-MIX-UNIF,gem,2.25
23,we/2023/we/gen-MIX-UNIF,privbayes,4.0
24,we/2023/we/gen-claude-MIX-MAX,aim_jax,2.0
25,we/2023/we/gen-claude-MIX-MAX,gem,4.0
26,we/2023/we/gen-claude-MIX-MAX,privbayes,4.5
27,we/2023/we/gen-claude-MIX-UNIF,aim_jax,1.75
28,we/2023/we/gen-claude-MIX-UNIF,gem,4.0
29,we/2023/we/gen-claude-MIX-UNIF,privbayes,4.5
30,we/2023/we/gen-gpt-MIX-MAX,aim_jax,2.0
31,we/2023/we/gen-gpt-MIX-MAX,gem,2.75
32,we/2023/we/gen-gpt-MIX-MAX,privbayes,3.75
33,we/2023/we/gen-gpt-MIX-UNIF,aim_jax,1.5
34,we/2023/we/gen-gpt-MIX-UNIF,gem,1.75
35,we/2023/we/gen-gpt-MIX-UNIF,privbayes,4.75
36,we/2023/we/gen-llama-MIX-MAX,aim_jax,2.75
37,we/2023/we/gen-llama-MIX-MAX,gem,2.75
38,we/2023/we/gen-llama-MIX-MAX,privbayes,4.5
39,we/2023/we/gen-llama-MIX-UNIF,aim_jax,2.5
40,we/2023/we/gen-llama-MIX-UNIF,gem,4.25
41,we/2023/we/gen-llama-MIX-UNIF,privbayes,2.75
42,we/2023/we/sdscm-gpt2,aim_jax,1.75
43,we/2023/we/sdscm-gpt2,gem,6.5
44,we/2023/we/sdscm-gpt2,privbayes,2.75
45,we/2023/we/sdscm-llama-3-8b,aim_jax,2.75
46,we/2023/we/sdscm-llama-3-8b,gem,3.5
47,we/2023/we/sdscm-llama-3-8b,privbayes,3.75
48,we/2023/we/sdscm-olmo-1b-hf,aim_jax,2.5
49,we/2023/we/sdscm-olmo-1b-hf,gem,3.5
50,we/2023/we/sdscm-olmo-1b-hf,privbayes,3.75
