,experiment,synth_name,rank
0,acs/national/acs/arbitrary,aim_jax,1.5
1,acs/national/acs/arbitrary,gem,6.0
2,acs/national/acs/arbitrary,privbayes,1.75
3,acs/national/acs/baseline_domain,aim_jax,1.25
4,acs/national/acs/baseline_domain,gem,3.25
5,acs/national/acs/baseline_domain,privbayes,4.5
6,acs/national/acs/baseline_univariate,aim_jax,2.75
7,acs/national/acs/baseline_univariate,gem,1.5
8,acs/national/acs/baseline_univariate,privbayes,4.75
9,acs/national/acs/csv-claude,aim_jax,1.5
10,acs/national/acs/csv-claude,gem,1.5
11,acs/national/acs/csv-claude,privbayes,2.0
12,acs/national/acs/csv-gpt,aim_jax,2.0
13,acs/national/acs/csv-gpt,gem,2.5
14,acs/national/acs/csv-gpt,privbayes,2.0
15,acs/national/acs/csv-llama,aim_jax,1.5
16,acs/national/acs/csv-llama,gem,3.25
17,acs/national/acs/csv-llama,privbayes,1.25
18,acs/national/acs/gen-MIX-MAX,aim_jax,2.0
19,acs/national/acs/gen-MIX-MAX,gem,6.0
20,acs/national/acs/gen-MIX-MAX,privbayes,1.5
21,acs/national/acs/gen-MIX-UNIF,aim_jax,1.75
22,acs/national/acs/gen-MIX-UNIF,gem,4.5
23,acs/national/acs/gen-MIX-UNIF,privbayes,1.25
24,acs/national/acs/gen-claude-MIX-MAX,aim_jax,2.0
25,acs/national/acs/gen-claude-MIX-MAX,gem,7.75
26,acs/national/acs/gen-claude-MIX-MAX,privbayes,1.75
27,acs/national/acs/gen-claude-MIX-UNIF,aim_jax,1.5
28,acs/national/acs/gen-claude-MIX-UNIF,gem,8.75
29,acs/national/acs/gen-claude-MIX-UNIF,privbayes,1.75
30,acs/national/acs/gen-gpt-MIX-MAX,aim_jax,2.0
31,acs/national/acs/gen-gpt-MIX-MAX,gem,9.0
32,acs/national/acs/gen-gpt-MIX-MAX,privbayes,1.75
33,acs/national/acs/gen-gpt-MIX-UNIF,aim_jax,1.5
34,acs/national/acs/gen-gpt-MIX-UNIF,gem,2.75
35,acs/national/acs/gen-gpt-MIX-UNIF,privbayes,1.75
36,acs/national/acs/gen-llama-MIX-MAX,aim_jax,2.0
37,acs/national/acs/gen-llama-MIX-MAX,gem,5.0
38,acs/national/acs/gen-llama-MIX-MAX,privbayes,1.5
39,acs/national/acs/gen-llama-MIX-UNIF,aim_jax,2.0
40,acs/national/acs/gen-llama-MIX-UNIF,gem,9.5
41,acs/national/acs/gen-llama-MIX-UNIF,privbayes,1.0
42,acs/national/acs/sdscm-gpt2,aim_jax,1.5
43,acs/national/acs/sdscm-gpt2,gem,4.75
44,acs/national/acs/sdscm-gpt2,privbayes,4.5
45,acs/national/acs/sdscm-llama-3-8b,aim_jax,1.5
46,acs/national/acs/sdscm-llama-3-8b,gem,5.0
47,acs/national/acs/sdscm-llama-3-8b,privbayes,4.25
48,acs/national/acs/sdscm-olmo-1b-hf,aim_jax,3.0
49,acs/national/acs/sdscm-olmo-1b-hf,gem,9.0
50,acs/national/acs/sdscm-olmo-1b-hf,privbayes,2.5
