,experiment,synth_name,rank
0,edad/2023/edad/arbitrary,aim_jax,1.5
1,edad/2023/edad/arbitrary,gem,5.0
2,edad/2023/edad/arbitrary,privbayes,3.5
3,edad/2023/edad/baseline_domain,aim_jax,1.75
4,edad/2023/edad/baseline_domain,gem,6.0
5,edad/2023/edad/baseline_domain,privbayes,4.5
6,edad/2023/edad/baseline_univariate,aim_jax,1.25
7,edad/2023/edad/baseline_univariate,gem,2.0
8,edad/2023/edad/baseline_univariate,privbayes,4.5
9,edad/2023/edad/csv-claude,aim_jax,1.75
10,edad/2023/edad/csv-claude,gem,2.25
11,edad/2023/edad/csv-claude,privbayes,1.5
12,edad/2023/edad/csv-gpt,aim_jax,1.75
13,edad/2023/edad/csv-gpt,gem,5.75
14,edad/2023/edad/csv-gpt,privbayes,1.75
15,edad/2023/edad/csv-llama,aim_jax,1.75
16,edad/2023/edad/csv-llama,gem,8.25
17,edad/2023/edad/csv-llama,privbayes,2.25
18,edad/2023/edad/gen-MIX-MAX,aim_jax,2.0
19,edad/2023/edad/gen-MIX-MAX,gem,6.75
20,edad/2023/edad/gen-MIX-MAX,privbayes,2.25
21,edad/2023/edad/gen-MIX-UNIF,aim_jax,1.75
22,edad/2023/edad/gen-MIX-UNIF,gem,7.5
23,edad/2023/edad/gen-MIX-UNIF,privbayes,2.5
24,edad/2023/edad/gen-claude-MIX-MAX,aim_jax,1.5
25,edad/2023/edad/gen-claude-MIX-MAX,gem,2.5
26,edad/2023/edad/gen-claude-MIX-MAX,privbayes,2.0
27,edad/2023/edad/gen-claude-MIX-UNIF,aim_jax,1.75
28,edad/2023/edad/gen-claude-MIX-UNIF,gem,4.75
29,edad/2023/edad/gen-claude-MIX-UNIF,privbayes,2.25
30,edad/2023/edad/gen-gpt-MIX-MAX,aim_jax,1.5
31,edad/2023/edad/gen-gpt-MIX-MAX,gem,6.5
32,edad/2023/edad/gen-gpt-MIX-MAX,privbayes,1.75
33,edad/2023/edad/gen-gpt-MIX-UNIF,aim_jax,1.5
34,edad/2023/edad/gen-gpt-MIX-UNIF,gem,3.0
35,edad/2023/edad/gen-gpt-MIX-UNIF,privbayes,2.75
36,edad/2023/edad/gen-llama-MIX-MAX,aim_jax,2.0
37,edad/2023/edad/gen-llama-MIX-MAX,gem,6.0
38,edad/2023/edad/gen-llama-MIX-MAX,privbayes,3.75
39,edad/2023/edad/gen-llama-MIX-UNIF,aim_jax,2.5
40,edad/2023/edad/gen-llama-MIX-UNIF,gem,6.0
41,edad/2023/edad/gen-llama-MIX-UNIF,privbayes,5.0
42,edad/2023/edad/sdscm-gpt2,aim_jax,2.25
43,edad/2023/edad/sdscm-gpt2,gem,5.25
44,edad/2023/edad/sdscm-gpt2,privbayes,4.5
45,edad/2023/edad/sdscm-llama-3-8b,aim_jax,1.75
46,edad/2023/edad/sdscm-llama-3-8b,gem,1.25
47,edad/2023/edad/sdscm-llama-3-8b,privbayes,3.5
48,edad/2023/edad/sdscm-olmo-1b-hf,aim_jax,2.25
49,edad/2023/edad/sdscm-olmo-1b-hf,gem,8.5
50,edad/2023/edad/sdscm-olmo-1b-hf,privbayes,4.5
