,experiment,synth_name,rank
0,edad/2023/edad/arbitrary,aim_jax,3.0
1,edad/2023/edad/arbitrary,gem,1.0
2,edad/2023/edad/arbitrary,privbayes,3.25
3,edad/2023/edad/baseline_domain,aim_jax,2.75
4,edad/2023/edad/baseline_domain,gem,1.0
5,edad/2023/edad/baseline_domain,privbayes,4.25
6,edad/2023/edad/baseline_univariate,aim_jax,2.25
7,edad/2023/edad/baseline_univariate,gem,1.0
8,edad/2023/edad/baseline_univariate,privbayes,3.5
9,edad/2023/edad/csv-claude,aim_jax,1.75
10,edad/2023/edad/csv-claude,gem,1.0
11,edad/2023/edad/csv-claude,privbayes,1.75
12,edad/2023/edad/csv-gpt,aim_jax,2.0
13,edad/2023/edad/csv-gpt,gem,1.0
14,edad/2023/edad/csv-gpt,privbayes,1.5
15,edad/2023/edad/csv-llama,aim_jax,2.25
16,edad/2023/edad/csv-llama,gem,1.0
17,edad/2023/edad/csv-llama,privbayes,2.25
18,edad/2023/edad/gen-MIX-MAX,aim_jax,2.5
19,edad/2023/edad/gen-MIX-MAX,gem,1.0
20,edad/2023/edad/gen-MIX-MAX,privbayes,1.5
21,edad/2023/edad/gen-MIX-UNIF,aim_jax,1.75
22,edad/2023/edad/gen-MIX-UNIF,gem,1.0
23,edad/2023/edad/gen-MIX-UNIF,privbayes,1.75
24,edad/2023/edad/gen-claude-MIX-MAX,aim_jax,2.0
25,edad/2023/edad/gen-claude-MIX-MAX,gem,1.0
26,edad/2023/edad/gen-claude-MIX-MAX,privbayes,3.25
27,edad/2023/edad/gen-claude-MIX-UNIF,aim_jax,2.25
28,edad/2023/edad/gen-claude-MIX-UNIF,gem,1.0
29,edad/2023/edad/gen-claude-MIX-UNIF,privbayes,2.25
30,edad/2023/edad/gen-gpt-MIX-MAX,aim_jax,2.0
31,edad/2023/edad/gen-gpt-MIX-MAX,gem,1.0
32,edad/2023/edad/gen-gpt-MIX-MAX,privbayes,3.0
33,edad/2023/edad/gen-gpt-MIX-UNIF,aim_jax,1.5
34,edad/2023/edad/gen-gpt-MIX-UNIF,gem,1.0
35,edad/2023/edad/gen-gpt-MIX-UNIF,privbayes,1.25
36,edad/2023/edad/gen-llama-MIX-MAX,aim_jax,1.5
37,edad/2023/edad/gen-llama-MIX-MAX,gem,1.0
38,edad/2023/edad/gen-llama-MIX-MAX,privbayes,2.5
39,edad/2023/edad/gen-llama-MIX-UNIF,aim_jax,2.75
40,edad/2023/edad/gen-llama-MIX-UNIF,gem,1.0
41,edad/2023/edad/gen-llama-MIX-UNIF,privbayes,4.25
42,edad/2023/edad/sdscm-gpt2,aim_jax,1.5
43,edad/2023/edad/sdscm-gpt2,gem,1.0
44,edad/2023/edad/sdscm-gpt2,privbayes,3.75
45,edad/2023/edad/sdscm-llama-3-8b,aim_jax,2.5
46,edad/2023/edad/sdscm-llama-3-8b,gem,1.0
47,edad/2023/edad/sdscm-llama-3-8b,privbayes,4.75
48,edad/2023/edad/sdscm-olmo-1b-hf,aim_jax,1.75
49,edad/2023/edad/sdscm-olmo-1b-hf,gem,1.0
50,edad/2023/edad/sdscm-olmo-1b-hf,privbayes,4.25
