,experiment,synth_name,rank
0,we/2023/we/arbitrary,aim_jax,1.5
1,we/2023/we/arbitrary,gem,2.0
2,we/2023/we/arbitrary,privbayes,3.0
3,we/2023/we/baseline_domain,aim_jax,1.75
4,we/2023/we/baseline_domain,gem,6.0
5,we/2023/we/baseline_domain,privbayes,4.75
6,we/2023/we/baseline_univariate,aim_jax,1.75
7,we/2023/we/baseline_univariate,gem,4.75
8,we/2023/we/baseline_univariate,privbayes,3.0
9,we/2023/we/csv-claude,aim_jax,1.75
10,we/2023/we/csv-claude,gem,4.75
11,we/2023/we/csv-claude,privbayes,3.0
12,we/2023/we/csv-gpt,aim_jax,2.0
13,we/2023/we/csv-gpt,gem,2.5
14,we/2023/we/csv-gpt,privbayes,2.25
15,we/2023/we/csv-llama,aim_jax,2.25
16,we/2023/we/csv-llama,gem,2.75
17,we/2023/we/csv-llama,privbayes,2.75
18,we/2023/we/gen-MIX-MAX,aim_jax,2.75
19,we/2023/we/gen-MIX-MAX,gem,2.75
20,we/2023/we/gen-MIX-MAX,privbayes,1.5
21,we/2023/we/gen-MIX-UNIF,aim_jax,2.0
22,we/2023/we/gen-MIX-UNIF,gem,2.25
23,we/2023/we/gen-MIX-UNIF,privbayes,2.0
24,we/2023/we/gen-claude-MIX-MAX,aim_jax,2.25
25,we/2023/we/gen-claude-MIX-MAX,gem,3.0
26,we/2023/we/gen-claude-MIX-MAX,privbayes,2.5
27,we/2023/we/gen-claude-MIX-UNIF,aim_jax,2.25
28,we/2023/we/gen-claude-MIX-UNIF,gem,2.75
29,we/2023/we/gen-claude-MIX-UNIF,privbayes,3.25
30,we/2023/we/gen-gpt-MIX-MAX,aim_jax,1.0
31,we/2023/we/gen-gpt-MIX-MAX,gem,3.0
32,we/2023/we/gen-gpt-MIX-MAX,privbayes,2.25
33,we/2023/we/gen-gpt-MIX-UNIF,aim_jax,1.25
34,we/2023/we/gen-gpt-MIX-UNIF,gem,3.0
35,we/2023/we/gen-gpt-MIX-UNIF,privbayes,2.25
36,we/2023/we/gen-llama-MIX-MAX,aim_jax,1.5
37,we/2023/we/gen-llama-MIX-MAX,gem,3.0
38,we/2023/we/gen-llama-MIX-MAX,privbayes,2.25
39,we/2023/we/gen-llama-MIX-UNIF,aim_jax,1.75
40,we/2023/we/gen-llama-MIX-UNIF,gem,4.25
41,we/2023/we/gen-llama-MIX-UNIF,privbayes,2.25
42,we/2023/we/sdscm-gpt2,aim_jax,1.75
43,we/2023/we/sdscm-gpt2,gem,2.0
44,we/2023/we/sdscm-gpt2,privbayes,3.75
45,we/2023/we/sdscm-llama-3-8b,aim_jax,2.5
46,we/2023/we/sdscm-llama-3-8b,gem,3.25
47,we/2023/we/sdscm-llama-3-8b,privbayes,2.5
48,we/2023/we/sdscm-olmo-1b-hf,aim_jax,2.0
49,we/2023/we/sdscm-olmo-1b-hf,gem,3.25
50,we/2023/we/sdscm-olmo-1b-hf,privbayes,2.5
