AGEP,SEX,MSP,EDU,PINCP,HOUSING_TYPE,OWN_RENT,DENSITY
66,1,5,5,45183,2,2,1472.4449462890625
9,1,2,1,18545,0,0,666.340576171875
19,2,1,4,33170,1,1,1252.522705078125
67,1,0,0,23550,2,2,1648.312744140625
89,2,0,0,28331,2,2,1578.679443359375
73,1,1,4,40123,1,1,1047.833251953125
95,2,1,9,84802,1,1,883.442626953125
65,1,5,4,36814,2,1,2022.148193359375
53,2,5,7,55572,1,0,843.716796875
19,2,2,9,62764,2,0,792.2333374023438
91,2,3,8,69830,2,1,1368.3349609375
28,1,3,7,41170,1,0,728.3531494140625
37,1,2,3,34641,2,1,1302.128662109375
93,1,3,0,32943,1,2,921.1300048828125
67,1,3,7,59117,1,1,791.3485717773438
52,1,5,1,31274,2,0,915.3115234375
22,2,1,5,44959,2,0,1479.07763671875
39,1,2,8,54149,2,1,1255.9224853515625
69,2,4,5,64182,2,0,1694.1298828125
57,1,0,9,66053,2,2,1559.72705078125
68,1,5,2,34215,1,0,738.134765625
61,2,4,0,12053,1,1,1048.8526611328125
67,1,2,1,26159,1,2,692.0905151367188
54,2,0,3,32975,2,2,1757.679443359375
89,1,4,0,18985,2,2,1492.17529296875
38,2,5,8,53467,1,1,1133.6749267578125
13,2,1,2,21169,2,1,1644.33740234375
94,1,4,1,37241,1,1,1249.556396484375
20,2,1,4,37201,2,2,1839.584228515625
66,1,0,6,47307,2,2,1278.6268310546875
37,1,4,6,44062,1,2,599.9228515625
7,1,1,1,27613,0,2,721.881591796875
81,1,5,6,65028,2,0,864.7975463867188
86,1,0,0,24300,2,1,1247.851318359375
12,2,5,1,28010,0,0,474.8194885253906
56,2,4,0,21129,2,0,1476.9822998046875
74,1,2,9,71363,2,2,1788.4010009765625
94,1,5,3,50793,1,2,895.3803100585938
94,1,0,5,54584,2,1,1175.757568359375
26,2,4,4,45245,2,1,1424.38916015625
21,1,2,5,35823,2,0,1622.4652099609375
12,1,5,4,34590,0,0,479.8570861816406
82,1,4,1,34630,2,1,1555.47119140625
60,2,2,0,25171,1,2,906.2243041992188
88,2,0,7,66269,1,1,691.58349609375
43,1,5,1,24988,1,0,760.7254638671875
71,1,5,5,53382,2,2,1184.6365966796875
41,2,1,7,46615,1,2,903.9237670898438
44,1,0,5,47629,2,2,1614.087646484375
84,1,1,4,46407,2,2,1760.2410888671875
32,1,3,1,14621,2,2,1715.046142578125
79,1,5,7,61642,2,2,951.5382690429688
28,2,3,1,17930,1,2,881.9829711914062
55,1,5,0,20241,2,2,1481.6627197265625
46,1,4,4,46012,2,0,1091.86865234375
34,2,2,3,28530,2,1,2092.4013671875
