AGEP,SEX,MSP,EDU,PINCP,HOUSING_TYPE,DENSITY,OWN_RENT
5,1,1,3,16531,1,5162.49609375,2
0,1,2,3,7164,1,1778.42529296875,1
2,1,1,3,41128,2,2058.303466796875,1
5,2,5,2,17833,1,4269.87255859375,1
2,1,4,6,6554,1,5116.3251953125,1
0,2,2,3,890,1,4489.75341796875,0
4,1,2,8,26159,1,3532.7666015625,2
1,1,3,9,5300,1,5279.23974609375,1
5,1,1,2,2559,1,6878.0146484375,0
3,1,0,5,1747,1,8066.1201171875,1
1,2,4,4,42196,1,4679.53564453125,1
4,1,2,4,-2882,1,4165.6357421875,0
0,2,3,1,18782,2,253.27874755859375,1
0,1,0,6,29235,2,1119.20166015625,2
2,2,1,4,21149,2,1468.7611083984375,0
3,2,3,5,41530,1,5032.18017578125,1
3,2,2,5,12573,1,3553.57666015625,1
2,2,4,5,24338,1,4735.0166015625,1
2,2,3,0,20616,2,5989.68896484375,1
1,1,1,7,-4642,1,4325.109375,1
0,1,5,3,21037,1,2974.50732421875,1
1,1,2,4,26878,1,4815.56201171875,1
2,1,3,4,8493,2,16.0,1
3,2,1,10,31878,1,1859.726806640625,1
5,2,3,5,27124,1,5200.8095703125,0
4,2,2,1,14472,1,407.36865234375,1
4,2,2,3,11222,1,5683.126953125,0
5,2,3,5,19393,1,2437.944580078125,0
4,1,2,4,12486,2,2831.692626953125,1
1,1,4,4,19800,1,6576.82763671875,1
3,2,0,2,6950,1,6027.484375,2
3,2,1,5,38990,2,1633.68115234375,2
5,1,4,4,31553,1,3418.79833984375,1
5,2,1,5,16806,1,6394.46923828125,0
4,2,2,3,3625,2,16.0,2
5,1,5,9,36534,2,999.39111328125,0
5,2,3,2,87,1,7484.3447265625,1
2,1,3,4,16096,1,4430.056640625,1
3,2,5,2,15006,1,10862.92578125,1
5,1,5,4,39523,1,5119.27392578125,1
1,1,1,3,38210,1,7270.2080078125,1
0,1,2,1,18802,1,6577.400390625,2
5,1,3,1,2548,1,5474.884765625,1
4,2,3,5,38460,1,6067.84912109375,1
2,1,1,4,16363,1,3803.19482421875,2
3,2,3,4,-2805,1,2345.653076171875,0
2,2,1,3,19224,1,3826.93115234375,1
2,1,1,1,20457,1,3274.8740234375,2
5,2,3,5,21886,1,8356.4384765625,0
3,2,3,3,37329,2,3705.439208984375,1
1,1,4,6,7535,2,2571.494140625,2
5,1,2,4,17898,1,6173.58935546875,2
5,2,1,3,5162,2,16.0,2
4,1,1,3,24247,1,6721.5634765625,2
3,1,4,10,20551,1,7912.556640625,2
5,1,2,4,29282,2,4970.037109375,1
5,2,3,3,21308,1,4062.699462890625,0
2,2,5,8,-9000,2,16.0,0
4,1,1,3,20257,1,4388.71630859375,2
0,2,0,4,11097,1,6012.5517578125,0
4,2,0,2,16741,1,8219.970703125,0
5,1,3,2,28525,1,3219.52783203125,1
5,2,1,5,38659,2,1891.57275390625,0
1,2,3,3,1313,1,3458.1279296875,0
1,2,1,3,32426,1,6168.591796875,2
3,2,2,2,32895,1,7186.7294921875,1
4,2,5,5,34683,1,6064.630859375,1
2,1,5,5,26153,1,4619.49365234375,1
5,1,3,5,-9000,1,5265.79541015625,0
1,2,1,8,28884,1,1182.542724609375,2
4,1,2,1,574,2,16.0,1
5,2,1,2,21552,2,16.0,1
4,2,1,1,22733,1,6484.1923828125,1
4,1,3,4,34392,1,3359.76025390625,1
3,1,3,3,-8685,1,1547.040283203125,2
0,2,1,4,-5490,1,3470.790771484375,1
2,2,0,4,23471,1,6896.7001953125,1
5,1,3,5,13221,1,6332.837890625,2
5,2,1,1,28758,1,5084.408203125,0
2,1,1,4,31982,1,6143.5283203125,2
4,1,5,1,4191,2,226.634033203125,1
5,2,2,10,9351,1,6128.33203125,2
2,2,1,3,30871,1,3017.099609375,1
5,1,3,5,14510,1,6812.4208984375,2
4,2,4,4,14587,1,4947.0341796875,0
0,2,2,4,26713,1,6946.296875,0
5,1,0,4,30882,1,5428.69189453125,1
4,2,1,1,14909,2,2297.59765625,1
4,1,5,1,14653,1,5835.09326171875,0
0,2,3,5,9926,1,4891.74365234375,2
1,2,0,3,19214,2,2179.54736328125,0
3,2,3,1,5981,1,3426.59521484375,2
2,2,1,7,32762,1,5489.974609375,1
1,2,3,3,33984,2,1599.666748046875,1
2,2,1,3,-7196,1,6963.142578125,1
3,1,1,1,13114,2,16.0,1
3,1,4,6,26967,2,1391.90673828125,1
1,1,1,3,22406,2,2190.89404296875,2
5,1,5,5,17891,2,2219.047607421875,0
4,2,1,4,39389,1,4066.81689453125,0
3,1,1,1,37258,1,7069.3505859375,0
2,1,0,7,15242,2,2072.69091796875,1
1,1,5,3,46583,1,1559.642333984375,1
2,1,1,3,34972,1,5117.4765625,1
3,2,1,9,-5423,1,3892.982421875,1
2,1,0,3,36429,1,3710.5537109375,2
5,1,1,1,28578,1,3318.2314453125,1
3,1,1,1,28053,2,2257.35986328125,1
4,1,4,5,24256,1,3873.841796875,2
4,1,1,0,14697,1,8421.08203125,1
3,2,3,5,18706,1,4975.8359375,0
2,2,1,10,20095,1,2752.12109375,2
3,2,0,5,12210,1,1603.717041015625,1
2,2,1,4,6911,1,7285.751953125,1
5,1,3,1,27820,1,4710.49267578125,1
4,2,2,8,-3335,1,2778.709716796875,1
