AGEP,SEX,EDU,MSP,HOUSING_TYPE,OWN_RENT,DENSITY,PINCP
17,2,4,2,2,1,1319.6424560546875,88237.546875
16,1,2,2,2,1,767.7005615234375,76210.5625
17,1,4,2,2,1,1546.3104248046875,86507.8828125
17,2,4,2,1,1,1162.4671630859375,101419.234375
16,2,4,2,2,1,1652.036376953125,94813.25
16,2,1,2,2,1,1406.5631103515625,59997.609375
16,2,4,2,2,1,1072.7044677734375,96331.53125
17,1,1,2,1,1,1024.234619140625,62905.08984375
17,1,3,2,1,1,951.4705810546875,81639.828125
16,1,3,2,1,1,1147.236328125,75498.1328125
17,1,1,2,1,1,749.7403564453125,70654.0859375
16,1,4,2,1,1,959.2208251953125,93273.109375
16,2,1,2,2,1,1136.5845947265625,65057.140625
17,1,1,2,2,1,1091.3363037109375,61188.55859375
16,1,3,2,1,1,982.1860961914062,84153.71875
16,1,3,2,2,1,1442.9427490234375,74259.578125
17,2,1,2,1,1,1046.42431640625,69645.359375
16,2,3,2,2,1,1292.6962890625,79373.140625
17,2,4,2,1,1,1372.62109375,86943.28125
17,1,3,2,2,1,1548.281005859375,78497.5859375
17,2,2,2,1,1,1293.00048828125,77394.4140625
17,2,5,2,1,1,1676.509521484375,107951.0078125
16,2,1,2,1,1,1089.7620849609375,71576.875
16,2,5,2,2,1,1136.2388916015625,109955.65625
16,1,2,2,2,1,1017.669921875,69827.0234375
17,2,2,2,2,1,1324.43310546875,73321.8828125
17,1,2,2,2,1,1548.9390869140625,75224.2734375
17,2,1,2,2,1,940.352783203125,55548.63671875
17,1,1,2,2,1,1048.7454833984375,59853.8671875
17,1,4,2,2,1,1343.7626953125,92260.125
17,2,2,2,2,1,1191.85986328125,77898.421875
16,2,2,2,1,1,937.4569702148438,77709.8203125
17,2,3,2,1,1,1238.3179931640625,87631.6171875
17,2,2,2,2,1,1007.8414916992188,69142.125
17,1,4,2,2,1,964.2073974609375,91132.1953125
17,2,1,2,2,1,865.47412109375,55351.421875
17,2,4,2,2,1,1075.0916748046875,95025.15625
16,1,2,2,2,1,1201.0394287109375,71451.6015625
16,2,2,2,1,1,1113.7803955078125,70388.3359375
17,2,5,2,1,1,878.5087890625,95932.6875
17,2,3,2,1,1,1138.464599609375,83191.3671875
16,2,4,2,2,1,1276.39990234375,95917.859375
16,2,4,2,1,1,1124.3602294921875,86965.671875
16,1,3,2,1,1,1301.9981689453125,82950.96875
16,1,2,2,2,1,1152.3663330078125,72935.6015625
16,2,3,2,1,1,1136.82177734375,84959.7265625
16,2,5,2,1,1,843.7509155273438,110257.3515625
17,1,2,2,2,1,1588.9393310546875,62982.64453125
17,2,3,2,2,1,1382.9129638671875,83084.8828125
16,1,3,2,1,1,735.241943359375,69031.984375
17,2,5,2,1,1,788.3724975585938,101851.265625
17,1,2,2,2,1,1322.6348876953125,77473.40625
17,2,5,2,2,1,1231.7718505859375,100192.359375
17,2,3,2,2,1,1182.2174072265625,87040.390625
17,2,3,2,2,1,1348.0804443359375,87840.734375
16,2,2,2,1,1,774.11328125,72795.8125
16,1,5,2,2,1,1246.8397216796875,98193.1484375
17,1,3,2,1,1,1193.2313232421875,83879.1328125
16,1,3,2,1,1,1124.474365234375,85175.4609375
16,1,3,2,2,1,1075.92041015625,85377.0546875
16,1,4,2,2,1,1246.551513671875,96069.6328125
17,2,3,2,2,1,489.0068359375,83914.2734375
17,2,3,2,2,1,1104.1414794921875,87306.015625
17,2,2,2,2,1,1072.487060546875,75649.9765625
16,2,5,2,1,1,1129.347412109375,105441.8203125
16,1,3,2,1,1,1034.958984375,79354.3359375
17,2,3,2,2,1,1130.959716796875,76234.484375
17,2,2,2,2,1,1098.6033935546875,67315.1640625
16,2,2,2,2,1,888.9599609375,64577.6328125
16,2,3,2,1,1,1156.010498046875,93464.3046875
16,2,2,2,1,1,812.3285522460938,67115.15625
16,2,4,2,1,1,877.4122314453125,100400.921875
17,1,2,2,2,1,955.8206787109375,84561.546875
16,2,4,2,2,1,1264.2236328125,86559.078125
17,2,2,2,2,1,1312.851806640625,70378.078125
16,1,4,2,2,1,932.0056762695312,84338.6484375
16,1,4,2,1,1,1204.68896484375,87100.890625
16,2,3,2,1,1,761.161376953125,82625.2578125
16,2,3,2,2,1,1046.3187255859375,84697.546875
16,1,3,2,2,1,1329.759033203125,76176.2734375
17,2,3,2,1,1,1155.8013916015625,83619.1796875
17,1,2,2,2,1,1291.443603515625,77862.75
17,1,4,2,1,1,1254.916015625,102336.8125
16,2,3,2,1,1,1307.996826171875,77957.7421875
16,1,2,2,2,1,1334.1898193359375,61847.71484375
17,2,2,2,2,1,1345.876708984375,71478.84375
16,2,1,2,2,1,1196.0321044921875,61701.55078125
16,1,5,2,2,1,1351.4083251953125,98065.96875
16,1,3,2,2,1,1418.4466552734375,81557.1640625
16,2,3,2,1,1,1344.4501953125,92040.2421875
16,2,2,2,2,1,1070.8624267578125,70813.640625
16,2,3,2,1,1,636.743896484375,81939.578125
17,1,2,2,1,1,1349.558349609375,71771.1640625
16,2,3,2,1,1,1075.4202880859375,88011.7265625
17,1,3,2,2,1,1252.77685546875,90083.8125
17,2,4,2,1,1,1334.1444091796875,98951.7421875
17,1,3,2,2,1,1303.878173828125,86203.90625
17,1,4,2,1,1,937.615234375,89964.359375
17,1,1,2,2,1,1153.3985595703125,58816.0
17,2,4,2,1,1,704.744384765625,84596.921875
16,2,3,2,2,1,1031.5701904296875,81213.6875
16,2,3,2,2,1,1050.3106689453125,85520.1796875
17,1,3,2,1,1,1237.5789794921875,82223.140625
16,1,1,2,2,1,997.6267700195312,67135.390625
17,1,3,2,1,1,1062.082275390625,74492.828125
17,2,3,2,2,1,1319.6087646484375,70780.796875
16,2,2,2,2,1,1671.098388671875,74956.9140625
16,1,4,2,2,1,954.3953247070312,88824.2578125
17,2,3,2,1,1,1210.774169921875,88598.609375
16,1,3,2,2,1,1255.60205078125,82204.234375
16,2,5,2,1,1,1230.92333984375,103382.5390625
16,1,4,2,1,1,1044.6136474609375,100434.21875
16,1,3,2,2,1,1274.8326416015625,84755.5625
17,1,2,2,2,1,978.4497680664062,79513.7578125
17,1,4,2,2,1,1288.343505859375,85897.140625
16,1,3,2,1,1,1239.6016845703125,83171.234375
16,1,3,2,1,1,1332.2606201171875,83064.84375
16,2,4,2,1,1,909.5498046875,92599.3671875
16,2,4,2,1,1,1112.9183349609375,90709.7890625
16,1,4,2,2,1,1226.6947021484375,89865.1796875
17,1,5,2,2,1,1407.2806396484375,97342.5703125
16,2,3,2,1,1,1011.1572875976562,86097.5546875
16,2,4,2,1,1,1140.698486328125,85934.2890625
16,1,2,2,2,1,1247.991943359375,73776.5234375
17,2,3,2,2,1,1268.45361328125,86191.8046875
17,1,5,2,1,1,1055.662353515625,107867.046875
16,2,1,2,2,1,1025.0975341796875,64196.54296875
16,1,1,2,1,1,849.5049438476562,64048.6953125
17,1,4,2,2,1,1227.85302734375,94766.8515625
16,1,5,2,2,1,1128.755126953125,101557.3203125
17,1,3,2,2,1,1102.424560546875,78775.4140625
16,2,3,2,2,1,1260.355224609375,78389.4921875
17,1,3,2,2,1,917.406982421875,89898.1953125
16,2,3,2,2,1,938.0716552734375,86478.03125
17,2,2,2,1,1,1198.87841796875,79713.0703125
16,2,3,2,1,1,1203.9794921875,77649.9453125
16,1,3,2,2,1,1380.698486328125,88292.15625
16,1,5,2,1,1,1269.197509765625,105903.4296875
16,1,3,2,2,1,1297.9412841796875,85442.015625
16,1,4,2,2,1,1481.83544921875,90776.7109375
17,2,1,2,1,1,1120.0904541015625,56237.63671875
16,1,3,2,2,1,1204.7860107421875,82116.484375
16,1,3,2,2,1,1305.9677734375,85660.671875
17,2,3,2,2,1,1102.0133056640625,88602.734375
17,2,3,2,1,1,1298.9053955078125,84853.859375
16,2,2,2,1,1,1181.43310546875,71711.46875
17,1,2,2,1,1,898.1663208007812,74154.640625
17,1,1,2,2,1,1228.3690185546875,65675.546875
17,2,1,2,2,1,1127.302490234375,52539.3046875
17,2,3,2,2,1,989.995361328125,89345.7890625
16,2,3,2,1,1,947.95556640625,76640.6640625
16,1,3,2,2,1,1169.493408203125,80301.3359375
16,2,2,2,1,1,602.8779296875,73789.890625
17,2,2,2,1,1,1001.2890625,61529.41015625
16,2,2,2,2,1,1025.9150390625,67993.296875
17,2,3,2,2,1,1130.511474609375,98249.4375
17,2,4,2,2,1,1148.5455322265625,85258.546875
17,1,3,2,2,1,1361.17236328125,85292.6796875
16,2,3,2,1,1,1384.847900390625,87584.4453125
16,1,3,2,2,1,1188.5787353515625,84868.015625
16,2,3,2,2,1,1188.4224853515625,85417.078125
16,1,2,2,2,1,1274.05908203125,66863.625
16,2,4,2,2,1,1148.6558837890625,86096.671875
16,2,1,2,2,1,1076.367431640625,65161.87890625
17,1,2,2,1,1,976.85009765625,70485.6484375
16,2,1,2,1,1,1136.8026123046875,64036.5
17,2,2,2,1,1,690.691162109375,71425.2890625
17,1,3,2,1,1,1004.0546875,81969.5078125
16,1,3,2,1,1,1034.733642578125,85902.6875
16,1,2,2,2,1,1181.117431640625,72080.0859375
17,1,5,2,1,1,1299.9527587890625,108727.0078125
17,1,4,2,2,1,1209.0550537109375,108361.234375
17,2,2,2,2,1,1060.61083984375,75684.171875
16,2,2,2,1,1,1302.7049560546875,67103.2578125
17,1,3,2,2,1,1780.9144287109375,87829.3828125
16,2,4,2,1,1,988.3345947265625,90138.4921875
16,1,1,2,2,1,1310.513427734375,49171.59765625
16,2,4,2,2,1,1373.40771484375,92179.1328125
16,1,3,2,2,1,1349.6119384765625,72883.46875
17,1,5,2,1,1,1321.345947265625,100985.4609375
17,2,3,2,2,1,1141.213623046875,82889.4296875
16,2,3,2,1,1,901.5697021484375,78565.578125
17,2,4,2,1,1,896.317626953125,94147.0390625
16,1,5,2,2,1,1317.69140625,108464.8125
17,1,4,2,1,1,1376.8004150390625,92534.5078125
16,2,2,2,2,1,1212.7916259765625,70171.0703125
16,1,5,2,2,1,1551.000732421875,99512.421875
16,1,2,2,1,1,1143.9737548828125,74201.234375
17,2,3,2,1,1,1290.2041015625,85151.25
17,2,4,2,2,1,766.5150756835938,92166.3046875
17,1,3,2,1,1,1481.3095703125,82262.3359375
16,2,4,2,2,1,1644.12939453125,87314.3125
17,1,2,2,2,1,1482.8018798828125,73136.6171875
16,2,5,2,2,1,1243.95654296875,101291.375
16,1,4,2,2,1,1332.6707763671875,99070.9609375
17,2,1,2,2,1,1503.8553466796875,55257.96875
16,1,1,2,2,1,1220.3187255859375,66020.78125
17,2,2,2,2,1,1043.090087890625,76504.25
