AGEP,SEX,EDU,PINCP,OWN_RENT,HOUSING_TYPE,DENSITY
7,2,3,50,0,1,156.3778533935547
6,2,5,45,0,0,232.49105834960938
4,1,7,64,2,0,187.00372314453125
3,2,5,38,0,0,208.99285888671875
0,1,5,15,0,1,196.97845458984375
8,2,6,22,0,1,86.93519592285156
11,2,3,26,2,0,248.58201599121094
12,2,1,36,2,0,119.12398529052734
8,2,6,45,0,0,233.41355895996094
3,2,3,9,0,0,194.02182006835938
6,2,1,21,0,1,198.19760131835938
1,1,4,25,2,0,58.02113342285156
9,2,5,26,0,0,202.51878356933594
0,2,3,12,0,1,166.39268493652344
7,2,6,56,0,0,217.11483764648438
8,1,8,39,2,1,205.65855407714844
7,1,8,44,2,0,236.45477294921875
12,1,1,25,2,0,200.19769287109375
0,2,6,26,0,2,232.5946044921875
0,1,4,20,0,0,170.59634399414062
5,1,5,17,2,0,247.49684143066406
8,1,1,20,2,2,138.80044555664062
1,1,3,39,2,0,158.06484985351562
10,1,4,39,0,0,207.21966552734375
10,1,5,18,2,0,238.01553344726562
7,1,1,12,2,0,184.76329040527344
0,2,1,9,0,1,229.70309448242188
6,2,4,16,2,0,206.10594177246094
1,1,3,16,0,2,128.0428924560547
0,1,6,12,0,0,190.95538330078125
2,1,3,16,0,2,156.29501342773438
8,1,3,64,0,1,243.84585571289062
6,2,4,34,0,1,197.17796325683594
4,2,7,56,0,2,287.3898620605469
11,1,4,37,0,0,288.9672546386719
12,2,4,104,0,0,91.78922271728516
13,2,2,30,0,1,251.54286193847656
11,1,3,21,2,0,180.1294708251953
9,1,5,33,2,2,282.0067443847656
0,1,7,32,0,0,187.9256591796875
9,1,2,12,2,0,235.089111328125
0,1,5,5,0,1,114.79003143310547
8,1,2,30,2,0,173.6310272216797
0,2,2,34,0,1,234.37034606933594
6,2,6,21,2,0,236.98257446289062
2,2,8,31,0,0,261.3934631347656
10,2,2,15,0,1,165.39553833007812
0,1,8,27,0,0,156.5908203125
0,2,6,29,2,2,171.18272399902344
5,1,3,17,2,1,105.95072937011719
0,2,6,18,0,0,236.86996459960938
11,2,5,28,0,2,218.98016357421875
0,1,4,13,2,0,168.6700439453125
8,1,5,17,0,0,219.60418701171875
10,1,1,66,0,1,332.0652160644531
0,1,8,14,2,0,144.37548828125
13,2,1,19,2,0,251.30323791503906
10,2,3,51,2,2,262.7899169921875
11,2,5,37,2,0,135.658447265625
0,1,8,19,0,0,136.8780975341797
0,1,8,27,0,2,189.61273193359375
0,1,8,57,0,1,189.881103515625
0,1,2,19,0,2,313.3711853027344
9,2,3,28,0,1,216.92979431152344
9,2,1,19,2,0,288.311767578125
9,2,6,44,2,1,166.99119567871094
9,1,2,50,0,2,259.1175537109375
0,1,1,13,0,0,357.43902587890625
5,2,5,53,2,1,176.50430297851562
7,2,3,46,2,2,237.3170623779297
14,2,1,30,2,1,232.77053833007812
10,1,4,48,0,0,129.802001953125
5,1,4,32,0,0,197.38571166992188
13,2,3,50,0,1,273.7040100097656
6,2,2,21,2,0,104.37096405029297
9,1,6,59,2,1,200.6614990234375
13,1,3,26,2,0,230.25650024414062
1,2,6,19,0,0,206.876708984375
10,2,6,42,0,0,146.85400390625
2,1,1,19,0,0,244.65797424316406
0,1,3,9,0,1,234.43763732910156
3,1,3,22,0,1,206.03114318847656
0,1,2,9,0,0,214.42210388183594
10,2,6,22,0,1,108.63626861572266
12,2,3,65,0,0,231.0056915283203
8,2,4,44,0,0,248.8507843017578
8,1,5,74,0,0,219.0314178466797
7,2,5,75,0,1,156.97425842285156
7,2,5,48,0,0,157.84201049804688
13,2,3,24,2,0,214.733642578125
11,2,5,38,0,2,148.46900939941406
12,2,1,16,0,0,204.31727600097656
3,1,3,21,2,2,167.919189453125
7,1,4,33,2,1,210.1310577392578
5,1,7,35,0,1,174.0505828857422
11,1,5,14,0,0,315.28533935546875
13,1,2,20,0,0,190.37890625
11,2,5,54,0,2,239.17051696777344
0,2,6,36,0,2,70.67242431640625
13,2,3,30,0,0,201.94558715820312
1,1,5,19,0,1,200.6642303466797
12,2,3,42,0,2,184.58409118652344
7,1,3,24,0,0,153.43630981445312
8,1,1,15,0,0,197.09849548339844
6,1,3,37,2,1,221.783203125
0,2,5,20,0,0,196.77268981933594
0,2,6,25,2,1,222.4684600830078
0,1,1,10,2,1,244.6761932373047
11,2,3,62,0,1,248.862548828125
11,2,5,50,0,0,187.45228576660156
6,2,7,16,0,0,178.2439422607422
11,2,1,25,2,2,303.7671813964844
11,1,1,41,2,0,183.4250030517578
0,1,7,31,2,2,183.45358276367188
3,2,7,42,2,1,140.73263549804688
8,1,4,60,0,2,240.87887573242188
6,1,6,29,0,2,311.51873779296875
0,1,4,31,2,1,143.30621337890625
10,1,1,18,2,0,147.68321228027344
4,1,6,33,2,0,299.28009033203125
13,2,2,50,0,1,257.658935546875
10,2,4,26,0,1,152.04959106445312
0,2,1,10,0,1,202.90463256835938
11,1,2,22,0,0,194.4021453857422
8,1,4,8,2,0,215.07235717773438
11,2,2,20,0,0,190.43309020996094
12,2,2,38,0,0,201.41346740722656
0,1,2,15,2,0,184.06890869140625
5,2,2,10,0,1,247.7374267578125
5,2,7,45,2,1,239.2118682861328
6,2,6,49,0,0,248.68585205078125
12,2,1,50,0,1,215.8077392578125
4,1,2,12,2,0,260.486572265625
0,2,1,12,0,0,220.51950073242188
0,2,5,14,2,2,232.0478057861328
8,2,4,45,2,2,196.15306091308594
6,1,3,7,0,0,325.52252197265625
10,1,2,31,2,0,213.26376342773438
11,2,1,23,0,0,235.25296020507812
9,1,7,55,2,2,186.1222686767578
5,1,6,27,2,0,169.86111450195312
10,1,5,59,0,2,236.76564025878906
8,1,7,27,0,1,161.18833923339844
0,2,6,8,2,1,97.21675109863281
8,1,3,24,0,2,144.91575622558594
10,2,5,48,0,1,164.0439453125
7,2,3,64,0,2,187.1614227294922
11,1,1,45,2,1,92.11080169677734
11,1,2,37,2,2,244.93572998046875
5,2,1,18,2,0,209.08334350585938
11,1,4,26,0,1,187.71237182617188
13,1,1,10,0,0,208.73536682128906
14,2,2,48,0,0,143.7767791748047
0,2,6,18,0,1,203.1735076904297
6,1,6,37,2,1,219.76443481445312
6,1,7,30,0,1,72.02049255371094
0,1,7,39,0,0,108.43880462646484
11,2,4,18,2,0,299.40338134765625
10,2,2,59,2,1,201.37832641601562
13,1,3,47,2,2,185.4041748046875
4,1,3,8,0,0,219.35350036621094
7,2,2,32,0,1,139.79576110839844
1,2,2,11,0,1,211.05125427246094
14,2,1,26,0,0,165.32568359375
14,2,1,26,2,1,134.84814453125
9,1,5,56,2,0,298.14984130859375
4,1,4,21,0,1,81.96246337890625
3,2,7,25,0,1,202.58737182617188
7,1,7,7,0,0,235.70335388183594
5,1,7,25,2,2,197.11407470703125
2,2,4,15,2,2,181.98446655273438
4,2,6,27,2,0,176.83905029296875
10,1,3,50,0,2,278.87945556640625
6,1,5,17,0,0,221.90771484375
14,2,2,32,0,0,251.90420532226562
3,2,6,30,2,2,175.7301025390625
7,2,6,78,0,0,160.5538330078125
8,1,5,30,0,0,134.4062957763672
2,2,6,22,0,1,202.94432067871094
2,2,3,17,2,0,212.9580078125
9,2,5,48,0,0,190.42364501953125
9,2,2,49,0,1,169.44900512695312
9,2,4,76,2,0,303.07525634765625
8,1,5,26,0,2,169.07858276367188
0,1,1,17,0,1,139.63345336914062
6,2,2,11,0,0,184.57652282714844
0,1,2,18,0,2,289.9824523925781
0,2,1,10,2,0,151.25912475585938
1,1,2,26,0,2,231.225341796875
0,2,1,14,0,0,176.1842041015625
10,1,1,33,2,0,200.85520935058594
7,2,3,39,0,0,191.380859375
0,2,4,36,0,1,189.32766723632812
7,2,8,21,2,1,242.87701416015625
6,1,4,13,2,2,141.5539093017578
9,2,7,39,0,1,196.5612335205078
8,1,6,39,2,0,196.74407958984375
8,2,1,11,0,0,235.5017852783203
8,2,5,38,0,1,200.6553497314453
15,1,1,66,0,2,229.12258911132812
8,2,8,50,2,1,214.55433654785156
5,1,7,17,2,0,282.76837158203125
7,1,2,23,0,1,177.3066864013672
10,2,6,48,2,0,159.62889099121094
12,1,2,10,0,0,253.89639282226562
9,1,3,15,0,1,226.98553466796875
3,1,1,6,2,2,214.861572265625
7,2,2,43,2,0,201.48004150390625
0,2,2,9,2,1,140.568603515625
13,1,3,30,0,0,199.6925811767578
2,2,4,110,0,0,192.4896697998047
4,2,1,47,0,1,255.11798095703125
4,1,6,23,0,0,180.02349853515625
6,1,7,61,0,0,280.4735107421875
12,1,3,22,2,1,146.74578857421875
4,2,8,61,0,0,297.5248107910156
0,2,3,23,0,1,176.78907775878906
0,2,3,28,2,1,155.29393005371094
10,2,2,37,2,2,191.77813720703125
11,1,3,17,0,2,160.75791931152344
3,1,1,4,0,0,142.48184204101562
0,1,7,47,0,1,164.24533081054688
12,2,2,91,0,2,241.3384246826172
9,2,7,30,0,0,215.12281799316406
13,1,1,11,2,0,199.35635375976562
2,1,1,19,0,1,150.23788452148438
11,2,2,29,2,0,214.74429321289062
9,2,3,43,2,1,234.944091796875
14,2,2,70,0,0,157.39712524414062
15,2,1,24,2,1,211.66456604003906
7,2,8,12,2,1,233.73388671875
5,2,3,11,0,1,224.0689239501953
6,2,5,34,0,0,125.12118530273438
2,1,6,20,0,0,129.610595703125
10,2,6,22,0,2,174.46432495117188
11,1,1,36,2,2,217.09695434570312
4,2,8,43,0,2,144.6462860107422
